brand_id	demographic	enabled	series_count	books_per_series	total_books	manga_series	manga_episodes	podcast_episodes	video_short	video_long	covers_needed	main_chars_needed	audiobook_via_google_play_brand_admin	phoenix_planned_surfaces_note	parallel_japan_manga_only_cells
stillness_press	josei	yes	5	5	25	14	336	26	12	4	50	14	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
cognitive_clarity	seinen	yes	5	5	25	14	336	26	12	4	50	14	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
digital_ground	manhwa	yes	5	5	25	14	336	26	12	4	50	14	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
sleep_restoration_iyashikei	josei	yes	5	5	25	8	192	26	12	4	50	8	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
somatic_wisdom_shojo	josei	yes	5	5	25	8	192	26	12	4	50	8	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
relational_calm_iyashikei	josei	yes	5	5	25	8	192	26	12	4	50	8	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
healing_ground_healing	josei	yes	5	5	25	8	192	26	12	4	50	8	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
body_memory_shojo	josei	yes	5	5	25	8	192	26	12	4	50	8	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
minimal_mind_healing	seinen	yes	5	5	25	8	192	26	12	4	50	8	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
night_reset_healing	josei	yes	5	5	25	8	192	26	12	4	50	8	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
gentle_growth_healing	josei	yes	5	5	25	8	192	26	12	4	50	8	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
stabilizer_healing	seinen	yes	5	5	25	8	192	26	12	4	50	8	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
career_lift_workplace	josei	yes	5	5	25	8	192	26	12	4	50	8	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
high_performer_workplace	seinen	yes	5	5	25	8	192	26	12	4	50	8	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
executive_calm_workplace	seinen	yes	5	5	25	8	192	26	12	4	50	8	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
morning_momentum_workplace	shonen	yes	5	5	25	8	192	26	12	4	50	8	0_phoenix_cells_output_via_google_play_brand_admin	ebook_plus_manga_only_in_222_cell_regular_catalog	see_ja_JP_TSV_and_JAPAN_MANGA_ONLY_CATALOG_V1_SPEC
