capability	research_artifact	document_artifact	runtime_artifact	status
flagship_bestseller_acceptance	docs/BESTSELLER_DRIFT_ROOT_CAUSE_2026-07-02.md	docs/PEARL_PRIME_BESTSELLER_ACCEPTANCE_SCORECARD.md	artifacts/qa/snapshots/CANONICAL_FLAGSHIP_BOOK.txt + check_flagship_book_parity.py	complete
register_gate_anti_drift_f14	docs/BESTSELLER_DRIFT_ROOT_CAUSE_2026-07-02.md	docs/PEARL_PRIME_BEATLINE_CEILING_CALIBRATION_2026-07-02.md	phoenix_v4/quality/bestseller_craft_gate.py	complete
persona_topic_market_fit	research/2026-03-30_us-persona-topic-market-fit.md	docs/specs/PEARL_PRIME_WORLDWIDE_CATALOG_PLAN_V1.md	config/source_of_truth/book_plans_en_us/	complete
cjk_persona_topic_market_fit	research/2026-03-30_asian-persona-topic-market-fit.md	docs/CJK_CATALOG_PLAN.md	config/catalog_planning/	complete
europe_latam_market_fit	research/2026-03-30_europe-latam-persona-topic-market-fit.md	locale_registry.yaml + catalog plans	config/source_of_truth/	complete
duration_derivation	research/2026-03-31_optimal-content-durations-global.md	docs/DURATION_DERIVATION_SPEC.md	config/format_selection/format_registry.yaml + phoenix_v4/ops/duration_derivation.py	complete
atom_100pct_matrix	none (operator directive 2026-06-06)	docs/PEARL_PRIME_ATOM_100PCT_COVERAGE_SSOT.md	artifacts/qa/pearl_prime_atom_100pct_gap_matrix_20260606.tsv	research_missing
atom_native_modular_formats	none	docs/ATOM_NATIVE_MODULAR_FORMATS.md	config/format_selection/format_registry.yaml (10 formats)	document_missing
spine_pipeline_composite_books	none (Arc-First architecture)	docs/PEARL_PRIME_BOOK_SYSTEM_CANONICAL.md	scripts/run_pipeline.py --pipeline-mode spine	complete
exercise_journeys_bestseller	none	docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md	phoenix_v4/planning/enrichment_select.py attach_exercise_journeys	complete
story_schedule_scenes	none	docs/PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md	phoenix_v4/rendering/section_packet_composer.py (partial)	drifted
teacher_mode_coverage	none	specs/TEACHER_MODE_V4_CANONICAL_SPEC.md	phoenix_v4/teacher/coverage_gate.py	complete
teacher_doctrine_atoms	none	docs/TEACHER_PRODUCTION_READINESS.md	SOURCE_OF_TRUTH/teacher_banks/	complete
music_mode_brand_integration	none	docs/specs/MUSIC_MODE_BRAND_INTEGRATION_V1_SPEC.md	config/music/ + wizard routes	complete
music_mode_diversity_gates	research_missing	docs/specs/MUSIC_MODE_V2_PRODUCTION_READINESS_SPEC.md §5	(not landed)	research_missing
musicgen_auto_render	none	docs/specs/MUSIC_MODE_V2_PRODUCTION_READINESS_SPEC.md §6	scripts/music/generate_book_companion_song.py (prompt only)	runtime_missing
translation_quality_contract	none (checklist merged)	#5480 PERMISSION golden + locale_overrides	scripts/ci/report_translation_coverage.py	document_missing
ja_jp_translation_execution	research/2026-03-30_asian-persona-topic-market-fit.md	config/localization/locale_registry.yaml	atoms/**/ja-JP/ (PRs #5496 #5501)	local_only
zh_tw_translation_execution	research/2026-03-30_asian-persona-topic-market-fit.md	locale_registry.yaml	atoms/**/zh-TW/ (#5499)	local_only
zh_cn_translation_execution	research/2026-03-30_asian-persona-topic-market-fit.md	locale_registry.yaml	atoms/**/zh-CN/ (#5500)	local_only
ko_kr_translation_execution	research/2026-03-30_asian-persona-topic-market-fit.md	locale_registry.yaml	skeleton PRs only	research_missing
non_cjk_translation_wave1	research/2026-03-30_europe-latam-persona-topic-market-fit.md	locale_registry.yaml	#5495 pt-BR es-US local_only	local_only
manga_genre_craft	docs/research/manga_craft/*	docs/specs/MANGA_100PCT_PRODUCTION_ROADMAP_2026-07-03.md	config/manga/ + assemble_from_bank.py	complete
manga_vision_conformance	artifacts/qa/MANGA_VISION_CONFORMANCE_AUDIT_2026-07-03.md	docs/specs/MANGA_100PCT_PRODUCTION_ROADMAP_2026-07-03.md	scripts/ci/check_render_progress_bytes.py etc.	complete
manga_human_readability	none (rules artifact #5323)	MANGA_HUMAN_READABILITY_ASSEMBLY_RULES_2026-07-09.md	artifacts/manga/warrior_calm_cultivation*/assembled/	complete
manga_blind_10_pro_bar	research_missing (proposed audit §3-R7)	MANGA vision audit §3-R7	(not landed)	research_missing
waystream_epub_production	none	docs/PROGRAM_STATE.md §Production-Gate	artifacts/epubs/way_stream_sanctuary/	complete
ghl_paid_attach	none	docs/PROGRAM_STATE.md §GHL	brand_deliveries/way_stream_sanctuary.json	complete
layer4_blind_read_protocol	research_missing	docs/PEARL_PRIME_BESTSELLER_ACCEPTANCE_SCORECARD.md Layer 4	OPD-20260707-FLAGSHIP-L4 (n=1)	research_missing
catalog_epub_batch_loop	none	docs/PROGRAM_STATE.md (#1923 recipe)	scripts/publish/build_epub.py (single cell proven)	runtime_missing
pipeline_mode_spine_default	none	docs/PEARL_PRIME_BOOK_SYSTEM_CANONICAL.md §1.1	scripts/run_pipeline.py (default registry)	drifted
full_system_redundancy_audit	none	PR #5295 artifacts	(not on main)	local_only
best_path_enforcement_audit	none	PR #4861 artifacts	(not on main)	local_only
bestseller_conformance_audit	none	PR #5206 artifacts	(not on main)	local_only
