book_id	persona	topic	catalog_engine	engine_binding_status	arc_exists	atom_dir	verdict
devotion_path__sai_ma__corporate_managers__burnout__false_alarm	corporate_managers	burnout	false_alarm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__corporate_managers__burnout__overwhelm	corporate_managers	burnout	overwhelm	allowed	yes	yes	BUILDABLE_LEGAL
devotion_path__sai_ma__corporate_managers__burnout__spiral	corporate_managers	burnout	spiral	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__corporate_managers__courage__false_alarm	corporate_managers	courage	false_alarm	allowed	yes	yes	BUILDABLE_LEGAL
devotion_path__sai_ma__corporate_managers__courage__overwhelm	corporate_managers	courage	overwhelm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__corporate_managers__courage__spiral	corporate_managers	courage	spiral	allowed	yes	yes	BUILDABLE_LEGAL
devotion_path__sai_ma__corporate_managers__imposter_syndrome__false_alarm	corporate_managers	imposter_syndrome	false_alarm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__corporate_managers__imposter_syndrome__overwhelm	corporate_managers	imposter_syndrome	overwhelm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__corporate_managers__imposter_syndrome__spiral	corporate_managers	imposter_syndrome	spiral	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__entrepreneurs__burnout__false_alarm	entrepreneurs	burnout	false_alarm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__entrepreneurs__burnout__overwhelm	entrepreneurs	burnout	overwhelm	allowed	yes	yes	BUILDABLE_LEGAL
devotion_path__sai_ma__entrepreneurs__burnout__spiral	entrepreneurs	burnout	spiral	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__entrepreneurs__courage__false_alarm	entrepreneurs	courage	false_alarm	allowed	yes	yes	BUILDABLE_LEGAL
devotion_path__sai_ma__entrepreneurs__courage__overwhelm	entrepreneurs	courage	overwhelm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__entrepreneurs__courage__spiral	entrepreneurs	courage	spiral	allowed	yes	yes	BUILDABLE_LEGAL
devotion_path__sai_ma__entrepreneurs__imposter_syndrome__false_alarm	entrepreneurs	imposter_syndrome	false_alarm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__entrepreneurs__imposter_syndrome__overwhelm	entrepreneurs	imposter_syndrome	overwhelm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__entrepreneurs__imposter_syndrome__spiral	entrepreneurs	imposter_syndrome	spiral	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__first_responders__burnout__false_alarm	first_responders	burnout	false_alarm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__first_responders__burnout__overwhelm	first_responders	burnout	overwhelm	allowed	yes	yes	BUILDABLE_LEGAL
