retired_book_id	reason
cognitive_clarity__kenjin__corporate_managers__boundaries__overwhelm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__corporate_managers__boundaries__spiral	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__corporate_managers__burnout__false_alarm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__corporate_managers__burnout__spiral	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__corporate_managers__imposter_syndrome__false_alarm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__corporate_managers__imposter_syndrome__overwhelm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__corporate_managers__imposter_syndrome__spiral	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__corporate_managers__overthinking__overwhelm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__entrepreneurs__boundaries__overwhelm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__entrepreneurs__boundaries__spiral	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__entrepreneurs__burnout__false_alarm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__entrepreneurs__burnout__spiral	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__entrepreneurs__imposter_syndrome__false_alarm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__entrepreneurs__imposter_syndrome__overwhelm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__entrepreneurs__imposter_syndrome__spiral	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__entrepreneurs__overthinking__overwhelm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__first_responders__boundaries__overwhelm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__first_responders__boundaries__spiral	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__first_responders__burnout__false_alarm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__first_responders__burnout__spiral	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__first_responders__imposter_syndrome__false_alarm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__first_responders__imposter_syndrome__overwhelm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__first_responders__imposter_syndrome__spiral	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__first_responders__overthinking__overwhelm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_alpha_students__boundaries__overwhelm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_alpha_students__boundaries__spiral	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_alpha_students__burnout__false_alarm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_alpha_students__burnout__spiral	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_alpha_students__imposter_syndrome__false_alarm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_alpha_students__imposter_syndrome__overwhelm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_alpha_students__imposter_syndrome__spiral	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_alpha_students__overthinking__overwhelm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_x_sandwich__boundaries__overwhelm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_x_sandwich__boundaries__spiral	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_x_sandwich__burnout__false_alarm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_x_sandwich__burnout__spiral	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_x_sandwich__imposter_syndrome__false_alarm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_x_sandwich__imposter_syndrome__overwhelm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_x_sandwich__imposter_syndrome__spiral	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_x_sandwich__overthinking__overwhelm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_z_professionals__boundaries__overwhelm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_z_professionals__boundaries__spiral	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_z_professionals__burnout__false_alarm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_z_professionals__burnout__spiral	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_z_professionals__imposter_syndrome__false_alarm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_z_professionals__imposter_syndrome__overwhelm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_z_professionals__imposter_syndrome__spiral	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_z_professionals__overthinking__overwhelm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_z_student__boundaries__false_alarm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_z_student__boundaries__overwhelm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_z_student__boundaries__spiral	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_z_student__burnout__false_alarm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_z_student__burnout__spiral	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_z_student__imposter_syndrome__false_alarm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_z_student__imposter_syndrome__overwhelm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_z_student__imposter_syndrome__spiral	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__gen_z_student__overthinking__overwhelm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__healthcare_rns__boundaries__overwhelm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__healthcare_rns__boundaries__spiral	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__healthcare_rns__burnout__false_alarm	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__healthcare_rns__burnout__spiral	engine_illegal_or_repointed_away
cognitive_clarity__kenjin__healthcare_rns__imposter_syndrome__false_alarm	engine_illegal_or_repointed_away
