persona	topic	catalog_engine	engine_binding_status	arc_exists	verdict	book_id
corporate_managers	boundaries	false_alarm	allowed	arc	BUILDABLE_LEGAL	cognitive_clarity__kenjin__corporate_managers__boundaries__false_alarm
corporate_managers	boundaries	overwhelm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	cognitive_clarity__kenjin__corporate_managers__boundaries__overwhelm
corporate_managers	boundaries	spiral	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	cognitive_clarity__kenjin__corporate_managers__boundaries__spiral
corporate_managers	burnout	false_alarm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	cognitive_clarity__kenjin__corporate_managers__burnout__false_alarm
corporate_managers	burnout	overwhelm	allowed	arc	BUILDABLE_LEGAL	cognitive_clarity__kenjin__corporate_managers__burnout__overwhelm
corporate_managers	burnout	spiral	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	cognitive_clarity__kenjin__corporate_managers__burnout__spiral
corporate_managers	imposter_syndrome	false_alarm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	cognitive_clarity__kenjin__corporate_managers__imposter_syndrome__false_alarm
corporate_managers	imposter_syndrome	overwhelm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	cognitive_clarity__kenjin__corporate_managers__imposter_syndrome__overwhelm
corporate_managers	imposter_syndrome	spiral	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	cognitive_clarity__kenjin__corporate_managers__imposter_syndrome__spiral
corporate_managers	overthinking	false_alarm	allowed	arc	BUILDABLE_LEGAL	cognitive_clarity__kenjin__corporate_managers__overthinking__false_alarm
corporate_managers	overthinking	overwhelm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	cognitive_clarity__kenjin__corporate_managers__overthinking__overwhelm
corporate_managers	overthinking	spiral	allowed	arc	BUILDABLE_LEGAL	cognitive_clarity__kenjin__corporate_managers__overthinking__spiral
entrepreneurs	boundaries	false_alarm	allowed	arc	BUILDABLE_LEGAL	cognitive_clarity__kenjin__entrepreneurs__boundaries__false_alarm
entrepreneurs	boundaries	overwhelm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	cognitive_clarity__kenjin__entrepreneurs__boundaries__overwhelm
entrepreneurs	boundaries	spiral	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	cognitive_clarity__kenjin__entrepreneurs__boundaries__spiral
entrepreneurs	burnout	false_alarm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	cognitive_clarity__kenjin__entrepreneurs__burnout__false_alarm
entrepreneurs	burnout	overwhelm	allowed	arc	BUILDABLE_LEGAL	cognitive_clarity__kenjin__entrepreneurs__burnout__overwhelm
entrepreneurs	burnout	spiral	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	cognitive_clarity__kenjin__entrepreneurs__burnout__spiral
entrepreneurs	imposter_syndrome	false_alarm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	cognitive_clarity__kenjin__entrepreneurs__imposter_syndrome__false_alarm
entrepreneurs	imposter_syndrome	overwhelm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	cognitive_clarity__kenjin__entrepreneurs__imposter_syndrome__overwhelm
entrepreneurs	imposter_syndrome	spiral	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	cognitive_clarity__kenjin__entrepreneurs__imposter_syndrome__spiral
entrepreneurs	overthinking	false_alarm	allowed	arc	BUILDABLE_LEGAL	cognitive_clarity__kenjin__entrepreneurs__overthinking__false_alarm
entrepreneurs	overthinking	overwhelm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	cognitive_clarity__kenjin__entrepreneurs__overthinking__overwhelm
entrepreneurs	overthinking	spiral	allowed	arc	BUILDABLE_LEGAL	cognitive_clarity__kenjin__entrepreneurs__overthinking__spiral
first_responders	boundaries	false_alarm	allowed	arc	BUILDABLE_LEGAL	cognitive_clarity__kenjin__first_responders__boundaries__false_alarm
first_responders	boundaries	overwhelm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	cognitive_clarity__kenjin__first_responders__boundaries__overwhelm
first_responders	boundaries	spiral	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	cognitive_clarity__kenjin__first_responders__boundaries__spiral
first_responders	burnout	false_alarm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	cognitive_clarity__kenjin__first_responders__burnout__false_alarm
first_responders	burnout	overwhelm	allowed	arc	BUILDABLE_LEGAL	cognitive_clarity__kenjin__first_responders__burnout__overwhelm
first_responders	burnout	spiral	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	cognitive_clarity__kenjin__first_responders__burnout__spiral
first_responders	imposter_syndrome	false_alarm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	cognitive_clarity__kenjin__first_responders__imposter_syndrome__false_alarm
first_responders	imposter_syndrome	overwhelm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	cognitive_clarity__kenjin__first_responders__imposter_syndrome__overwhelm
first_responders	imposter_syndrome	spiral	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	cognitive_clarity__kenjin__first_responders__imposter_syndrome__spiral
first_responders	overthinking	false_alarm	allowed	arc	BUILDABLE_LEGAL	cognitive_clarity__kenjin__first_responders__overthinking__false_alarm
first_responders	overthinking	overwhelm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	cognitive_clarity__kenjin__first_responders__overthinking__overwhelm
first_responders	overthinking	spiral	allowed	arc	BUILDABLE_LEGAL	cognitive_clarity__kenjin__first_responders__overthinking__spiral
gen_alpha_students	boundaries	false_alarm	allowed	arc	BUILDABLE_LEGAL	cognitive_clarity__kenjin__gen_alpha_students__boundaries__false_alarm
gen_alpha_students	boundaries	overwhelm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	cognitive_clarity__kenjin__gen_alpha_students__boundaries__overwhelm
gen_alpha_students	boundaries	spiral	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	cognitive_clarity__kenjin__gen_alpha_students__boundaries__spiral
gen_alpha_students	burnout	false_alarm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	cognitive_clarity__kenjin__gen_alpha_students__burnout__false_alarm
gen_alpha_students	burnout	overwhelm	allowed	arc	BUILDABLE_LEGAL	cognitive_clarity__kenjin__gen_alpha_students__burnout__overwhelm
gen_alpha_students	burnout	spiral	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	cognitive_clarity__kenjin__gen_alpha_students__burnout__spiral
