retired_book_id	reason
digital_ground__miki__corporate_managers__financial_anxiety__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__corporate_managers__financial_stress__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__corporate_managers__imposter_syndrome__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__corporate_managers__imposter_syndrome__overwhelm	engine_illegal_or_repointed_away
digital_ground__miki__corporate_managers__imposter_syndrome__spiral	engine_illegal_or_repointed_away
digital_ground__miki__corporate_managers__social_anxiety__overwhelm	engine_illegal_or_repointed_away
digital_ground__miki__corporate_managers__social_anxiety__spiral	engine_illegal_or_repointed_away
digital_ground__miki__entrepreneurs__financial_anxiety__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__entrepreneurs__financial_stress__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__entrepreneurs__imposter_syndrome__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__entrepreneurs__imposter_syndrome__overwhelm	engine_illegal_or_repointed_away
digital_ground__miki__entrepreneurs__imposter_syndrome__spiral	engine_illegal_or_repointed_away
digital_ground__miki__entrepreneurs__social_anxiety__overwhelm	engine_illegal_or_repointed_away
digital_ground__miki__entrepreneurs__social_anxiety__spiral	engine_illegal_or_repointed_away
digital_ground__miki__first_responders__financial_anxiety__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__first_responders__financial_stress__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__first_responders__imposter_syndrome__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__first_responders__imposter_syndrome__overwhelm	engine_illegal_or_repointed_away
digital_ground__miki__first_responders__imposter_syndrome__spiral	engine_illegal_or_repointed_away
digital_ground__miki__first_responders__social_anxiety__overwhelm	engine_illegal_or_repointed_away
digital_ground__miki__first_responders__social_anxiety__spiral	engine_illegal_or_repointed_away
digital_ground__miki__gen_alpha_students__financial_anxiety__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__gen_alpha_students__financial_stress__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__gen_alpha_students__imposter_syndrome__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__gen_alpha_students__imposter_syndrome__overwhelm	engine_illegal_or_repointed_away
digital_ground__miki__gen_alpha_students__imposter_syndrome__spiral	engine_illegal_or_repointed_away
digital_ground__miki__gen_alpha_students__social_anxiety__overwhelm	engine_illegal_or_repointed_away
digital_ground__miki__gen_alpha_students__social_anxiety__spiral	engine_illegal_or_repointed_away
digital_ground__miki__gen_x_sandwich__financial_anxiety__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__gen_x_sandwich__financial_stress__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__gen_x_sandwich__imposter_syndrome__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__gen_x_sandwich__imposter_syndrome__overwhelm	engine_illegal_or_repointed_away
digital_ground__miki__gen_x_sandwich__imposter_syndrome__spiral	engine_illegal_or_repointed_away
digital_ground__miki__gen_x_sandwich__social_anxiety__overwhelm	engine_illegal_or_repointed_away
digital_ground__miki__gen_x_sandwich__social_anxiety__spiral	engine_illegal_or_repointed_away
digital_ground__miki__gen_z_professionals__financial_anxiety__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__gen_z_professionals__financial_stress__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__gen_z_professionals__imposter_syndrome__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__gen_z_professionals__imposter_syndrome__overwhelm	engine_illegal_or_repointed_away
digital_ground__miki__gen_z_professionals__imposter_syndrome__spiral	engine_illegal_or_repointed_away
digital_ground__miki__gen_z_professionals__social_anxiety__overwhelm	engine_illegal_or_repointed_away
digital_ground__miki__gen_z_professionals__social_anxiety__spiral	engine_illegal_or_repointed_away
digital_ground__miki__gen_z_student__financial_anxiety__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__gen_z_student__financial_anxiety__overwhelm	engine_illegal_or_repointed_away
digital_ground__miki__gen_z_student__financial_anxiety__spiral	engine_illegal_or_repointed_away
digital_ground__miki__gen_z_student__financial_stress__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__gen_z_student__financial_stress__overwhelm	engine_illegal_or_repointed_away
digital_ground__miki__gen_z_student__financial_stress__spiral	engine_illegal_or_repointed_away
digital_ground__miki__gen_z_student__imposter_syndrome__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__gen_z_student__imposter_syndrome__overwhelm	engine_illegal_or_repointed_away
digital_ground__miki__gen_z_student__imposter_syndrome__spiral	engine_illegal_or_repointed_away
digital_ground__miki__gen_z_student__social_anxiety__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__gen_z_student__social_anxiety__overwhelm	engine_illegal_or_repointed_away
digital_ground__miki__gen_z_student__social_anxiety__spiral	engine_illegal_or_repointed_away
digital_ground__miki__healthcare_rns__financial_anxiety__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__healthcare_rns__financial_stress__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__healthcare_rns__imposter_syndrome__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__healthcare_rns__imposter_syndrome__overwhelm	engine_illegal_or_repointed_away
digital_ground__miki__healthcare_rns__imposter_syndrome__spiral	engine_illegal_or_repointed_away
digital_ground__miki__healthcare_rns__social_anxiety__overwhelm	engine_illegal_or_repointed_away
digital_ground__miki__healthcare_rns__social_anxiety__spiral	engine_illegal_or_repointed_away
digital_ground__miki__millennial_women_professionals__financial_anxiety__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__millennial_women_professionals__financial_stress__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__millennial_women_professionals__imposter_syndrome__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__millennial_women_professionals__imposter_syndrome__overwhelm	engine_illegal_or_repointed_away
digital_ground__miki__millennial_women_professionals__imposter_syndrome__spiral	engine_illegal_or_repointed_away
digital_ground__miki__millennial_women_professionals__social_anxiety__overwhelm	engine_illegal_or_repointed_away
digital_ground__miki__millennial_women_professionals__social_anxiety__spiral	engine_illegal_or_repointed_away
digital_ground__miki__tech_finance_burnout__financial_anxiety__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__tech_finance_burnout__financial_stress__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__tech_finance_burnout__imposter_syndrome__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__tech_finance_burnout__imposter_syndrome__overwhelm	engine_illegal_or_repointed_away
digital_ground__miki__tech_finance_burnout__imposter_syndrome__spiral	engine_illegal_or_repointed_away
digital_ground__miki__tech_finance_burnout__social_anxiety__overwhelm	engine_illegal_or_repointed_away
digital_ground__miki__tech_finance_burnout__social_anxiety__spiral	engine_illegal_or_repointed_away
digital_ground__miki__working_parents__financial_anxiety__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__working_parents__financial_stress__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__working_parents__imposter_syndrome__false_alarm	engine_illegal_or_repointed_away
digital_ground__miki__working_parents__imposter_syndrome__overwhelm	engine_illegal_or_repointed_away
digital_ground__miki__working_parents__imposter_syndrome__spiral	engine_illegal_or_repointed_away
digital_ground__miki__working_parents__social_anxiety__overwhelm	engine_illegal_or_repointed_away
digital_ground__miki__working_parents__social_anxiety__spiral	engine_illegal_or_repointed_away
