persona	topic	catalog_engine	engine_binding_status	arc_exists	verdict	book_id
corporate_managers	financial_anxiety	false_alarm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	digital_ground__miki__corporate_managers__financial_anxiety__false_alarm
corporate_managers	financial_anxiety	overwhelm	allowed	arc	BUILDABLE_LEGAL	digital_ground__miki__corporate_managers__financial_anxiety__overwhelm
corporate_managers	financial_anxiety	spiral	allowed	arc	BUILDABLE_LEGAL	digital_ground__miki__corporate_managers__financial_anxiety__spiral
corporate_managers	financial_stress	false_alarm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	digital_ground__miki__corporate_managers__financial_stress__false_alarm
corporate_managers	financial_stress	overwhelm	allowed	arc	BUILDABLE_LEGAL	digital_ground__miki__corporate_managers__financial_stress__overwhelm
corporate_managers	financial_stress	spiral	allowed	arc	BUILDABLE_LEGAL	digital_ground__miki__corporate_managers__financial_stress__spiral
corporate_managers	imposter_syndrome	false_alarm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	digital_ground__miki__corporate_managers__imposter_syndrome__false_alarm
corporate_managers	imposter_syndrome	overwhelm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	digital_ground__miki__corporate_managers__imposter_syndrome__overwhelm
corporate_managers	imposter_syndrome	spiral	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	digital_ground__miki__corporate_managers__imposter_syndrome__spiral
corporate_managers	social_anxiety	false_alarm	allowed	arc	BUILDABLE_LEGAL	digital_ground__miki__corporate_managers__social_anxiety__false_alarm
corporate_managers	social_anxiety	overwhelm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	digital_ground__miki__corporate_managers__social_anxiety__overwhelm
corporate_managers	social_anxiety	spiral	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	digital_ground__miki__corporate_managers__social_anxiety__spiral
entrepreneurs	financial_anxiety	false_alarm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	digital_ground__miki__entrepreneurs__financial_anxiety__false_alarm
entrepreneurs	financial_anxiety	overwhelm	allowed	arc	BUILDABLE_LEGAL	digital_ground__miki__entrepreneurs__financial_anxiety__overwhelm
entrepreneurs	financial_anxiety	spiral	allowed	arc	BUILDABLE_LEGAL	digital_ground__miki__entrepreneurs__financial_anxiety__spiral
entrepreneurs	financial_stress	false_alarm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	digital_ground__miki__entrepreneurs__financial_stress__false_alarm
entrepreneurs	financial_stress	overwhelm	allowed	arc	BUILDABLE_LEGAL	digital_ground__miki__entrepreneurs__financial_stress__overwhelm
entrepreneurs	financial_stress	spiral	allowed	arc	BUILDABLE_LEGAL	digital_ground__miki__entrepreneurs__financial_stress__spiral
entrepreneurs	imposter_syndrome	false_alarm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	digital_ground__miki__entrepreneurs__imposter_syndrome__false_alarm
entrepreneurs	imposter_syndrome	overwhelm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	digital_ground__miki__entrepreneurs__imposter_syndrome__overwhelm
entrepreneurs	imposter_syndrome	spiral	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	digital_ground__miki__entrepreneurs__imposter_syndrome__spiral
entrepreneurs	social_anxiety	false_alarm	allowed	arc	BUILDABLE_LEGAL	digital_ground__miki__entrepreneurs__social_anxiety__false_alarm
entrepreneurs	social_anxiety	overwhelm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	digital_ground__miki__entrepreneurs__social_anxiety__overwhelm
entrepreneurs	social_anxiety	spiral	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	digital_ground__miki__entrepreneurs__social_anxiety__spiral
first_responders	financial_anxiety	false_alarm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	digital_ground__miki__first_responders__financial_anxiety__false_alarm
first_responders	financial_anxiety	overwhelm	allowed	arc	BUILDABLE_LEGAL	digital_ground__miki__first_responders__financial_anxiety__overwhelm
first_responders	financial_anxiety	spiral	allowed	arc	BUILDABLE_LEGAL	digital_ground__miki__first_responders__financial_anxiety__spiral
first_responders	financial_stress	false_alarm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	digital_ground__miki__first_responders__financial_stress__false_alarm
first_responders	financial_stress	overwhelm	allowed	arc	BUILDABLE_LEGAL	digital_ground__miki__first_responders__financial_stress__overwhelm
first_responders	financial_stress	spiral	allowed	arc	BUILDABLE_LEGAL	digital_ground__miki__first_responders__financial_stress__spiral
first_responders	imposter_syndrome	false_alarm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	digital_ground__miki__first_responders__imposter_syndrome__false_alarm
first_responders	imposter_syndrome	overwhelm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	digital_ground__miki__first_responders__imposter_syndrome__overwhelm
first_responders	imposter_syndrome	spiral	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	digital_ground__miki__first_responders__imposter_syndrome__spiral
first_responders	social_anxiety	false_alarm	allowed	arc	BUILDABLE_LEGAL	digital_ground__miki__first_responders__social_anxiety__false_alarm
first_responders	social_anxiety	overwhelm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	digital_ground__miki__first_responders__social_anxiety__overwhelm
first_responders	social_anxiety	spiral	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	digital_ground__miki__first_responders__social_anxiety__spiral
gen_alpha_students	financial_anxiety	false_alarm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	digital_ground__miki__gen_alpha_students__financial_anxiety__false_alarm
gen_alpha_students	financial_anxiety	overwhelm	allowed	arc	BUILDABLE_LEGAL	digital_ground__miki__gen_alpha_students__financial_anxiety__overwhelm
gen_alpha_students	financial_anxiety	spiral	allowed	arc	BUILDABLE_LEGAL	digital_ground__miki__gen_alpha_students__financial_anxiety__spiral
gen_alpha_students	financial_stress	false_alarm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	digital_ground__miki__gen_alpha_students__financial_stress__false_alarm
gen_alpha_students	financial_stress	overwhelm	allowed	arc	BUILDABLE_LEGAL	digital_ground__miki__gen_alpha_students__financial_stress__overwhelm
gen_alpha_students	financial_stress	spiral	allowed	arc	BUILDABLE_LEGAL	digital_ground__miki__gen_alpha_students__financial_stress__spiral
gen_alpha_students	imposter_syndrome	false_alarm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	digital_ground__miki__gen_alpha_students__imposter_syndrome__false_alarm
gen_alpha_students	imposter_syndrome	overwhelm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	digital_ground__miki__gen_alpha_students__imposter_syndrome__overwhelm
gen_alpha_students	imposter_syndrome	spiral	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	digital_ground__miki__gen_alpha_students__imposter_syndrome__spiral
gen_alpha_students	social_anxiety	false_alarm	allowed	arc	BUILDABLE_LEGAL	digital_ground__miki__gen_alpha_students__social_anxiety__false_alarm
gen_alpha_students	social_anxiety	overwhelm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	digital_ground__miki__gen_alpha_students__social_anxiety__overwhelm
