retired_book_id	reason
heart_balance__maat__corporate_managers__boundaries__overwhelm	engine_illegal_or_repointed_away
heart_balance__maat__corporate_managers__boundaries__spiral	engine_illegal_or_repointed_away
heart_balance__maat__corporate_managers__compassion_fatigue__false_alarm	engine_illegal_or_repointed_away
heart_balance__maat__corporate_managers__compassion_fatigue__spiral	engine_illegal_or_repointed_away
heart_balance__maat__corporate_managers__self_worth__false_alarm	engine_illegal_or_repointed_away
heart_balance__maat__corporate_managers__self_worth__overwhelm	engine_illegal_or_repointed_away
heart_balance__maat__corporate_managers__self_worth__spiral	engine_illegal_or_repointed_away
heart_balance__maat__entrepreneurs__boundaries__overwhelm	engine_illegal_or_repointed_away
heart_balance__maat__entrepreneurs__boundaries__spiral	engine_illegal_or_repointed_away
heart_balance__maat__entrepreneurs__compassion_fatigue__false_alarm	engine_illegal_or_repointed_away
heart_balance__maat__entrepreneurs__compassion_fatigue__spiral	engine_illegal_or_repointed_away
heart_balance__maat__entrepreneurs__self_worth__false_alarm	engine_illegal_or_repointed_away
heart_balance__maat__entrepreneurs__self_worth__overwhelm	engine_illegal_or_repointed_away
heart_balance__maat__entrepreneurs__self_worth__spiral	engine_illegal_or_repointed_away
heart_balance__maat__first_responders__boundaries__overwhelm	engine_illegal_or_repointed_away
heart_balance__maat__first_responders__boundaries__spiral	engine_illegal_or_repointed_away
heart_balance__maat__first_responders__compassion_fatigue__false_alarm	engine_illegal_or_repointed_away
heart_balance__maat__first_responders__compassion_fatigue__spiral	engine_illegal_or_repointed_away
heart_balance__maat__first_responders__self_worth__false_alarm	engine_illegal_or_repointed_away
heart_balance__maat__first_responders__self_worth__overwhelm	engine_illegal_or_repointed_away
heart_balance__maat__first_responders__self_worth__spiral	engine_illegal_or_repointed_away
heart_balance__maat__gen_alpha_students__boundaries__overwhelm	engine_illegal_or_repointed_away
heart_balance__maat__gen_alpha_students__boundaries__spiral	engine_illegal_or_repointed_away
heart_balance__maat__gen_alpha_students__compassion_fatigue__false_alarm	engine_illegal_or_repointed_away
heart_balance__maat__gen_alpha_students__compassion_fatigue__spiral	engine_illegal_or_repointed_away
heart_balance__maat__gen_alpha_students__self_worth__false_alarm	engine_illegal_or_repointed_away
heart_balance__maat__gen_alpha_students__self_worth__overwhelm	engine_illegal_or_repointed_away
heart_balance__maat__gen_alpha_students__self_worth__spiral	engine_illegal_or_repointed_away
heart_balance__maat__gen_x_sandwich__boundaries__overwhelm	engine_illegal_or_repointed_away
heart_balance__maat__gen_x_sandwich__boundaries__spiral	engine_illegal_or_repointed_away
heart_balance__maat__gen_x_sandwich__compassion_fatigue__false_alarm	engine_illegal_or_repointed_away
heart_balance__maat__gen_x_sandwich__compassion_fatigue__spiral	engine_illegal_or_repointed_away
heart_balance__maat__gen_x_sandwich__self_worth__false_alarm	engine_illegal_or_repointed_away
heart_balance__maat__gen_x_sandwich__self_worth__overwhelm	engine_illegal_or_repointed_away
heart_balance__maat__gen_x_sandwich__self_worth__spiral	engine_illegal_or_repointed_away
heart_balance__maat__gen_z_professionals__boundaries__overwhelm	engine_illegal_or_repointed_away
heart_balance__maat__gen_z_professionals__boundaries__spiral	engine_illegal_or_repointed_away
heart_balance__maat__gen_z_professionals__compassion_fatigue__false_alarm	engine_illegal_or_repointed_away
heart_balance__maat__gen_z_professionals__compassion_fatigue__spiral	engine_illegal_or_repointed_away
heart_balance__maat__gen_z_professionals__self_worth__false_alarm	engine_illegal_or_repointed_away
heart_balance__maat__gen_z_professionals__self_worth__overwhelm	engine_illegal_or_repointed_away
heart_balance__maat__gen_z_professionals__self_worth__spiral	engine_illegal_or_repointed_away
heart_balance__maat__gen_z_student__boundaries__false_alarm	engine_illegal_or_repointed_away
heart_balance__maat__gen_z_student__boundaries__overwhelm	engine_illegal_or_repointed_away
heart_balance__maat__gen_z_student__boundaries__spiral	engine_illegal_or_repointed_away
heart_balance__maat__gen_z_student__compassion_fatigue__false_alarm	engine_illegal_or_repointed_away
heart_balance__maat__gen_z_student__compassion_fatigue__overwhelm	engine_illegal_or_repointed_away
heart_balance__maat__gen_z_student__compassion_fatigue__spiral	engine_illegal_or_repointed_away
heart_balance__maat__gen_z_student__self_worth__false_alarm	engine_illegal_or_repointed_away
heart_balance__maat__gen_z_student__self_worth__overwhelm	engine_illegal_or_repointed_away
heart_balance__maat__gen_z_student__self_worth__spiral	engine_illegal_or_repointed_away
heart_balance__maat__healthcare_rns__boundaries__overwhelm	engine_illegal_or_repointed_away
heart_balance__maat__healthcare_rns__boundaries__spiral	engine_illegal_or_repointed_away
heart_balance__maat__healthcare_rns__compassion_fatigue__false_alarm	engine_illegal_or_repointed_away
heart_balance__maat__healthcare_rns__compassion_fatigue__spiral	engine_illegal_or_repointed_away
heart_balance__maat__healthcare_rns__self_worth__false_alarm	engine_illegal_or_repointed_away
heart_balance__maat__healthcare_rns__self_worth__overwhelm	engine_illegal_or_repointed_away
heart_balance__maat__healthcare_rns__self_worth__spiral	engine_illegal_or_repointed_away
heart_balance__maat__millennial_women_professionals__boundaries__overwhelm	engine_illegal_or_repointed_away
heart_balance__maat__millennial_women_professionals__boundaries__spiral	engine_illegal_or_repointed_away
heart_balance__maat__millennial_women_professionals__compassion_fatigue__false_alarm	engine_illegal_or_repointed_away
heart_balance__maat__millennial_women_professionals__compassion_fatigue__spiral	engine_illegal_or_repointed_away
heart_balance__maat__millennial_women_professionals__self_worth__false_alarm	engine_illegal_or_repointed_away
heart_balance__maat__millennial_women_professionals__self_worth__overwhelm	engine_illegal_or_repointed_away
heart_balance__maat__millennial_women_professionals__self_worth__spiral	engine_illegal_or_repointed_away
heart_balance__maat__tech_finance_burnout__boundaries__overwhelm	engine_illegal_or_repointed_away
heart_balance__maat__tech_finance_burnout__boundaries__spiral	engine_illegal_or_repointed_away
heart_balance__maat__tech_finance_burnout__compassion_fatigue__false_alarm	engine_illegal_or_repointed_away
heart_balance__maat__tech_finance_burnout__compassion_fatigue__spiral	engine_illegal_or_repointed_away
heart_balance__maat__tech_finance_burnout__self_worth__false_alarm	engine_illegal_or_repointed_away
heart_balance__maat__tech_finance_burnout__self_worth__overwhelm	engine_illegal_or_repointed_away
heart_balance__maat__tech_finance_burnout__self_worth__spiral	engine_illegal_or_repointed_away
heart_balance__maat__working_parents__boundaries__overwhelm	engine_illegal_or_repointed_away
heart_balance__maat__working_parents__boundaries__spiral	engine_illegal_or_repointed_away
heart_balance__maat__working_parents__compassion_fatigue__false_alarm	engine_illegal_or_repointed_away
heart_balance__maat__working_parents__compassion_fatigue__spiral	engine_illegal_or_repointed_away
heart_balance__maat__working_parents__self_worth__false_alarm	engine_illegal_or_repointed_away
heart_balance__maat__working_parents__self_worth__overwhelm	engine_illegal_or_repointed_away
heart_balance__maat__working_parents__self_worth__spiral	engine_illegal_or_repointed_away
