persona	topic	catalog_engine	engine_binding_status	arc_exists	verdict	book_id
corporate_managers	boundaries	false_alarm	allowed	arc	BUILDABLE_LEGAL	heart_balance__maat__corporate_managers__boundaries__false_alarm
corporate_managers	boundaries	overwhelm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	heart_balance__maat__corporate_managers__boundaries__overwhelm
corporate_managers	boundaries	spiral	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	heart_balance__maat__corporate_managers__boundaries__spiral
corporate_managers	compassion_fatigue	false_alarm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	heart_balance__maat__corporate_managers__compassion_fatigue__false_alarm
corporate_managers	compassion_fatigue	overwhelm	allowed	arc	BUILDABLE_LEGAL	heart_balance__maat__corporate_managers__compassion_fatigue__overwhelm
corporate_managers	compassion_fatigue	spiral	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	heart_balance__maat__corporate_managers__compassion_fatigue__spiral
corporate_managers	self_worth	false_alarm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	heart_balance__maat__corporate_managers__self_worth__false_alarm
corporate_managers	self_worth	overwhelm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	heart_balance__maat__corporate_managers__self_worth__overwhelm
corporate_managers	self_worth	spiral	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	heart_balance__maat__corporate_managers__self_worth__spiral
entrepreneurs	boundaries	false_alarm	allowed	arc	BUILDABLE_LEGAL	heart_balance__maat__entrepreneurs__boundaries__false_alarm
entrepreneurs	boundaries	overwhelm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	heart_balance__maat__entrepreneurs__boundaries__overwhelm
entrepreneurs	boundaries	spiral	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	heart_balance__maat__entrepreneurs__boundaries__spiral
entrepreneurs	compassion_fatigue	false_alarm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	heart_balance__maat__entrepreneurs__compassion_fatigue__false_alarm
entrepreneurs	compassion_fatigue	overwhelm	allowed	arc	BUILDABLE_LEGAL	heart_balance__maat__entrepreneurs__compassion_fatigue__overwhelm
entrepreneurs	compassion_fatigue	spiral	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	heart_balance__maat__entrepreneurs__compassion_fatigue__spiral
entrepreneurs	self_worth	false_alarm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	heart_balance__maat__entrepreneurs__self_worth__false_alarm
entrepreneurs	self_worth	overwhelm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	heart_balance__maat__entrepreneurs__self_worth__overwhelm
entrepreneurs	self_worth	spiral	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	heart_balance__maat__entrepreneurs__self_worth__spiral
first_responders	boundaries	false_alarm	allowed	arc	BUILDABLE_LEGAL	heart_balance__maat__first_responders__boundaries__false_alarm
