retired_book_id	reason
sleep_restoration__master_sha__corporate_managers__somatic_healing__comparison	engine_illegal_or_repointed_away
sleep_restoration__master_sha__corporate_managers__somatic_healing__false_alarm	engine_illegal_or_repointed_away
sleep_restoration__master_sha__corporate_managers__somatic_healing__grief	engine_illegal_or_repointed_away
sleep_restoration__master_sha__corporate_managers__somatic_healing__shame	engine_illegal_or_repointed_away
sleep_restoration__master_sha__corporate_managers__somatic_healing__spiral	engine_illegal_or_repointed_away
sleep_restoration__master_sha__entrepreneurs__somatic_healing__comparison	engine_illegal_or_repointed_away
sleep_restoration__master_sha__entrepreneurs__somatic_healing__false_alarm	engine_illegal_or_repointed_away
sleep_restoration__master_sha__entrepreneurs__somatic_healing__grief	engine_illegal_or_repointed_away
sleep_restoration__master_sha__entrepreneurs__somatic_healing__shame	engine_illegal_or_repointed_away
sleep_restoration__master_sha__entrepreneurs__somatic_healing__spiral	engine_illegal_or_repointed_away
sleep_restoration__master_sha__first_responders__somatic_healing__comparison	engine_illegal_or_repointed_away
sleep_restoration__master_sha__first_responders__somatic_healing__false_alarm	engine_illegal_or_repointed_away
sleep_restoration__master_sha__first_responders__somatic_healing__grief	engine_illegal_or_repointed_away
sleep_restoration__master_sha__first_responders__somatic_healing__shame	engine_illegal_or_repointed_away
sleep_restoration__master_sha__first_responders__somatic_healing__spiral	engine_illegal_or_repointed_away
sleep_restoration__master_sha__gen_alpha_students__somatic_healing__comparison	engine_illegal_or_repointed_away
sleep_restoration__master_sha__gen_alpha_students__somatic_healing__false_alarm	engine_illegal_or_repointed_away
sleep_restoration__master_sha__gen_alpha_students__somatic_healing__grief	engine_illegal_or_repointed_away
sleep_restoration__master_sha__gen_alpha_students__somatic_healing__shame	engine_illegal_or_repointed_away
sleep_restoration__master_sha__gen_alpha_students__somatic_healing__spiral	engine_illegal_or_repointed_away
sleep_restoration__master_sha__gen_x_sandwich__somatic_healing__comparison	engine_illegal_or_repointed_away
sleep_restoration__master_sha__gen_x_sandwich__somatic_healing__false_alarm	engine_illegal_or_repointed_away
sleep_restoration__master_sha__gen_x_sandwich__somatic_healing__grief	engine_illegal_or_repointed_away
sleep_restoration__master_sha__gen_x_sandwich__somatic_healing__shame	engine_illegal_or_repointed_away
sleep_restoration__master_sha__gen_x_sandwich__somatic_healing__spiral	engine_illegal_or_repointed_away
sleep_restoration__master_sha__gen_z_professionals__somatic_healing__comparison	engine_illegal_or_repointed_away
sleep_restoration__master_sha__gen_z_professionals__somatic_healing__false_alarm	engine_illegal_or_repointed_away
sleep_restoration__master_sha__gen_z_professionals__somatic_healing__grief	engine_illegal_or_repointed_away
sleep_restoration__master_sha__gen_z_professionals__somatic_healing__shame	engine_illegal_or_repointed_away
sleep_restoration__master_sha__gen_z_professionals__somatic_healing__spiral	engine_illegal_or_repointed_away
sleep_restoration__master_sha__gen_z_student__somatic_healing__comparison	engine_illegal_or_repointed_away
sleep_restoration__master_sha__gen_z_student__somatic_healing__false_alarm	engine_illegal_or_repointed_away
sleep_restoration__master_sha__gen_z_student__somatic_healing__grief	engine_illegal_or_repointed_away
sleep_restoration__master_sha__gen_z_student__somatic_healing__overwhelm	engine_illegal_or_repointed_away
sleep_restoration__master_sha__gen_z_student__somatic_healing__shame	engine_illegal_or_repointed_away
sleep_restoration__master_sha__gen_z_student__somatic_healing__spiral	engine_illegal_or_repointed_away
sleep_restoration__master_sha__gen_z_student__somatic_healing__watcher	engine_illegal_or_repointed_away
sleep_restoration__master_sha__healthcare_rns__somatic_healing__comparison	engine_illegal_or_repointed_away
sleep_restoration__master_sha__healthcare_rns__somatic_healing__false_alarm	engine_illegal_or_repointed_away
sleep_restoration__master_sha__healthcare_rns__somatic_healing__grief	engine_illegal_or_repointed_away
sleep_restoration__master_sha__healthcare_rns__somatic_healing__shame	engine_illegal_or_repointed_away
sleep_restoration__master_sha__healthcare_rns__somatic_healing__spiral	engine_illegal_or_repointed_away
sleep_restoration__master_sha__millennial_women_professionals__somatic_healing__comparison	engine_illegal_or_repointed_away
sleep_restoration__master_sha__millennial_women_professionals__somatic_healing__false_alarm	engine_illegal_or_repointed_away
sleep_restoration__master_sha__millennial_women_professionals__somatic_healing__grief	engine_illegal_or_repointed_away
sleep_restoration__master_sha__millennial_women_professionals__somatic_healing__shame	engine_illegal_or_repointed_away
sleep_restoration__master_sha__millennial_women_professionals__somatic_healing__spiral	engine_illegal_or_repointed_away
sleep_restoration__master_sha__tech_finance_burnout__somatic_healing__comparison	engine_illegal_or_repointed_away
sleep_restoration__master_sha__tech_finance_burnout__somatic_healing__false_alarm	engine_illegal_or_repointed_away
sleep_restoration__master_sha__tech_finance_burnout__somatic_healing__grief	engine_illegal_or_repointed_away
sleep_restoration__master_sha__tech_finance_burnout__somatic_healing__shame	engine_illegal_or_repointed_away
sleep_restoration__master_sha__tech_finance_burnout__somatic_healing__spiral	engine_illegal_or_repointed_away
sleep_restoration__master_sha__working_parents__somatic_healing__comparison	engine_illegal_or_repointed_away
sleep_restoration__master_sha__working_parents__somatic_healing__false_alarm	engine_illegal_or_repointed_away
sleep_restoration__master_sha__working_parents__somatic_healing__grief	engine_illegal_or_repointed_away
sleep_restoration__master_sha__working_parents__somatic_healing__shame	engine_illegal_or_repointed_away
sleep_restoration__master_sha__working_parents__somatic_healing__spiral	engine_illegal_or_repointed_away
