persona	topic	catalog_engine	engine_binding_status	arc_exists	verdict	book_id
corporate_managers	sleep_anxiety	false_alarm	allowed	arc	BUILDABLE_LEGAL	sleep_restoration__master_sha__corporate_managers__sleep_anxiety__false_alarm
corporate_managers	sleep_anxiety	overwhelm	allowed	arc	BUILDABLE_LEGAL	sleep_restoration__master_sha__corporate_managers__sleep_anxiety__overwhelm
corporate_managers	sleep_anxiety	spiral	allowed	arc	BUILDABLE_LEGAL	sleep_restoration__master_sha__corporate_managers__sleep_anxiety__spiral
corporate_managers	somatic_healing	comparison	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	sleep_restoration__master_sha__corporate_managers__somatic_healing__comparison
corporate_managers	somatic_healing	false_alarm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	sleep_restoration__master_sha__corporate_managers__somatic_healing__false_alarm
corporate_managers	somatic_healing	grief	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	sleep_restoration__master_sha__corporate_managers__somatic_healing__grief
corporate_managers	somatic_healing	overwhelm	allowed	arc	BUILDABLE_LEGAL	sleep_restoration__master_sha__corporate_managers__somatic_healing__overwhelm
corporate_managers	somatic_healing	shame	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	sleep_restoration__master_sha__corporate_managers__somatic_healing__shame
corporate_managers	somatic_healing	spiral	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	sleep_restoration__master_sha__corporate_managers__somatic_healing__spiral
corporate_managers	somatic_healing	watcher	allowed	arc	BUILDABLE_LEGAL	sleep_restoration__master_sha__corporate_managers__somatic_healing__watcher
entrepreneurs	sleep_anxiety	false_alarm	allowed	arc	BUILDABLE_LEGAL	sleep_restoration__master_sha__entrepreneurs__sleep_anxiety__false_alarm
entrepreneurs	sleep_anxiety	overwhelm	allowed	arc	BUILDABLE_LEGAL	sleep_restoration__master_sha__entrepreneurs__sleep_anxiety__overwhelm
entrepreneurs	sleep_anxiety	spiral	allowed	arc	BUILDABLE_LEGAL	sleep_restoration__master_sha__entrepreneurs__sleep_anxiety__spiral
entrepreneurs	somatic_healing	comparison	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	sleep_restoration__master_sha__entrepreneurs__somatic_healing__comparison
entrepreneurs	somatic_healing	false_alarm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	sleep_restoration__master_sha__entrepreneurs__somatic_healing__false_alarm
entrepreneurs	somatic_healing	grief	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	sleep_restoration__master_sha__entrepreneurs__somatic_healing__grief
entrepreneurs	somatic_healing	overwhelm	allowed	arc	BUILDABLE_LEGAL	sleep_restoration__master_sha__entrepreneurs__somatic_healing__overwhelm
entrepreneurs	somatic_healing	shame	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	sleep_restoration__master_sha__entrepreneurs__somatic_healing__shame
entrepreneurs	somatic_healing	spiral	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	sleep_restoration__master_sha__entrepreneurs__somatic_healing__spiral
entrepreneurs	somatic_healing	watcher	allowed	arc	BUILDABLE_LEGAL	sleep_restoration__master_sha__entrepreneurs__somatic_healing__watcher
first_responders	sleep_anxiety	false_alarm	allowed	arc	BUILDABLE_LEGAL	sleep_restoration__master_sha__first_responders__sleep_anxiety__false_alarm
first_responders	sleep_anxiety	overwhelm	allowed	arc	BUILDABLE_LEGAL	sleep_restoration__master_sha__first_responders__sleep_anxiety__overwhelm
first_responders	sleep_anxiety	spiral	allowed	arc	BUILDABLE_LEGAL	sleep_restoration__master_sha__first_responders__sleep_anxiety__spiral
first_responders	somatic_healing	comparison	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	sleep_restoration__master_sha__first_responders__somatic_healing__comparison
first_responders	somatic_healing	false_alarm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	sleep_restoration__master_sha__first_responders__somatic_healing__false_alarm
first_responders	somatic_healing	grief	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	sleep_restoration__master_sha__first_responders__somatic_healing__grief
first_responders	somatic_healing	overwhelm	allowed	arc	BUILDABLE_LEGAL	sleep_restoration__master_sha__first_responders__somatic_healing__overwhelm
first_responders	somatic_healing	shame	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	sleep_restoration__master_sha__first_responders__somatic_healing__shame
first_responders	somatic_healing	spiral	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	sleep_restoration__master_sha__first_responders__somatic_healing__spiral
first_responders	somatic_healing	watcher	allowed	arc	BUILDABLE_LEGAL	sleep_restoration__master_sha__first_responders__somatic_healing__watcher
gen_alpha_students	sleep_anxiety	false_alarm	allowed	arc	BUILDABLE_LEGAL	sleep_restoration__master_sha__gen_alpha_students__sleep_anxiety__false_alarm
gen_alpha_students	sleep_anxiety	overwhelm	allowed	arc	BUILDABLE_LEGAL	sleep_restoration__master_sha__gen_alpha_students__sleep_anxiety__overwhelm
gen_alpha_students	sleep_anxiety	spiral	allowed	arc	BUILDABLE_LEGAL	sleep_restoration__master_sha__gen_alpha_students__sleep_anxiety__spiral
gen_alpha_students	somatic_healing	comparison	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	sleep_restoration__master_sha__gen_alpha_students__somatic_healing__comparison
gen_alpha_students	somatic_healing	false_alarm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	sleep_restoration__master_sha__gen_alpha_students__somatic_healing__false_alarm
gen_alpha_students	somatic_healing	grief	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	sleep_restoration__master_sha__gen_alpha_students__somatic_healing__grief
gen_alpha_students	somatic_healing	overwhelm	allowed	arc	BUILDABLE_LEGAL	sleep_restoration__master_sha__gen_alpha_students__somatic_healing__overwhelm
gen_alpha_students	somatic_healing	shame	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	sleep_restoration__master_sha__gen_alpha_students__somatic_healing__shame
gen_alpha_students	somatic_healing	spiral	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	sleep_restoration__master_sha__gen_alpha_students__somatic_healing__spiral
gen_alpha_students	somatic_healing	watcher	allowed	arc	BUILDABLE_LEGAL	sleep_restoration__master_sha__gen_alpha_students__somatic_healing__watcher
gen_x_sandwich	sleep_anxiety	false_alarm	allowed	arc	BUILDABLE_LEGAL	sleep_restoration__master_sha__gen_x_sandwich__sleep_anxiety__false_alarm
