retired_book_id	reason
somatic_wisdom__pamela_fellows__corporate_managers__compassion_fatigue__false_alarm	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__corporate_managers__compassion_fatigue__spiral	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__corporate_managers__self_worth__false_alarm	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__corporate_managers__self_worth__overwhelm	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__corporate_managers__self_worth__spiral	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__corporate_managers__somatic_healing__comparison	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__corporate_managers__somatic_healing__false_alarm	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__corporate_managers__somatic_healing__grief	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__corporate_managers__somatic_healing__shame	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__corporate_managers__somatic_healing__spiral	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__entrepreneurs__compassion_fatigue__false_alarm	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__entrepreneurs__compassion_fatigue__spiral	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__entrepreneurs__self_worth__false_alarm	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__entrepreneurs__self_worth__overwhelm	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__entrepreneurs__self_worth__spiral	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__entrepreneurs__somatic_healing__comparison	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__entrepreneurs__somatic_healing__false_alarm	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__entrepreneurs__somatic_healing__grief	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__entrepreneurs__somatic_healing__shame	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__entrepreneurs__somatic_healing__spiral	engine_illegal_or_repointed_away
