retired_book_id	reason
stillness_press__ahjan__corporate_managers__somatic_healing__comparison	engine_illegal_or_repointed_away
stillness_press__ahjan__corporate_managers__somatic_healing__false_alarm	engine_illegal_or_repointed_away
stillness_press__ahjan__corporate_managers__somatic_healing__grief	engine_illegal_or_repointed_away
stillness_press__ahjan__corporate_managers__somatic_healing__shame	engine_illegal_or_repointed_away
stillness_press__ahjan__corporate_managers__somatic_healing__spiral	engine_illegal_or_repointed_away
stillness_press__ahjan__entrepreneurs__somatic_healing__comparison	engine_illegal_or_repointed_away
stillness_press__ahjan__entrepreneurs__somatic_healing__false_alarm	engine_illegal_or_repointed_away
stillness_press__ahjan__entrepreneurs__somatic_healing__grief	engine_illegal_or_repointed_away
stillness_press__ahjan__entrepreneurs__somatic_healing__shame	engine_illegal_or_repointed_away
stillness_press__ahjan__entrepreneurs__somatic_healing__spiral	engine_illegal_or_repointed_away
stillness_press__ahjan__first_responders__somatic_healing__comparison	engine_illegal_or_repointed_away
stillness_press__ahjan__first_responders__somatic_healing__false_alarm	engine_illegal_or_repointed_away
stillness_press__ahjan__first_responders__somatic_healing__grief	engine_illegal_or_repointed_away
stillness_press__ahjan__first_responders__somatic_healing__shame	engine_illegal_or_repointed_away
stillness_press__ahjan__first_responders__somatic_healing__spiral	engine_illegal_or_repointed_away
stillness_press__ahjan__gen_alpha_students__somatic_healing__comparison	engine_illegal_or_repointed_away
stillness_press__ahjan__gen_alpha_students__somatic_healing__false_alarm	engine_illegal_or_repointed_away
stillness_press__ahjan__gen_alpha_students__somatic_healing__grief	engine_illegal_or_repointed_away
stillness_press__ahjan__gen_alpha_students__somatic_healing__shame	engine_illegal_or_repointed_away
stillness_press__ahjan__gen_alpha_students__somatic_healing__spiral	engine_illegal_or_repointed_away
stillness_press__ahjan__gen_x_sandwich__somatic_healing__comparison	engine_illegal_or_repointed_away
stillness_press__ahjan__gen_x_sandwich__somatic_healing__false_alarm	engine_illegal_or_repointed_away
stillness_press__ahjan__gen_x_sandwich__somatic_healing__grief	engine_illegal_or_repointed_away
stillness_press__ahjan__gen_x_sandwich__somatic_healing__shame	engine_illegal_or_repointed_away
stillness_press__ahjan__gen_x_sandwich__somatic_healing__spiral	engine_illegal_or_repointed_away
stillness_press__ahjan__gen_z_professionals__somatic_healing__comparison	engine_illegal_or_repointed_away
stillness_press__ahjan__gen_z_professionals__somatic_healing__false_alarm	engine_illegal_or_repointed_away
stillness_press__ahjan__gen_z_professionals__somatic_healing__grief	engine_illegal_or_repointed_away
stillness_press__ahjan__gen_z_professionals__somatic_healing__shame	engine_illegal_or_repointed_away
stillness_press__ahjan__gen_z_professionals__somatic_healing__spiral	engine_illegal_or_repointed_away
stillness_press__ahjan__gen_z_student__somatic_healing__comparison	engine_illegal_or_repointed_away
stillness_press__ahjan__gen_z_student__somatic_healing__false_alarm	engine_illegal_or_repointed_away
stillness_press__ahjan__gen_z_student__somatic_healing__grief	engine_illegal_or_repointed_away
stillness_press__ahjan__gen_z_student__somatic_healing__overwhelm	engine_illegal_or_repointed_away
stillness_press__ahjan__gen_z_student__somatic_healing__shame	engine_illegal_or_repointed_away
stillness_press__ahjan__gen_z_student__somatic_healing__spiral	engine_illegal_or_repointed_away
stillness_press__ahjan__gen_z_student__somatic_healing__watcher	engine_illegal_or_repointed_away
stillness_press__ahjan__healthcare_rns__somatic_healing__comparison	engine_illegal_or_repointed_away
stillness_press__ahjan__healthcare_rns__somatic_healing__false_alarm	engine_illegal_or_repointed_away
stillness_press__ahjan__healthcare_rns__somatic_healing__grief	engine_illegal_or_repointed_away
stillness_press__ahjan__healthcare_rns__somatic_healing__shame	engine_illegal_or_repointed_away
stillness_press__ahjan__healthcare_rns__somatic_healing__spiral	engine_illegal_or_repointed_away
stillness_press__ahjan__millennial_women_professionals__somatic_healing__comparison	engine_illegal_or_repointed_away
stillness_press__ahjan__millennial_women_professionals__somatic_healing__false_alarm	engine_illegal_or_repointed_away
stillness_press__ahjan__millennial_women_professionals__somatic_healing__grief	engine_illegal_or_repointed_away
stillness_press__ahjan__millennial_women_professionals__somatic_healing__shame	engine_illegal_or_repointed_away
stillness_press__ahjan__millennial_women_professionals__somatic_healing__spiral	engine_illegal_or_repointed_away
stillness_press__ahjan__tech_finance_burnout__somatic_healing__comparison	engine_illegal_or_repointed_away
stillness_press__ahjan__tech_finance_burnout__somatic_healing__false_alarm	engine_illegal_or_repointed_away
stillness_press__ahjan__tech_finance_burnout__somatic_healing__grief	engine_illegal_or_repointed_away
stillness_press__ahjan__tech_finance_burnout__somatic_healing__shame	engine_illegal_or_repointed_away
stillness_press__ahjan__tech_finance_burnout__somatic_healing__spiral	engine_illegal_or_repointed_away
stillness_press__ahjan__working_parents__somatic_healing__comparison	engine_illegal_or_repointed_away
stillness_press__ahjan__working_parents__somatic_healing__false_alarm	engine_illegal_or_repointed_away
stillness_press__ahjan__working_parents__somatic_healing__grief	engine_illegal_or_repointed_away
stillness_press__ahjan__working_parents__somatic_healing__shame	engine_illegal_or_repointed_away
stillness_press__ahjan__working_parents__somatic_healing__spiral	engine_illegal_or_repointed_away
