persona	topic	catalog_engine	engine_binding_status	arc_exists	verdict	book_id
corporate_managers	anxiety	comparison	allowed	arc	BUILDABLE_LEGAL	stillness_press__ahjan__corporate_managers__anxiety__comparison
corporate_managers	anxiety	false_alarm	allowed	arc	BUILDABLE_LEGAL	stillness_press__ahjan__corporate_managers__anxiety__false_alarm
corporate_managers	anxiety	grief	allowed	arc	BUILDABLE_LEGAL	stillness_press__ahjan__corporate_managers__anxiety__grief
corporate_managers	anxiety	overwhelm	allowed	arc	BUILDABLE_LEGAL	stillness_press__ahjan__corporate_managers__anxiety__overwhelm
corporate_managers	anxiety	shame	allowed	arc	BUILDABLE_LEGAL	stillness_press__ahjan__corporate_managers__anxiety__shame
corporate_managers	anxiety	spiral	allowed	arc	BUILDABLE_LEGAL	stillness_press__ahjan__corporate_managers__anxiety__spiral
corporate_managers	anxiety	watcher	allowed	arc	BUILDABLE_LEGAL	stillness_press__ahjan__corporate_managers__anxiety__watcher
corporate_managers	sleep_anxiety	false_alarm	allowed	arc	BUILDABLE_LEGAL	stillness_press__ahjan__corporate_managers__sleep_anxiety__false_alarm
corporate_managers	sleep_anxiety	overwhelm	allowed	arc	BUILDABLE_LEGAL	stillness_press__ahjan__corporate_managers__sleep_anxiety__overwhelm
corporate_managers	sleep_anxiety	spiral	allowed	arc	BUILDABLE_LEGAL	stillness_press__ahjan__corporate_managers__sleep_anxiety__spiral
corporate_managers	somatic_healing	comparison	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	stillness_press__ahjan__corporate_managers__somatic_healing__comparison
corporate_managers	somatic_healing	false_alarm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	stillness_press__ahjan__corporate_managers__somatic_healing__false_alarm
corporate_managers	somatic_healing	grief	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	stillness_press__ahjan__corporate_managers__somatic_healing__grief
corporate_managers	somatic_healing	overwhelm	allowed	arc	BUILDABLE_LEGAL	stillness_press__ahjan__corporate_managers__somatic_healing__overwhelm
corporate_managers	somatic_healing	shame	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	stillness_press__ahjan__corporate_managers__somatic_healing__shame
corporate_managers	somatic_healing	spiral	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	stillness_press__ahjan__corporate_managers__somatic_healing__spiral
corporate_managers	somatic_healing	watcher	allowed	arc	BUILDABLE_LEGAL	stillness_press__ahjan__corporate_managers__somatic_healing__watcher
entrepreneurs	anxiety	comparison	allowed	arc	BUILDABLE_LEGAL	stillness_press__ahjan__entrepreneurs__anxiety__comparison
entrepreneurs	anxiety	false_alarm	allowed	arc	BUILDABLE_LEGAL	stillness_press__ahjan__entrepreneurs__anxiety__false_alarm
entrepreneurs	anxiety	grief	allowed	arc	BUILDABLE_LEGAL	stillness_press__ahjan__entrepreneurs__anxiety__grief
entrepreneurs	anxiety	overwhelm	allowed	arc	BUILDABLE_LEGAL	stillness_press__ahjan__entrepreneurs__anxiety__overwhelm
entrepreneurs	anxiety	shame	allowed	arc	BUILDABLE_LEGAL	stillness_press__ahjan__entrepreneurs__anxiety__shame
entrepreneurs	anxiety	spiral	allowed	arc	BUILDABLE_LEGAL	stillness_press__ahjan__entrepreneurs__anxiety__spiral
entrepreneurs	anxiety	watcher	allowed	arc	BUILDABLE_LEGAL	stillness_press__ahjan__entrepreneurs__anxiety__watcher
entrepreneurs	sleep_anxiety	false_alarm	allowed	arc	BUILDABLE_LEGAL	stillness_press__ahjan__entrepreneurs__sleep_anxiety__false_alarm
entrepreneurs	sleep_anxiety	overwhelm	allowed	arc	BUILDABLE_LEGAL	stillness_press__ahjan__entrepreneurs__sleep_anxiety__overwhelm
entrepreneurs	sleep_anxiety	spiral	allowed	arc	BUILDABLE_LEGAL	stillness_press__ahjan__entrepreneurs__sleep_anxiety__spiral
entrepreneurs	somatic_healing	comparison	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	stillness_press__ahjan__entrepreneurs__somatic_healing__comparison
entrepreneurs	somatic_healing	false_alarm	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	stillness_press__ahjan__entrepreneurs__somatic_healing__false_alarm
entrepreneurs	somatic_healing	grief	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	stillness_press__ahjan__entrepreneurs__somatic_healing__grief
entrepreneurs	somatic_healing	overwhelm	allowed	arc	BUILDABLE_LEGAL	stillness_press__ahjan__entrepreneurs__somatic_healing__overwhelm
entrepreneurs	somatic_healing	shame	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	stillness_press__ahjan__entrepreneurs__somatic_healing__shame
entrepreneurs	somatic_healing	spiral	FORBIDDEN	no_arc	MISSING_ARC_ENGINE_ILLEGAL	stillness_press__ahjan__entrepreneurs__somatic_healing__spiral
entrepreneurs	somatic_healing	watcher	allowed	arc	BUILDABLE_LEGAL	stillness_press__ahjan__entrepreneurs__somatic_healing__watcher
first_responders	anxiety	comparison	allowed	arc	BUILDABLE_LEGAL	stillness_press__ahjan__first_responders__anxiety__comparison
first_responders	anxiety	false_alarm	allowed	arc	BUILDABLE_LEGAL	stillness_press__ahjan__first_responders__anxiety__false_alarm
