persona,topic,top_level_slot_count,engine_dir_count,story_blocks,scene_blocks,locale_overlay_count,sparse_unit_count,completeness_score
gen_alpha_students,anxiety,31,7,20,30,37,0,381
gen_z_professionals,anxiety,16,7,43,82,33,1,229
gen_z_professionals,burnout,12,7,20,30,33,0,191
gen_z_professionals,financial_anxiety,12,7,20,30,33,0,191
gen_z_professionals,imposter_syndrome,12,7,20,30,33,0,191
gen_z_professionals,sleep_anxiety,12,7,20,4,33,0,183
corporate_managers,burnout,11,7,20,30,27,0,181
corporate_managers,financial_anxiety,11,7,20,30,22,0,181
corporate_managers,imposter_syndrome,11,7,20,30,22,0,181
corporate_managers,social_anxiety,11,7,20,30,22,0,181
corporate_managers,somatic_healing,11,7,20,30,22,0,181
educators,anxiety,11,7,20,30,42,0,181
entrepreneurs,anxiety,11,7,20,29,22,0,181
gen_alpha_students,boundaries,11,7,20,30,37,0,181
gen_alpha_students,burnout,11,7,20,30,37,0,181
gen_alpha_students,compassion_fatigue,11,7,20,30,37,0,181
gen_alpha_students,courage,11,7,20,30,37,0,181
gen_alpha_students,depression,11,7,20,30,37,0,181
gen_alpha_students,financial_anxiety,11,7,20,30,37,0,181
gen_alpha_students,financial_stress,11,7,20,30,37,0,181
gen_alpha_students,grief,11,7,20,30,37,0,181
gen_alpha_students,imposter_syndrome,11,7,20,30,37,0,181
gen_alpha_students,self_worth,11,7,20,30,37,0,181
gen_alpha_students,social_anxiety,11,7,20,30,37,0,181
gen_alpha_students,somatic_healing,11,7,20,30,37,0,181
gen_x_sandwich,anxiety,11,7,20,30,22,0,181
gen_x_sandwich,boundaries,11,7,20,30,22,0,181
gen_x_sandwich,burnout,11,7,20,30,22,0,181
gen_x_sandwich,compassion_fatigue,11,7,20,30,22,0,181
gen_x_sandwich,courage,11,7,20,30,22,0,181
gen_x_sandwich,depression,11,7,20,30,22,0,181
gen_x_sandwich,financial_anxiety,11,7,20,30,22,0,181
gen_x_sandwich,financial_stress,11,7,20,30,22,0,181
gen_x_sandwich,grief,11,7,20,30,22,0,181
gen_x_sandwich,imposter_syndrome,11,7,20,30,22,0,181
gen_x_sandwich,self_worth,11,7,20,30,22,0,181
gen_x_sandwich,social_anxiety,11,7,20,30,22,0,181
gen_x_sandwich,somatic_healing,11,7,20,30,22,0,181
gen_z_professionals,boundaries,11,7,20,30,32,0,181
gen_z_professionals,compassion_fatigue,11,7,20,30,32,0,181
gen_z_professionals,courage,11,7,20,30,32,0,181
gen_z_professionals,depression,11,7,20,30,32,0,181
gen_z_professionals,financial_stress,11,7,20,30,32,0,181
gen_z_professionals,grief,11,7,20,30,32,0,181
gen_z_professionals,overthinking,11,7,20,20,32,0,181
gen_z_professionals,self_worth,11,7,20,30,32,0,181
gen_z_professionals,social_anxiety,11,7,20,30,32,0,181
gen_z_professionals,somatic_healing,11,7,20,30,32,0,181
nyc_executives,anxiety,11,7,20,30,38,0,181
tech_finance_burnout,burnout,11,7,20,30,45,0,181
tech_finance_burnout,financial_anxiety,11,7,20,30,46,0,181
tech_finance_burnout,imposter_syndrome,11,7,20,30,46,0,181
tech_finance_burnout,overthinking,11,7,20,30,46,0,181
tech_finance_burnout,sleep_anxiety,11,7,20,30,46,0,181
tech_finance_burnout,social_anxiety,11,7,20,30,45,0,181
tech_finance_burnout,somatic_healing,11,7,20,30,46,0,181
working_parents,burnout,11,7,20,30,33,0,181
working_parents,financial_anxiety,11,7,20,30,32,0,181
working_parents,imposter_syndrome,11,7,20,30,33,0,181
working_parents,social_anxiety,11,7,20,30,33,0,181
working_parents,somatic_healing,11,7,20,30,32,0,181
entrepreneurs,boundaries,11,7,20,29,22,1,179
corporate_managers,anxiety,11,7,20,4,27,0,173
corporate_managers,boundaries,11,7,20,4,27,0,173
corporate_managers,compassion_fatigue,11,7,20,4,22,0,173
corporate_managers,courage,11,7,20,4,22,0,173
corporate_managers,depression,11,7,20,4,22,0,173
corporate_managers,financial_stress,11,7,20,4,22,0,173
corporate_managers,grief,11,7,20,4,22,0,173
corporate_managers,overthinking,11,7,20,4,22,0,173
corporate_managers,self_worth,11,7,20,4,22,0,173
corporate_managers,sleep_anxiety,11,7,20,4,22,0,173
entrepreneurs,burnout,11,7,20,30,22,4,173
entrepreneurs,compassion_fatigue,11,7,20,29,22,4,173
entrepreneurs,courage,11,7,20,29,22,4,173
entrepreneurs,depression,11,7,20,29,22,4,173
entrepreneurs,financial_anxiety,11,7,20,30,22,4,173
