persona,topic,unit,path,block_count,kind
entrepreneurs,anchored,PERMISSION,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/anchored/PERMISSION/CANONICAL.txt,0,slot
entrepreneurs,anchored,PIVOT,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/anchored/PIVOT/CANONICAL.txt,0,slot
entrepreneurs,anchored,TAKEAWAY,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/anchored/TAKEAWAY/CANONICAL.txt,0,slot
entrepreneurs,anchored,THREAD,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/anchored/THREAD/CANONICAL.txt,0,slot
entrepreneurs,boundaries,PERMISSION,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/boundaries/PERMISSION/CANONICAL.txt,0,slot
entrepreneurs,burnout,PERMISSION,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/burnout/PERMISSION/CANONICAL.txt,0,slot
entrepreneurs,burnout,PIVOT,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/burnout/PIVOT/CANONICAL.txt,0,slot
entrepreneurs,burnout,TAKEAWAY,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/burnout/TAKEAWAY/CANONICAL.txt,0,slot
entrepreneurs,burnout,THREAD,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/burnout/THREAD/CANONICAL.txt,0,slot
entrepreneurs,compassion_fatigue,PERMISSION,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/compassion_fatigue/PERMISSION/CANONICAL.txt,0,slot
entrepreneurs,compassion_fatigue,PIVOT,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/compassion_fatigue/PIVOT/CANONICAL.txt,0,slot
entrepreneurs,compassion_fatigue,TAKEAWAY,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/compassion_fatigue/TAKEAWAY/CANONICAL.txt,0,slot
entrepreneurs,compassion_fatigue,THREAD,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/compassion_fatigue/THREAD/CANONICAL.txt,0,slot
entrepreneurs,courage,PERMISSION,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/courage/PERMISSION/CANONICAL.txt,0,slot
entrepreneurs,courage,PIVOT,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/courage/PIVOT/CANONICAL.txt,0,slot
entrepreneurs,courage,TAKEAWAY,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/courage/TAKEAWAY/CANONICAL.txt,0,slot
entrepreneurs,courage,THREAD,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/courage/THREAD/CANONICAL.txt,0,slot
entrepreneurs,depression,PERMISSION,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/depression/PERMISSION/CANONICAL.txt,0,slot
entrepreneurs,depression,PIVOT,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/depression/PIVOT/CANONICAL.txt,0,slot
entrepreneurs,depression,TAKEAWAY,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/depression/TAKEAWAY/CANONICAL.txt,0,slot
entrepreneurs,depression,THREAD,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/depression/THREAD/CANONICAL.txt,0,slot
entrepreneurs,financial_anxiety,PERMISSION,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/financial_anxiety/PERMISSION/CANONICAL.txt,0,slot
entrepreneurs,financial_anxiety,PIVOT,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/financial_anxiety/PIVOT/CANONICAL.txt,0,slot
entrepreneurs,financial_anxiety,TAKEAWAY,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/financial_anxiety/TAKEAWAY/CANONICAL.txt,0,slot
entrepreneurs,financial_anxiety,THREAD,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/financial_anxiety/THREAD/CANONICAL.txt,0,slot
entrepreneurs,financial_stress,PERMISSION,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/financial_stress/PERMISSION/CANONICAL.txt,0,slot
entrepreneurs,financial_stress,PIVOT,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/financial_stress/PIVOT/CANONICAL.txt,0,slot
entrepreneurs,financial_stress,TAKEAWAY,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/financial_stress/TAKEAWAY/CANONICAL.txt,0,slot
entrepreneurs,financial_stress,THREAD,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/financial_stress/THREAD/CANONICAL.txt,0,slot
entrepreneurs,grief,PERMISSION,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/grief/PERMISSION/CANONICAL.txt,0,slot
entrepreneurs,grief,PIVOT,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/grief/PIVOT/CANONICAL.txt,0,slot
entrepreneurs,grief,TAKEAWAY,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/grief/TAKEAWAY/CANONICAL.txt,0,slot
entrepreneurs,grief,THREAD,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/grief/THREAD/CANONICAL.txt,0,slot
entrepreneurs,imposter_syndrome,PERMISSION,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/imposter_syndrome/PERMISSION/CANONICAL.txt,0,slot
entrepreneurs,imposter_syndrome,PIVOT,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/imposter_syndrome/PIVOT/CANONICAL.txt,0,slot
entrepreneurs,imposter_syndrome,TAKEAWAY,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/imposter_syndrome/TAKEAWAY/CANONICAL.txt,0,slot
entrepreneurs,imposter_syndrome,THREAD,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/imposter_syndrome/THREAD/CANONICAL.txt,0,slot
entrepreneurs,overthinking,PERMISSION,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/overthinking/PERMISSION/CANONICAL.txt,0,slot
entrepreneurs,overthinking,PIVOT,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/overthinking/PIVOT/CANONICAL.txt,0,slot
entrepreneurs,overthinking,TAKEAWAY,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/overthinking/TAKEAWAY/CANONICAL.txt,0,slot
entrepreneurs,overthinking,THREAD,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/overthinking/THREAD/CANONICAL.txt,0,slot
entrepreneurs,self_worth,PERMISSION,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/self_worth/PERMISSION/CANONICAL.txt,0,slot
entrepreneurs,self_worth,PIVOT,/Users/ahjan/phoenix_omega/atoms/entrepreneurs/self_worth/PIVOT/CANONICAL.txt,0,slot
