priority,phase,item_type,target,unit,lift_score,top100_books_affected,topics_affected,avg_build_now_score,rationale_class,reason
1,B (glue banks),recurring_slot_program,first_responders/PERMISSION,PERMISSION,1216,9,15,206.5,top100_count,PERMISSION is sparse across 15 topics for first_responders; 9 already land in the top-100 build list.
2,B (glue banks),recurring_slot_program,first_responders/PIVOT,PIVOT,1216,9,15,206.5,top100_count,PIVOT is sparse across 15 topics for first_responders; 9 already land in the top-100 build list.
3,B (glue banks),recurring_slot_program,first_responders/TAKEAWAY,TAKEAWAY,1216,9,15,206.5,top100_count,TAKEAWAY is sparse across 15 topics for first_responders; 9 already land in the top-100 build list.
4,B (glue banks),recurring_slot_program,first_responders/THREAD,THREAD,1216,9,15,206.5,top100_count,THREAD is sparse across 15 topics for first_responders; 9 already land in the top-100 build list.
5,B (glue banks),recurring_slot_program,entrepreneurs/PERMISSION,PERMISSION,1125,8,15,205.0,recurring_across_topics,PERMISSION is sparse across 15 topics for entrepreneurs; 8 already land in the top-100 build list.
6,B (glue banks),recurring_slot_program,healthcare_rns/PERMISSION,PERMISSION,1042,7,16,200.0,recurring_across_topics,PERMISSION is sparse across 16 topics for healthcare_rns; 7 already land in the top-100 build list.
7,B (glue banks),recurring_slot_program,healthcare_rns/PIVOT,PIVOT,1042,7,16,200.0,recurring_across_topics,PIVOT is sparse across 16 topics for healthcare_rns; 7 already land in the top-100 build list.
8,B (glue banks),recurring_slot_program,healthcare_rns/TAKEAWAY,TAKEAWAY,1042,7,16,200.0,recurring_across_topics,TAKEAWAY is sparse across 16 topics for healthcare_rns; 7 already land in the top-100 build list.
9,B (glue banks),recurring_slot_program,healthcare_rns/THREAD,THREAD,1042,7,16,200.0,recurring_across_topics,THREAD is sparse across 16 topics for healthcare_rns; 7 already land in the top-100 build list.
10,B (glue banks),recurring_slot_program,entrepreneurs/PIVOT,PIVOT,1020,7,14,202.5,recurring_across_topics,PIVOT is sparse across 14 topics for entrepreneurs; 7 already land in the top-100 build list.
11,B (glue banks),recurring_slot_program,entrepreneurs/TAKEAWAY,TAKEAWAY,1020,7,14,202.5,recurring_across_topics,TAKEAWAY is sparse across 14 topics for entrepreneurs; 7 already land in the top-100 build list.
12,B (glue banks),recurring_slot_program,entrepreneurs/THREAD,THREAD,1020,7,14,202.5,recurring_across_topics,THREAD is sparse across 14 topics for entrepreneurs; 7 already land in the top-100 build list.
13,B (glue banks),recurring_slot_program,millennial_women_professionals/PERMISSION,PERMISSION,866,5,16,204.4,recurring_across_topics,PERMISSION is sparse across 16 topics for millennial_women_professionals; 5 already land in the top-100 build list.
14,B (glue banks),recurring_slot_program,millennial_women_professionals/PIVOT,PIVOT,866,5,16,204.4,recurring_across_topics,PIVOT is sparse across 16 topics for millennial_women_professionals; 5 already land in the top-100 build list.
15,B (glue banks),recurring_slot_program,millennial_women_professionals/TAKEAWAY,TAKEAWAY,866,5,16,204.4,recurring_across_topics,TAKEAWAY is sparse across 16 topics for millennial_women_professionals; 5 already land in the top-100 build list.
16,B (glue banks),recurring_slot_program,millennial_women_professionals/THREAD,THREAD,866,5,16,204.4,recurring_across_topics,THREAD is sparse across 16 topics for millennial_women_professionals; 5 already land in the top-100 build list.
17,B (glue banks),recurring_slot_program,gen_z_professionals/PERMISSION_GRANT,PERMISSION_GRANT,423,1,1,301.0,recurring_across_topics,PERMISSION_GRANT is sparse across 1 topics for gen_z_professionals; 1 already land in the top-100 build list.
18,C (STORY/SCENE depth),recurring_slot_program,gen_z_student/SCENE,SCENE,381,0,15,156.6,recurring_across_topics,SCENE is sparse across 15 topics for gen_z_student; 0 already land in the top-100 build list.
19,B/C (pair repair),pair_repair,gen_z_professionals/anxiety,PERMISSION_GRANT,319,1,1,301,near_buildable_pair_repair,"Already near-buildable, but anxiety for gen_z_professionals is held back by PERMISSION_GRANT."
20,B/C (pair repair),pair_repair,entrepreneurs/burnout,PERMISSION|PIVOT|TAKEAWAY|THREAD,283,1,1,211,near_buildable_pair_repair,"Already near-buildable, but burnout for entrepreneurs is held back by PERMISSION, PIVOT, TAKEAWAY, THREAD."
21,B/C (pair repair),pair_repair,entrepreneurs/financial_anxiety,PERMISSION|PIVOT|TAKEAWAY|THREAD,283,1,1,211,near_buildable_pair_repair,"Already near-buildable, but financial_anxiety for entrepreneurs is held back by PERMISSION, PIVOT, TAKEAWAY, THREAD."
22,B/C (pair repair),pair_repair,entrepreneurs/imposter_syndrome,PERMISSION|PIVOT|TAKEAWAY|THREAD,283,1,1,211,near_buildable_pair_repair,"Already near-buildable, but imposter_syndrome for entrepreneurs is held back by PERMISSION, PIVOT, TAKEAWAY, THREAD."
23,B/C (pair repair),pair_repair,entrepreneurs/overthinking,PERMISSION|PIVOT|TAKEAWAY|THREAD,283,1,1,211,near_buildable_pair_repair,"Already near-buildable, but overthinking for entrepreneurs is held back by PERMISSION, PIVOT, TAKEAWAY, THREAD."
24,B/C (pair repair),pair_repair,entrepreneurs/sleep_anxiety,PERMISSION|PIVOT|TAKEAWAY|THREAD,283,1,1,211,near_buildable_pair_repair,"Already near-buildable, but sleep_anxiety for entrepreneurs is held back by PERMISSION, PIVOT, TAKEAWAY, THREAD."
25,B/C (pair repair),pair_repair,entrepreneurs/social_anxiety,PERMISSION|PIVOT|TAKEAWAY|THREAD,283,1,1,211,near_buildable_pair_repair,"Already near-buildable, but social_anxiety for entrepreneurs is held back by PERMISSION, PIVOT, TAKEAWAY, THREAD."
26,B/C (pair repair),pair_repair,entrepreneurs/somatic_healing,PERMISSION|PIVOT|TAKEAWAY|THREAD,283,1,1,211,near_buildable_pair_repair,"Already near-buildable, but somatic_healing for entrepreneurs is held back by PERMISSION, PIVOT, TAKEAWAY, THREAD."
27,B/C (pair repair),pair_repair,first_responders/burnout,PERMISSION|PIVOT|TAKEAWAY|THREAD,283,1,1,211,near_buildable_pair_repair,"Already near-buildable, but burnout for first_responders is held back by PERMISSION, PIVOT, TAKEAWAY, THREAD."
