wave_rank,persona,topic,build_now_score,readiness_band,story_blocks,scene_blocks,sparse_unit_count,locale_overlay_count,in_pilot_10,eligibility_note
1,gen_alpha_students,anxiety,451,build_now,20,30,0,37,yes,build_now; SCENE>=30; sparse=0; no unrepaired-glue dependency
2,gen_z_professionals,burnout,261,build_now,20,30,0,33,yes,build_now; SCENE>=30; sparse=0; no unrepaired-glue dependency
3,gen_z_professionals,financial_anxiety,261,build_now,20,30,0,33,yes,build_now; SCENE>=30; sparse=0; no unrepaired-glue dependency
4,gen_z_professionals,imposter_syndrome,261,build_now,20,30,0,33,no,build_now; SCENE>=30; sparse=0; no unrepaired-glue dependency
5,corporate_managers,burnout,251,build_now,20,30,0,27,yes,build_now; SCENE>=30; sparse=0; no unrepaired-glue dependency
6,corporate_managers,financial_anxiety,251,build_now,20,30,0,22,yes,build_now; SCENE>=30; sparse=0; no unrepaired-glue dependency
7,corporate_managers,imposter_syndrome,251,build_now,20,30,0,22,no,build_now; SCENE>=30; sparse=0; no unrepaired-glue dependency
8,corporate_managers,social_anxiety,251,build_now,20,30,0,22,no,build_now; SCENE>=30; sparse=0; no unrepaired-glue dependency
9,educators,anxiety,251,build_now,20,30,0,42,yes,build_now; SCENE>=30; sparse=0; no unrepaired-glue dependency
10,gen_alpha_students,boundaries,251,build_now,20,30,0,37,yes,build_now; SCENE>=30; sparse=0; no unrepaired-glue dependency
11,gen_alpha_students,burnout,251,build_now,20,30,0,37,no,build_now; SCENE>=30; sparse=0; no unrepaired-glue dependency
12,gen_alpha_students,compassion_fatigue,251,build_now,20,30,0,37,no,build_now; SCENE>=30; sparse=0; no unrepaired-glue dependency
13,gen_x_sandwich,anxiety,251,build_now,20,30,0,22,yes,build_now; SCENE>=30; sparse=0; no unrepaired-glue dependency
14,gen_x_sandwich,boundaries,251,build_now,20,30,0,22,yes,build_now; SCENE>=30; sparse=0; no unrepaired-glue dependency
15,gen_x_sandwich,burnout,251,build_now,20,30,0,22,no,build_now; SCENE>=30; sparse=0; no unrepaired-glue dependency
16,gen_x_sandwich,compassion_fatigue,251,build_now,20,30,0,22,no,build_now; SCENE>=30; sparse=0; no unrepaired-glue dependency
17,gen_z_professionals,boundaries,251,build_now,20,30,0,32,no,build_now; SCENE>=30; sparse=0; no unrepaired-glue dependency
18,nyc_executives,anxiety,251,build_now,20,30,0,38,yes,build_now; SCENE>=30; sparse=0; no unrepaired-glue dependency
19,tech_finance_burnout,burnout,251,build_now,20,30,0,45,no,build_now; SCENE>=30; sparse=0; no unrepaired-glue dependency
20,tech_finance_burnout,financial_anxiety,251,build_now,20,30,0,46,no,build_now; SCENE>=30; sparse=0; no unrepaired-glue dependency
21,tech_finance_burnout,imposter_syndrome,251,build_now,20,30,0,46,no,build_now; SCENE>=30; sparse=0; no unrepaired-glue dependency
22,tech_finance_burnout,overthinking,251,build_now,20,30,0,46,no,build_now; SCENE>=30; sparse=0; no unrepaired-glue dependency
23,working_parents,financial_anxiety,251,build_now,20,30,0,32,no,build_now; SCENE>=30; sparse=0; no unrepaired-glue dependency
24,working_parents,imposter_syndrome,251,build_now,20,30,0,33,no,build_now; SCENE>=30; sparse=0; no unrepaired-glue dependency
25,working_parents,social_anxiety,251,build_now,20,30,0,33,no,build_now; SCENE>=30; sparse=0; no unrepaired-glue dependency
