family	files	bytes	mb	classification
assets/manga_catalog	6078	6481926178	6181.65	BUILD_ARTIFACT
misc	3463	4390365426	4186.98	BUILD_ARTIFACT
manga/alarm_is_lying	519	407900668	389.00	BUILD_ARTIFACT
assets/sfx_bank	96	183076224	174.60	BUILD_ARTIFACT
artifacts/manga/image_bank	66	106017046	101.11	BUILD_ARTIFACT
artifacts/manga/warrior_calm_cultivation__master_wu__en_US__burnout__the_chassis_is_listening	16	19490071	18.59	BUILD_ARTIFACT
artifacts/manga/v1_1_smoke_2026-05-12	12	16656432	15.88	BUILD_ARTIFACT
artifacts/manga/stillness_press_qa_run	4	10902368	10.40	BUILD_ARTIFACT
artifacts/manga/v1_1_cover_fix_smoke_2026-05-12	3	5324660	5.08	BUILD_ARTIFACT
assets/authors	27	5225244	4.98	BUILD_ARTIFACT
artifacts/manga/negative_prompt_test_2026-05-10	1	2233708	2.13	BUILD_ARTIFACT
artifacts/manga/cognitive_clarity__en_US__psychological_thriller__series01	10	802390	0.77	BUILD_ARTIFACT
artifacts/manga/anxiety_series	81	20159	0.02	BUILD_ARTIFACT
