subsystem	status	coverage_%	evidence	gap_to_100	next_ws
books_pearl_prime	PARTIAL	~0% trade-pub-shippable; 13% reach render; 97.7% have atoms	move4_2026_04_26/assembly_summary.json (draft profile, all release_band=Reject); en_us_catalog_bestseller_audit_2026-05-13.md (26/200 render, 87% blocked scene_anchor_density); ACCEPTANCE_VERDICT_2hr_ahjan_genz_anxiety_2026-05-18.md (Layer-3 FAIL); register_gate.py built-not-wired	scene_anchor_density blocks 174/200 pre-render; register_gate + ship_readiness unwired; pipeline default still legacy 'registry'; teacher-bank QUOTE=0/15 TEACHER_DOCTRINE=ahjan-only; duration labels wrong 8/10 formats	ws_register_gate_implementation_20260518; ws_ship_readiness_aggregator_20260518; ws_pipeline_mode_default_flip_to_spine_20260518
podcasts	PARTIAL	2.7% (1 of 37 brands, 1 week, en-US)	artifacts/weekly_packages/stillness_press/2026-W22/spotify_podcast/ep01_*.mp3 (2 MP3s, ~55s); PR #320, #1347; podcast-weekly.yml cron hardcoded stillness_press	cron loops only 1 brand not 37; CosyVoice2 endpoint unprovisioned (blocks CJK); R2 upload untested; brand-admin API/UI spec'd	new ws (Pearl_Prime cron 37-brand loop); CosyVoice2 endpoint provisioning (Pearl_Int)
manga	PARTIAL	2.7% by episode (1 of 37 brands); V4 single-model not V2	composed_v4_qwen/ep_001/ (35 panels); PR #1349 (reused V4 panels); MANGA_LAYER_RENDER_CONTRACT_SPEC.md v0.7 (2/35 placement flaw)	V2 multi-model 6 phases all PROPOSED; LoRA training not impl; 0 CJK episodes (blocked_lora); Conductor v3 queued/blocked; ep_002 pose-lib gated	ws_post_pr478_manga_activation_20260418; ws_ep002_v51_pose_library_extension_20260527; ws_zh_manga_blocked_lora_followup_20260511
audiobooks	PARTIAL	0.3% (1 of 312 books)	weekly_packages/stillness_press/2026-W22/audiobook/*.m4b (1, 6.5min CosyVoice2 $0); audiobook_samples/*.mp3 (13 ch1 demos); narrator_voice_assignments.yaml (480 config-only)	comparator loop never run on catalog; 40 CJK ref clips are Libri English stand-ins; en-US routing still ElevenLabs-first; 480 slots 0 rendered	new ws (comparator staging run); CJK native corpora acquisition (JVS/CSS10/KSS)
video	PARTIAL_BROKEN	0% via canonical pipeline (30 bespoke one-off MP4s only)	run_pipeline.py --skip-render default True; run_voice_synthesis.py MISSING; video-daily-publish.yml --brand-suffix mismatch (never succeeded); yt_starseed_ahjan_update_20260610/ (21 bespoke)	canonical narration broken; upload CI broken; no generation cron; no Brand-Admin-V2 video axis; CJK = macOS say hack	new ws (write run_voice_synthesis.py); fix upload CI (Pearl_GitHub); ws_video_brand_admin_axis (new)
atom_corpus_en_US	PARTIAL	97.7% (1231/1260 Phase-A cells; ~93% at 3-variant floor)	find atoms -name CANONICAL.txt = 16292; per-cell isfile check; SSOT summary 20260606 ~93%	29 empty cells (midlife_women 15, educators 7, nyc_executives 7); midlife_women master_arcs=0	ws_atom_gap_fill_20260410; ws_midlife_women_arc_authoring_20260427
atom_corpus_overlay_teacher_banks	BROKEN	~near-0% (QUOTE 0/15 teachers; TEACHER_DOCTRINE ahjan-only=19)	SOURCE_OF_TRUTH/teacher_banks/* per-teacher count; root cause of F3 off-doctrine defect	15 teachers need QUOTE + TEACHER_DOCTRINE atoms; only adi_da has CJK-localized teacher atoms	ws_teacher_wrapper_semantics_impl_20260517 + editorial backfill
cjk_atoms_ja_JP	PARTIAL	86.7% (1093/1260 Phase-A cells)	per-cell isfile locales/ja-JP; sampled real fluent translations	~167 cells short of floor; teacher-bank ja-JP localization (14 teachers) absent	ws_pearl_localization_atom_100pct_tier_p2_ja_jp_20260606 (worktree/unmerged)
cjk_atoms_zh_TW	PARTIAL	84.8% (1068/1260 Phase-A cells)	per-cell isfile locales/zh-TW; sampled real (localized headings)	~192 cells short; teacher-bank zh-TW localization absent	ws_pearl_localization_atom_100pct_* (worktree/unmerged)
cjk_atoms_zh_CN	PARTIAL	27.5% (347/1260)	per-cell isfile locales/zh-CN	913 cells short	ws_cjk_atom_translation_qwen25_20260420
cjk_atoms_ko_KR	THIN	4.8% (61/1260)	per-cell isfile locales/ko-KR	1199 cells short (P4 tier)	ws_pearl_localization_atom_100pct_tier_p4 (worktree/unmerged)
cjk_atoms_zh_HK_zh_SG	THIN	6.0% (76/1260 each)	per-cell isfile	1184 cells short each (P4/P5 tier, low priority)	deferred (P5 SOFT)
eu_locales_de_fr_es_it_hu	NOT_STARTED	0%	gap matrix BY_LOCALE rows; no locales/ dirs on disk	full grid; P5 SOFT/operator-deferred — not on critical path	deferred (Q-Atom-LOCALE-SCOPE-01)
atom_coverage_overall_verdict	PARTIAL	NOT 100%; ~97.7% en-US / ~85% ja-JP+zh-TW (NOT 0.1%)	0.1%/62409-variant gap-matrix is worktree-only + false-zero counter + aspirational 13-locale denominator (72% P5 deferred)	teacher-bank overlay + 29 en-US cells + CJK voice/infra = the real to-100%	see ROADMAP_TO_100.md section A
