brand_id	tier	ebooks_yr	manga_series	podcast_eps_yr	audiobook_titles_yr	series_plan_key	gaps
adhd_forge_mystery	niche	4	2	26	4		manga_series_plan_inherited_tier
bio_flow_healing	niche	4	2	26	4		manga_series_plan_inherited_tier
body_memory_shojo	core	5	3	40	5	body_memory	
bright_presence_tw_seinen	niche	5	3	26	5	bright_presence_tw	
calm_student_school	niche	4	2	26	4		manga_series_plan_inherited_tier
career_lift_workplace	core	6	3	40	6		manga_series_plan_inherited_tier
cognitive_clarity	flagship	8	4	52	8		
confidence_core_romance	niche	4	2	26	4		manga_series_plan_inherited_tier
creative_unfold_social	niche	4	2	26	4		manga_series_plan_inherited_tier
devotion_path_shonen	niche	6	3	26	6	devotion_path	
digital_ground	flagship	8	4	52	8		
executive_calm_workplace	core	6	3	40	6		manga_series_plan_inherited_tier
focus_sprint_workplace	core	6	3	40	6		manga_series_plan_inherited_tier
gentle_growth_healing	core	6	3	40	6		manga_series_plan_inherited_tier
healing_ground_healing	core	6	3	40	6		manga_series_plan_inherited_tier
heart_balance_shojo	core	5	3	40	5	heart_balance	
high_performer_workplace	core	6	3	40	6		manga_series_plan_inherited_tier
hormone_reset_healing	niche	4	2	26	4		manga_series_plan_inherited_tier
legacy_builder_memoir	niche	4	2	26	4		manga_series_plan_inherited_tier
longevity_lab_healing	niche	4	2	26	4		manga_series_plan_inherited_tier
minimal_mind_healing	core	6	3	40	6		manga_series_plan_inherited_tier
morning_momentum_workplace	core	6	3	40	6		manga_series_plan_inherited_tier
night_reset_healing	core	6	3	40	6		manga_series_plan_inherited_tier
optimizer_workplace	core	6	3	40	6		manga_series_plan_inherited_tier
qi_foundation_cultivation	niche	6	3	26	6		
relational_calm_iyashikei	core	8	4	40	8	relational_calm	
relationship_clarity_romance	niche	4	2	26	4		manga_series_plan_inherited_tier
resilient_parent_social	niche	4	2	26	4		manga_series_plan_inherited_tier
sleep_restoration_iyashikei	core	4	2	40	4	sleep_restoration	
solar_return_isekai	niche	6	3	26	6	solar_return	
somatic_wisdom_shojo	core	5	3	40	5	somatic_wisdom	
spiritual_ground_supernatural	niche	4	2	26	4		manga_series_plan_inherited_tier
stabilizer_healing	core	6	3	40	6		manga_series_plan_inherited_tier
stillness_press	flagship	6	3	52	6		
stoic_edge_battle	niche	4	2	26	4		manga_series_plan_inherited_tier
trauma_path_healing	niche	4	2	26	4		manga_series_plan_inherited_tier
warrior_calm_cultivation	niche	6	3	26	6	warrior_calm	
