brand_id	tier	ebooks_yr	manga_series	ssot_series_count	podcast_eps_yr	audiobook_titles_yr	volumes_source	series_plan_key
adhd_forge_mystery	niche	4	4	4	26	4	tier_default	
bio_flow_healing	niche	4	6	6	26	4	tier_default	
body_memory_shojo	core	5	8	8	40	5	curated_series_plan	body_memory
bright_presence_tw_seinen	niche	5	4	4	26	5	curated_series_plan	bright_presence_tw
calm_student_school	niche	4	4	4	26	4	tier_default	
career_lift_workplace	core	6	8	8	40	6	tier_default	
cognitive_clarity	flagship	8	14	14	52	8	curated_series_plan	
confidence_core_romance	niche	4	6	6	26	4	tier_default	
creative_unfold_social	niche	4	4	4	26	4	tier_default	
devotion_path_shonen	niche	6	6	6	26	6	curated_series_plan	devotion_path
digital_ground	flagship	8	14	14	52	8	curated_series_plan	
executive_calm_workplace	core	6	8	8	40	6	tier_default	
focus_sprint_workplace	core	6	8	8	40	6	tier_default	
gentle_growth_healing	core	6	8	8	40	6	tier_default	
healing_ground_healing	core	6	8	8	40	6	tier_default	
heart_balance_shojo	core	5	8	8	40	5	curated_series_plan	heart_balance
high_performer_workplace	core	6	8	8	40	6	tier_default	
hormone_reset_healing	niche	4	6	6	26	4	tier_default	
legacy_builder_memoir	niche	4	4	4	26	4	tier_default	
longevity_lab_healing	niche	4	6	6	26	4	tier_default	
minimal_mind_healing	core	6	8	8	40	6	tier_default	
morning_momentum_workplace	core	6	8	8	40	6	tier_default	
night_reset_healing	core	6	8	8	40	6	tier_default	
optimizer_workplace	core	6	8	8	40	6	tier_default	
qi_foundation_cultivation	niche	6	4	4	26	6	curated_series_plan	
relational_calm_iyashikei	core	8	8	8	40	8	curated_series_plan	relational_calm
relationship_clarity_romance	niche	4	6	6	26	4	tier_default	
resilient_parent_social	niche	4	6	6	26	4	tier_default	
sleep_restoration_iyashikei	core	4	10	10	40	4	curated_series_plan	sleep_restoration
solar_return_isekai	niche	6	4	4	26	6	curated_series_plan	solar_return
somatic_wisdom_shojo	core	5	10	10	40	5	curated_series_plan	somatic_wisdom
spiritual_ground_supernatural	niche	4	6	6	26	4	tier_default	
stabilizer_healing	core	6	8	8	40	6	tier_default	
stillness_press	flagship	6	16	16	52	6	curated_series_plan	
stoic_edge_battle	niche	4	6	6	26	4	tier_default	
trauma_path_healing	niche	4	6	6	26	4	tier_default	
warrior_calm_cultivation	niche	6	6	6	26	6	curated_series_plan	warrior_calm
