panel_id	status	bytes	seconds
ep001_001	ok	2596354	23.1
ep001_002	ok	2156201	20.7
ep001_003	ok	2361433	27.6
ep001_004	ok	2431460	14.3
ep001_005	ok	2501739	13.7
ep001_006	ok	2161349	12.9
ep001_007	ok	2253718	13.4
ep001_008	ok	2169600	12.9
ep001_009	ok	2492494	14.9
ep001_010	ok	1547188	13.2
ep001_011	ok	2715497	13.2
ep001_012	ok	2230105	13.1
ep001_013	ok	2109902	19.4
ep001_014	ok	2984528	13.4
ep001_015	ok	3110634	17.3
ep001_016	ok	2163389	14.4
ep001_017	ok	2303554	13.0
ep001_018	ok	2132317	72.7
ep001_019	ok	1709440	51.5
ep001_020	ok	2706991	79.0
ep001_021	ok	1806998	14.6
ep001_022	ok	2481313	81.2
ep001_023	ok	2432875	23.9
ep001_024	ok	2997624	18.3
ep001_025	ok	1697188	15.8
ep001_026	ok	2424457	17.1
ep001_027	ok	1646573	15.8
ep001_028	ok	3157494	16.6
ep001_029	ok	2398114	15.3
ep001_030	ok	2499599	15.7
ep001_031	ok	1845125	15.4
ep001_032	ok	3118951	15.9
ep001_033	ok	2202775	15.2
ep001_034	ok	2623792	15.8
