panel_id	status	bytes	seconds
ep001_001	ok	2074530	16.6
ep001_002	ok	2215487	15.7
ep001_003	ok	1933378	23.4
ep001_004	ok	1596709	15.7
ep001_005	ok	2255080	16.5
ep001_006	ok	2392034	15.3
ep001_007	ok	1712757	15.4
ep001_008	ok	1833124	15.2
ep001_009	ok	2554691	15.4
ep001_010	ok	1814958	15.7
ep001_011	ok	1860277	15.4
ep001_012	ok	2108336	15.4
ep001_013	ok	1662953	16.1
ep001_014	ok	2616831	14.0
ep001_015	ok	3079598	17.5
ep001_016	ok	2333576	15.4
ep001_017	ok	2101125	15.4
ep001_018	ok	2237895	15.3
ep001_019	ok	1578442	15.5
ep001_020	ok	2662983	15.5
ep001_021	ok	2181098	15.4
ep001_022	ok	2025977	15.3
ep001_023	ok	2393609	15.4
ep001_024	ok	2550348	15.6
ep001_025	ok	1595840	15.1
ep001_026	ok	1785547	15.4
ep001_027	ok	1979267	15.3
ep001_028	ok	2835394	19.8
ep001_029	ok	2211560	15.4
ep001_030	ok	2546875	15.3
ep001_031	ok	2014263	15.3
ep001_032	ok	3162089	15.8
ep001_033	ok	2361074	15.5
ep001_034	ok	2639140	15.8
