brand_id	tier	named_cast_scope	image_bank_dir	required_slot_count	present_slot_count	gap_count	priority	slot_taxonomy	notes
adhd_forge_mystery	niche	style_only	artifacts/manga/image_bank/adhd_forge_mystery	30	0	30	P3_medium_gap	location_backgrounds:24|props:6	Style LoRA only
bio_flow_healing	niche	style_only	artifacts/manga/image_bank/bio_flow_healing	30	0	30	P3_medium_gap	location_backgrounds:24|props:6	Style LoRA only
body_memory_shojo	core	teacher_lora	artifacts/manga/image_bank/body_memory	60	0	60	P2_high_gap	character_views:4|model_sheets:12|expressions:8|poses:16|anchor_panels:6|location_backgrounds:8|props:6	V2 named-cast (12-14 catalog-wide teachers)
bright_presence_tw_seinen	niche	teacher_lora	artifacts/manga/image_bank/bright_presence_tw	60	0	60	P2_high_gap	character_views:4|model_sheets:12|expressions:8|poses:16|anchor_panels:6|location_backgrounds:8|props:6	V2 named-cast (12-14 catalog-wide teachers)
calm_student_school	niche	style_only	artifacts/manga/image_bank/calm_student_school	30	0	30	P3_medium_gap	location_backgrounds:24|props:6	Style LoRA only
career_lift_workplace	core	style_only	artifacts/manga/image_bank/career_lift_workplace	30	0	30	P3_medium_gap	location_backgrounds:24|props:6	Style LoRA only
cognitive_clarity	flagship	teacher_lora	artifacts/manga/image_bank/cognitive_clarity	60	0	60	P1_flagship	character_views:4|model_sheets:12|expressions:8|poses:16|anchor_panels:6|location_backgrounds:8|props:6	V2 named-cast (12-14 catalog-wide teachers)
confidence_core_romance	niche	style_only	artifacts/manga/image_bank/confidence_core_romance	30	0	30	P3_medium_gap	location_backgrounds:24|props:6	Style LoRA only
creative_unfold_social	niche	style_only	artifacts/manga/image_bank/creative_unfold_social	30	0	30	P3_medium_gap	location_backgrounds:24|props:6	Style LoRA only
devotion_path_shonen	niche	teacher_lora	artifacts/manga/image_bank/devotion_path	60	0	60	P2_high_gap	character_views:4|model_sheets:12|expressions:8|poses:16|anchor_panels:6|location_backgrounds:8|props:6	V2 named-cast (12-14 catalog-wide teachers)
digital_ground	flagship	teacher_lora	artifacts/manga/image_bank/digital_ground	60	0	60	P1_flagship	character_views:4|model_sheets:12|expressions:8|poses:16|anchor_panels:6|location_backgrounds:8|props:6	V2 named-cast (12-14 catalog-wide teachers)
executive_calm_workplace	core	style_only	artifacts/manga/image_bank/executive_calm_workplace	30	0	30	P3_medium_gap	location_backgrounds:24|props:6	Style LoRA only
focus_sprint_workplace	core	style_only	artifacts/manga/image_bank/focus_sprint_workplace	30	0	30	P3_medium_gap	location_backgrounds:24|props:6	Style LoRA only
gentle_growth_healing	core	style_only	artifacts/manga/image_bank/gentle_growth_healing	30	0	30	P3_medium_gap	location_backgrounds:24|props:6	Style LoRA only
healing_ground_healing	core	style_only	artifacts/manga/image_bank/healing_ground_healing	30	0	30	P3_medium_gap	location_backgrounds:24|props:6	Style LoRA only
heart_balance_shojo	core	teacher_lora	artifacts/manga/image_bank/heart_balance	60	0	60	P2_high_gap	character_views:4|model_sheets:12|expressions:8|poses:16|anchor_panels:6|location_backgrounds:8|props:6	V2 named-cast (12-14 catalog-wide teachers)
high_performer_workplace	core	style_only	artifacts/manga/image_bank/high_performer_workplace	30	0	30	P3_medium_gap	location_backgrounds:24|props:6	Style LoRA only
hormone_reset_healing	niche	style_only	artifacts/manga/image_bank/hormone_reset_healing	30	0	30	P3_medium_gap	location_backgrounds:24|props:6	Style LoRA only
legacy_builder_memoir	niche	style_only	artifacts/manga/image_bank/legacy_builder_memoir	30	0	30	P3_medium_gap	location_backgrounds:24|props:6	Style LoRA only
longevity_lab_healing	niche	style_only	artifacts/manga/image_bank/longevity_lab_healing	30	0	30	P3_medium_gap	location_backgrounds:24|props:6	Style LoRA only
minimal_mind_healing	core	style_only	artifacts/manga/image_bank/minimal_mind_healing	30	0	30	P3_medium_gap	location_backgrounds:24|props:6	Style LoRA only
morning_momentum_workplace	core	style_only	artifacts/manga/image_bank/morning_momentum_workplace	30	0	30	P3_medium_gap	location_backgrounds:24|props:6	Style LoRA only
