brand_id|locale|script_family|cadence|episode_count_planned|narrator|localization_mode|format_spec_ref|readiness_state|notes
adhd_forge_mystery|en_US|narrative_arc|weekly|60|pending_narrator_assignment|native|config/podcast/podcast_format.yaml#podcast_episode|planned|anchor_topic=adhd_focus
adhd_forge_mystery|en_US|brand_story|per_series_launch|6|pending_narrator_assignment|native|config/podcast/podcast_format.yaml#podcast_trailer|planned|anchor_topic=adhd_focus
adhd_forge_mystery|en_US|exercise_walkthrough|daily_weekdays|260|pending_narrator_assignment|native|config/podcast/podcast_format.yaml#podcast_short|planned|anchor_topic=adhd_focus
adhd_forge_mystery|ja_JP|narrative_arc|weekly|32|pending_narrator_assignment|translate_from_en_US|config/podcast/podcast_format.yaml#podcast_episode|planned|Pearl_Localization:config/localization/quality_contracts/ja-JP/full_chapter_atoms;PIVOT+TAKEAWAY+THREAD+PERMISSION slots;anchor_topic=adhd_focus
adhd_forge_mystery|ja_JP|brand_story|per_series_launch|4|pending_narrator_assignment|translate_from_en_US|config/podcast/podcast_format.yaml#podcast_trailer|planned|Pearl_Localization:config/localization/quality_contracts/ja-JP/series_intro+arc_preview;marketing_copy;anchor_topic=adhd_focus
adhd_forge_mystery|ja_JP|exercise_walkthrough|daily_weekdays|260|pending_narrator_assignment|translate_from_en_US|config/podcast/podcast_format.yaml#podcast_short|planned|Pearl_Localization:config/localization/quality_contracts/ja-JP/EXERCISE_atom;guided_practice_pacing_cues;anchor_topic=adhd_focus
adhd_forge_mystery|ko_KR|narrative_arc|weekly|40|pending_narrator_assignment|translate_from_en_US|config/podcast/podcast_format.yaml#podcast_episode|planned|Pearl_Localization:config/localization/quality_contracts/ko-KR/full_chapter_atoms;PIVOT+TAKEAWAY+THREAD+PERMISSION slots;podbbang_distribution_required;anchor_topic=adhd_focus
adhd_forge_mystery|ko_KR|brand_story|per_series_launch|4|pending_narrator_assignment|translate_from_en_US|config/podcast/podcast_format.yaml#podcast_trailer|planned|Pearl_Localization:config/localization/quality_contracts/ko-KR/series_intro+arc_preview;marketing_copy;anchor_topic=adhd_focus
adhd_forge_mystery|ko_KR|exercise_walkthrough|daily_weekdays|260|pending_narrator_assignment|translate_from_en_US|config/podcast/podcast_format.yaml#podcast_short|planned|Pearl_Localization:config/localization/quality_contracts/ko-KR/EXERCISE_atom;guided_practice_pacing_cues;anchor_topic=adhd_focus
adhd_forge_mystery|zh_CN|narrative_arc|weekly|48|pending_narrator_assignment|translate_from_en_US|config/podcast/podcast_format.yaml#podcast_episode|planned|Pearl_Localization:config/localization/quality_contracts/zh-CN/full_chapter_atoms;PIVOT+TAKEAWAY+THREAD+PERMISSION slots;ximalaya_direct_upload_not_rss;anchor_topic=adhd_focus
adhd_forge_mystery|zh_CN|brand_story|per_series_launch|4|pending_narrator_assignment|translate_from_en_US|config/podcast/podcast_format.yaml#podcast_trailer|planned|Pearl_Localization:config/localization/quality_contracts/zh-CN/series_intro+arc_preview;marketing_copy;anchor_topic=adhd_focus
adhd_forge_mystery|zh_TW|narrative_arc|weekly|30|pending_narrator_assignment|translate_from_en_US|config/podcast/podcast_format.yaml#podcast_episode|planned|Pearl_Localization:config/localization/quality_contracts/zh-TW/full_chapter_atoms;PIVOT+TAKEAWAY+THREAD+PERMISSION slots;anchor_topic=adhd_focus
adhd_forge_mystery|zh_TW|brand_story|per_series_launch|3|pending_narrator_assignment|translate_from_en_US|config/podcast/podcast_format.yaml#podcast_trailer|planned|Pearl_Localization:config/localization/quality_contracts/zh-TW/series_intro+arc_preview;marketing_copy;anchor_topic=adhd_focus
