brand_id	locale	surface	series_count	episode_per_series_count	priority_phase
stillness_press	en_US	podcast	6	10	V1.1_podcast_proposed
stillness_press	ja_JP	podcast	4	8	V1.1_podcast_proposed
stillness_press	zh_TW	podcast	3	10	V1.1_podcast_proposed
stillness_press	zh_CN	podcast	4	12	V1.1_podcast_proposed
cognitive_clarity	en_US	podcast	6	10	V1.1_podcast_proposed
cognitive_clarity	ja_JP	podcast	4	8	V1.1_podcast_proposed
cognitive_clarity	zh_TW	podcast	3	10	V1.1_podcast_proposed
cognitive_clarity	zh_CN	podcast	4	12	V1.1_podcast_proposed
digital_ground	en_US	podcast	6	10	V1.1_podcast_proposed
digital_ground	ja_JP	podcast	4	8	V1.1_podcast_proposed
digital_ground	zh_TW	podcast	3	10	V1.1_podcast_proposed
digital_ground	zh_CN	podcast	4	12	V1.1_podcast_proposed
sleep_restoration_iyashikei	en_US	podcast	6	10	V1.1_podcast_proposed
sleep_restoration_iyashikei	ja_JP	podcast	4	8	V1.1_podcast_proposed
sleep_restoration_iyashikei	zh_TW	podcast	3	10	V1.1_podcast_proposed
sleep_restoration_iyashikei	zh_CN	podcast	4	12	V1.1_podcast_proposed
somatic_wisdom_shojo	en_US	podcast	6	10	V1.1_podcast_proposed
somatic_wisdom_shojo	ja_JP	podcast	4	8	V1.1_podcast_proposed
somatic_wisdom_shojo	zh_TW	podcast	3	10	V1.1_podcast_proposed
somatic_wisdom_shojo	zh_CN	podcast	4	12	V1.1_podcast_proposed
relational_calm_iyashikei	en_US	podcast	6	10	V1.1_podcast_proposed
relational_calm_iyashikei	ja_JP	podcast	4	8	V1.1_podcast_proposed
relational_calm_iyashikei	zh_TW	podcast	3	10	V1.1_podcast_proposed
relational_calm_iyashikei	zh_CN	podcast	4	12	V1.1_podcast_proposed
healing_ground_healing	en_US	podcast	6	10	V1.1_podcast_proposed
healing_ground_healing	ja_JP	podcast	4	8	V1.1_podcast_proposed
healing_ground_healing	zh_TW	podcast	3	10	V1.1_podcast_proposed
healing_ground_healing	zh_CN	podcast	4	12	V1.1_podcast_proposed
body_memory_shojo	en_US	podcast	6	10	V1.1_podcast_proposed
body_memory_shojo	ja_JP	podcast	4	8	V1.1_podcast_proposed
body_memory_shojo	zh_TW	podcast	3	10	V1.1_podcast_proposed
body_memory_shojo	zh_CN	podcast	4	12	V1.1_podcast_proposed
minimal_mind_healing	en_US	podcast	6	10	V1.1_podcast_proposed
minimal_mind_healing	ja_JP	podcast	4	8	V1.1_podcast_proposed
minimal_mind_healing	zh_TW	podcast	3	10	V1.1_podcast_proposed
minimal_mind_healing	zh_CN	podcast	4	12	V1.1_podcast_proposed
night_reset_healing	en_US	podcast	6	10	V1.1_podcast_proposed
night_reset_healing	ja_JP	podcast	4	8	V1.1_podcast_proposed
night_reset_healing	zh_TW	podcast	3	10	V1.1_podcast_proposed
night_reset_healing	zh_CN	podcast	4	12	V1.1_podcast_proposed
gentle_growth_healing	en_US	podcast	6	10	V1.1_podcast_proposed
gentle_growth_healing	ja_JP	podcast	4	8	V1.1_podcast_proposed
gentle_growth_healing	zh_TW	podcast	3	10	V1.1_podcast_proposed
gentle_growth_healing	zh_CN	podcast	4	12	V1.1_podcast_proposed
stabilizer_healing	en_US	podcast	6	10	V1.1_podcast_proposed
stabilizer_healing	ja_JP	podcast	4	8	V1.1_podcast_proposed
stabilizer_healing	zh_TW	podcast	3	10	V1.1_podcast_proposed
stabilizer_healing	zh_CN	podcast	4	12	V1.1_podcast_proposed
career_lift_workplace	en_US	podcast	6	10	V1.1_podcast_proposed
career_lift_workplace	ja_JP	podcast	4	8	V1.1_podcast_proposed
career_lift_workplace	zh_TW	podcast	3	10	V1.1_podcast_proposed
career_lift_workplace	zh_CN	podcast	4	12	V1.1_podcast_proposed
high_performer_workplace	en_US	podcast	6	10	V1.1_podcast_proposed
high_performer_workplace	ja_JP	podcast	4	8	V1.1_podcast_proposed
high_performer_workplace	zh_TW	podcast	3	10	V1.1_podcast_proposed
high_performer_workplace	zh_CN	podcast	4	12	V1.1_podcast_proposed
executive_calm_workplace	en_US	podcast	6	10	V1.1_podcast_proposed
executive_calm_workplace	ja_JP	podcast	4	8	V1.1_podcast_proposed
executive_calm_workplace	zh_TW	podcast	3	10	V1.1_podcast_proposed
executive_calm_workplace	zh_CN	podcast	4	12	V1.1_podcast_proposed
morning_momentum_workplace	en_US	podcast	6	10	V1.1_podcast_proposed
morning_momentum_workplace	ja_JP	podcast	4	8	V1.1_podcast_proposed
morning_momentum_workplace	zh_TW	podcast	3	10	V1.1_podcast_proposed
morning_momentum_workplace	zh_CN	podcast	4	12	V1.1_podcast_proposed
optimizer_workplace	en_US	podcast	6	10	V1.1_podcast_proposed
optimizer_workplace	ja_JP	podcast	4	8	V1.1_podcast_proposed
optimizer_workplace	zh_TW	podcast	3	10	V1.1_podcast_proposed
optimizer_workplace	zh_CN	podcast	4	12	V1.1_podcast_proposed
focus_sprint_workplace	en_US	podcast	6	10	V1.1_podcast_proposed
focus_sprint_workplace	ja_JP	podcast	4	8	V1.1_podcast_proposed
focus_sprint_workplace	zh_TW	podcast	3	10	V1.1_podcast_proposed
focus_sprint_workplace	zh_CN	podcast	4	12	V1.1_podcast_proposed
heart_balance_shojo	en_US	podcast	6	10	V1.1_podcast_proposed
heart_balance_shojo	ja_JP	podcast	4	8	V1.1_podcast_proposed
heart_balance_shojo	zh_TW	podcast	3	10	V1.1_podcast_proposed
heart_balance_shojo	zh_CN	podcast	4	12	V1.1_podcast_proposed
trauma_path_healing	en_US	podcast	6	10	V1.1_podcast_proposed
trauma_path_healing	ja_JP	podcast	4	8	V1.1_podcast_proposed
trauma_path_healing	zh_TW	podcast	3	10	V1.1_podcast_proposed
trauma_path_healing	zh_CN	podcast	4	12	V1.1_podcast_proposed
resilient_parent_social	en_US	podcast	6	10	V1.1_podcast_proposed
resilient_parent_social	ja_JP	podcast	4	8	V1.1_podcast_proposed
resilient_parent_social	zh_TW	podcast	3	10	V1.1_podcast_proposed
resilient_parent_social	zh_CN	podcast	4	12	V1.1_podcast_proposed
confidence_core_romance	en_US	podcast	6	10	V1.1_podcast_proposed
confidence_core_romance	ja_JP	podcast	4	8	V1.1_podcast_proposed
confidence_core_romance	zh_TW	podcast	3	10	V1.1_podcast_proposed
confidence_core_romance	zh_CN	podcast	4	12	V1.1_podcast_proposed
relationship_clarity_romance	en_US	podcast	6	10	V1.1_podcast_proposed
relationship_clarity_romance	ja_JP	podcast	4	8	V1.1_podcast_proposed
relationship_clarity_romance	zh_TW	podcast	3	10	V1.1_podcast_proposed
relationship_clarity_romance	zh_CN	podcast	4	12	V1.1_podcast_proposed
adhd_forge_mystery	en_US	podcast	6	10	V1.1_podcast_proposed
adhd_forge_mystery	ja_JP	podcast	4	8	V1.1_podcast_proposed
adhd_forge_mystery	zh_TW	podcast	3	10	V1.1_podcast_proposed
adhd_forge_mystery	zh_CN	podcast	4	12	V1.1_podcast_proposed
devotion_path_shonen	en_US	podcast	6	10	V1.1_podcast_proposed
devotion_path_shonen	ja_JP	podcast	4	8	V1.1_podcast_proposed
devotion_path_shonen	zh_TW	podcast	3	10	V1.1_podcast_proposed
devotion_path_shonen	zh_CN	podcast	4	12	V1.1_podcast_proposed
stoic_edge_battle	en_US	podcast	6	10	V1.1_podcast_proposed
stoic_edge_battle	ja_JP	podcast	4	8	V1.1_podcast_proposed
stoic_edge_battle	zh_TW	podcast	3	10	V1.1_podcast_proposed
stoic_edge_battle	zh_CN	podcast	4	12	V1.1_podcast_proposed
warrior_calm_cultivation	en_US	podcast	6	10	V1.1_podcast_proposed
warrior_calm_cultivation	ja_JP	podcast	4	8	V1.1_podcast_proposed
