brand_id	demographic	enabled	series_count	books_per_series	total_books	manga_series	manga_episodes	podcast_episodes	video_short	video_long	covers_needed	main_chars_needed
stillness_press	josei	yes	5	5	25	14	336	26	12	4	50	14
cognitive_clarity	seinen	yes	5	5	25	14	336	26	12	4	50	14
digital_ground	manhwa	yes	5	5	25	14	336	26	12	4	50	14
sleep_restoration_iyashikei	josei	yes	5	5	25	8	192	26	12	4	50	8
somatic_wisdom_shojo	josei	yes	5	5	25	8	192	26	12	4	50	8
relational_calm_iyashikei	josei	yes	5	5	25	8	192	26	12	4	50	8
healing_ground_healing	josei	yes	5	5	25	8	192	26	12	4	50	8
body_memory_shojo	josei	yes	5	5	25	8	192	26	12	4	50	8
minimal_mind_healing	seinen	yes	5	5	25	8	192	26	12	4	50	8
night_reset_healing	josei	yes	5	5	25	8	192	26	12	4	50	8
gentle_growth_healing	josei	yes	5	5	25	8	192	26	12	4	50	8
stabilizer_healing	seinen	yes	5	5	25	8	192	26	12	4	50	8
career_lift_workplace	josei	yes	5	5	25	8	192	26	12	4	50	8
high_performer_workplace	seinen	yes	5	5	25	8	192	26	12	4	50	8
executive_calm_workplace	seinen	yes	5	5	25	8	192	26	12	4	50	8
morning_momentum_workplace	shonen	yes	5	5	25	8	192	26	12	4	50	8
optimizer_workplace	seinen	yes	5	5	25	8	192	26	12	4	50	8
focus_sprint_workplace	seinen	yes	5	5	25	8	192	26	12	4	50	8
heart_balance_shojo	josei	yes	5	5	25	8	192	26	12	4	50	8
trauma_path_healing	josei	yes	5	5	25	4	96	26	12	4	50	4
resilient_parent_social	josei	yes	5	5	25	4	96	26	12	4	50	4
confidence_core_romance	shojo	yes	5	5	25	4	96	26	12	4	50	4
relationship_clarity_romance	josei	yes	5	5	25	4	96	26	12	4	50	4
adhd_forge_mystery	shonen	yes	5	5	25	4	96	26	12	4	50	4
devotion_path_shonen	shonen	yes	5	5	25	4	96	26	12	4	50	4
stoic_edge_battle	seinen	yes	5	5	25	4	96	26	12	4	50	4
warrior_calm_cultivation	shonen	yes	5	5	25	4	96	26	12	4	50	4
spiritual_ground_supernatural	josei	yes	5	5	25	4	96	26	12	4	50	4
solar_return_isekai	shonen	yes	5	5	25	4	96	26	12	4	50	4
legacy_builder_memoir	seinen	yes	5	5	25	4	96	26	12	4	50	4
bio_flow_healing	seinen	yes	5	5	25	4	96	26	12	4	50	4
longevity_lab_healing	seinen	yes	5	5	25	4	96	26	12	4	50	4
hormone_reset_healing	josei	yes	5	5	25	4	96	26	12	4	50	4
qi_foundation_cultivation	seinen	yes	5	5	25	4	96	26	12	4	50	4
creative_unfold_social	shojo	yes	5	5	25	4	96	26	12	4	50	4
calm_student_school	shojo	yes	5	5	25	4	96	26	12	4	50	4
bright_presence_tw_seinen	seinen	yes	5	5	25	4	96	26	12	4	50	4
