branch_name	head_date	ahead	behind	unique_commits	files_changed_count	has_remote	is_worktree	workstream_ids	workstream_status	matched_merged_prs	is_base_ref_source	triage_step	triage_recommendation
agent/cjk6-translation-workflow	2026-04-01	2	1	2	9	yes	no	none	n/a	#143 MERGED	no	C	SUPERSEDED
agent/video-publishing-stage18	2026-03-31	0	0	0	0	no	yes	none	n/a	none	no	D	STALE-ARCHIVE (main worktree, 0 unique commits)
agent/renderer-validation	2026-04-01	2	3	2	11	no	no	none	n/a	#141 MERGED	no	C	SUPERSEDED
claude/brave-blackburn	2026-03-31	0	1	0	0	no	yes	none	n/a	none	no	D	STALE-ARCHIVE (worktree, 0 unique)
claude/charming-williams	2026-03-31	0	1	0	0	no	yes	none	n/a	none	no	D	STALE-ARCHIVE (worktree, 0 unique)
claude/condescending-bassi	2026-03-31	0	1	0	0	no	yes	none	n/a	none	no	n/a	KEEP (current session)
claude/festive-archimedes	2026-03-31	0	1	0	0	no	yes	none	n/a	none	no	D	STALE-ARCHIVE (worktree, 0 unique)
claude/gracious-hamilton	2026-03-31	0	1	0	0	no	yes	none	n/a	none	no	D	STALE-ARCHIVE (worktree, 0 unique)
claude/heuristic-ishizaka	2026-03-31	0	1	0	0	no	no	none	n/a	none	no	D	STALE-ARCHIVE (0 unique)
claude/keen-lehmann	2026-03-31	0	1	0	0	no	yes	none	n/a	none	no	D	STALE-ARCHIVE (worktree, 0 unique)
claude/keen-shamir	2026-03-31	0	1	0	0	no	yes	none	n/a	none	no	D	STALE-ARCHIVE (worktree, 0 unique)
claude/objective-colden	2026-03-31	0	1	0	0	no	yes	none	n/a	none	no	D	STALE-ARCHIVE (worktree, 0 unique)
claude/relaxed-bardeen	2026-03-31	0	1	0	0	no	yes	none	n/a	none	no	D	STALE-ARCHIVE (worktree, 0 unique)
main	2026-03-31	0	1	0	0	yes	no	n/a	n/a	n/a	no	n/a	KEEP (local tracking ref)
agent/cjk6-translation-pipeline	2026-04-01	1	3	1	3	no	no	none	n/a	#142 MERGED	no	C	SUPERSEDED
claude/interesting-khayyam	2026-03-31	0	3	0	0	no	no	none	n/a	none	no	D	STALE-ARCHIVE
claude/musing-euler	2026-03-31	0	3	0	0	no	no	none	n/a	none	no	D	STALE-ARCHIVE
claude/stupefied-wing	2026-03-31	0	3	0	0	no	no	none	n/a	none	no	D	STALE-ARCHIVE
claude/thirsty-williams	2026-03-31	0	3	0	0	no	no	none	n/a	none	no	D	STALE-ARCHIVE
agent/story-atoms-full	2026-04-01	1	4	1	172	no	no	none	n/a	#140 MERGED	no	C	SUPERSEDED
worktree-agent-a71e22fe	2026-03-31	0	9	0	0	no	no	none	n/a	none	no	D	STALE-ARCHIVE (orphan worktree ref)
claude/priceless-chatelet	2026-03-31	0	10	0	0	no	no	none	n/a	none	no	D	STALE-ARCHIVE
claude/nostalgic-pare	2026-03-30	0	24	0	0	no	no	none	n/a	none	no	D	STALE-ARCHIVE
claude/pedantic-newton	2026-03-30	0	26	0	0	no	no	none	n/a	none	no	D	STALE-ARCHIVE
claude/lucid-visvesvaraya	2026-03-31	1	39	1	25	no	no	none	n/a	none	no	D	STALE-ARCHIVE (only auto backup)
claude/vibrant-jackson	2026-03-30	0	39	0	0	no	no	none	n/a	none	no	D	STALE-ARCHIVE
agent/adi-da-universal-band-arc-align	2026-03-29	0	51	0	0	no	no	none	n/a	none	no	D	STALE-ARCHIVE
agent/adi-da-story-universal-wildcard	2026-03-30	1	53	1	3	no	no	none	n/a	none	no	D	PROMOTE
agent/bestseller-grade-pr08	2026-03-29	0	53	0	0	no	no	none	n/a	none	no	D	STALE-ARCHIVE
agent/bestseller-grade-pr01	2026-03-29	0	54	0	0	no	no	none	n/a	none	no	D	STALE-ARCHIVE
agent/d1-d3-voice-relocalization	2026-03-29	0	54	0	0	no	no	none	n/a	none	no	D	STALE-ARCHIVE
agent/d1-voice-reloc-wp-hrn	2026-03-29	0	58	0	0	no	no	none	n/a	none	no	D	STALE-ARCHIVE
agent/s6-ahjan-teacher-bank	2026-03-29	0	67	0	0	no	no	none	n/a	none	no	D	STALE-ARCHIVE
agent/pearl-prime-recovery-docs	2026-03-30	1	76	1	4	no	no	none	n/a	#75 MERGED	no	C	SUPERSEDED
codex/state-convergence-20260328	2026-03-29	42	87	42	3112	no	no	ws_external_sweep;ws_recommender_promotion;ws_experience_recovery;ws_pearl_int_recovery;ws_pen_name_recovery;ws_github_prod_readiness;ws_qwen_api_unification	preserved/completed	none	no	A+E	PROMOTE-WITH-REVIEW (decomposed by workstream)
agent/manga-sdf-stub-normalization	2026-03-25	1	88	1	5	no	no	none	n/a	none	no	D	PROMOTE-WITH-REVIEW
agent/onboard-adi-da	2026-03-25	3	88	3	8854	no	no	none	n/a	#97 MERGED	no	C	SUPERSEDED
agent/manga-sdf-revision-workspace	2026-03-24	8	89	8	11271	no	no	ws_pen_name_recovery_20260328	preserved	none	yes (base_ref for pen-name)	A+B	SUPERSEDED-SOURCE (content on state-convergence is superset)
agent/github-desktop-clean	2026-03-24	0	88	0	0	no	no	none	n/a	none	no	D	STALE-ARCHIVE
agent/github-prod-readiness	2026-03-24	0	88	0	0	no	no	none	n/a	none	no	D	STALE-ARCHIVE
agent/ci-manga-chapter-smoke	2026-03-23	1	89	1	2	no	no	none	n/a	none	no	D	PROMOTE-WITH-REVIEW (touches .github/workflows)
agent/docs-manga-landmarks	2026-03-23	1	89	1	1	no	no	none	n/a	none	no	D	PROMOTE (docs-only)
agent/manga-chunk-ef-runner	2026-03-23	2	90	2	509	no	no	none	n/a	#60 MERGED (via -clean)	no	C	SUPERSEDED
codex/main-salvage-20260323-153043	2026-03-23	15	112	15	698	no	no	ws_pearl_int_recovery_20260328	preserved	none	yes (base_ref for pearl-int)	A+B	SUPERSEDED-SOURCE (pearl-int content on state-convergence is superset)
codex/main-autobackup-20260322-112842	2026-03-22	22	119	22	6982	no	no	none	n/a	none	no	D+G	STALE-ARCHIVE (all auto backup)
codex/main-autobackup-20260320-2124	2026-03-20	2	126	2	26	no	no	none	n/a	none	no	D+G	STALE-ARCHIVE (all auto backup)
