region	brand_id	brand_name	canonical_source	locale	surface	required	present_count	planned_count	gap_count	authority_doc	notes
us_eng_37	adhd_forge_mystery	ADHD	config/manga/canonical_brand_list.yaml	en_US	books_prose	yes	0	25	25	config/brand_registry.yaml;config/source_of_truth/series_plans_en_us/	prose series_plans_en_us uses short key via series_plan_alias
us_eng_37	adhd_forge_mystery	ADHD	config/manga/canonical_brand_list.yaml	en_US	books_manga	yes	4	102	98	config/manga/canonical_brand_list.yaml;specs/MANGA_CATALOG_RECONCILIATION_SPEC.md	local_scan=4; operator_verified_full=102 per brand×locale (37×5×102=18900 total)
us_eng_37	adhd_forge_mystery	ADHD	config/manga/canonical_brand_list.yaml	en_US	podcast_scripts	yes	0	60	60	config/podcast/brand_podcast_plans.yaml;config/brand_admin/manga_canon_planned_volumes.yaml	
us_eng_37	adhd_forge_mystery	ADHD	config/manga/canonical_brand_list.yaml	en_US	image_bank_interior	yes	0	4	4	docs/PEARL_ARCHITECT_STATE.md IMG-RENDER-DUAL-PATH-V1-01	
us_eng_37	adhd_forge_mystery	ADHD	config/manga/canonical_brand_list.yaml	en_US	image_bank_cover	yes	0	50	50	artifacts/catalog/worldwide_catalog_plan_en_US_2026-05-10.tsv	
us_eng_37	adhd_forge_mystery	ADHD	config/manga/canonical_brand_list.yaml	en_US	music	no	0	0	0	config/music/music_brand_registry.yaml;MUSIC-MODE-BRAND-INTEGRATION-V1-01	
us_eng_37	adhd_forge_mystery	ADHD	config/manga/canonical_brand_list.yaml	ko_KR	books_prose	no	0	0	0	config/brand_registry.yaml;config/source_of_truth/series_plans_en_us/	
us_eng_37	adhd_forge_mystery	ADHD	config/manga/canonical_brand_list.yaml	ko_KR	books_manga	yes	4	102	98	config/manga/canonical_brand_list.yaml;specs/MANGA_CATALOG_RECONCILIATION_SPEC.md	local_scan=4; operator_verified_full=102 per brand×locale (37×5×102=18900 total)
us_eng_37	adhd_forge_mystery	ADHD	config/manga/canonical_brand_list.yaml	ko_KR	podcast_scripts	yes	0	40	40	config/podcast/brand_podcast_plans.yaml;config/brand_admin/manga_canon_planned_volumes.yaml	
us_eng_37	adhd_forge_mystery	ADHD	config/manga/canonical_brand_list.yaml	ko_KR	image_bank_interior	optional	0	4	4	docs/PEARL_ARCHITECT_STATE.md IMG-RENDER-DUAL-PATH-V1-01	Path X: render once en_US; cross-market ship (optional per-locale regen)
us_eng_37	adhd_forge_mystery	ADHD	config/manga/canonical_brand_list.yaml	ko_KR	image_bank_cover	optional	0	50	50	artifacts/catalog/worldwide_catalog_plan_en_US_2026-05-10.tsv	
us_eng_37	adhd_forge_mystery	ADHD	config/manga/canonical_brand_list.yaml	ko_KR	music	no	0	0	0	config/music/music_brand_registry.yaml;MUSIC-MODE-BRAND-INTEGRATION-V1-01	
japan	adhd_forge_mystery	ADHD	config/manga/canonical_brand_list.yaml	ja_JP	books_prose	no	0	0	0	config/brand_registry.yaml;config/source_of_truth/series_plans_en_us/	
japan	adhd_forge_mystery	ADHD	config/manga/canonical_brand_list.yaml	ja_JP	books_manga	yes	4	102	98	config/manga/canonical_brand_list.yaml;specs/MANGA_CATALOG_RECONCILIATION_SPEC.md	local_scan=4; operator_verified_full=102 per brand×locale (37×5×102=18900 total)
japan	adhd_forge_mystery	ADHD	config/manga/canonical_brand_list.yaml	ja_JP	podcast_scripts	yes	0	32	32	config/podcast/brand_podcast_plans.yaml;config/brand_admin/manga_canon_planned_volumes.yaml	
japan	adhd_forge_mystery	ADHD	config/manga/canonical_brand_list.yaml	ja_JP	image_bank_interior	optional	0	4	4	docs/PEARL_ARCHITECT_STATE.md IMG-RENDER-DUAL-PATH-V1-01	Path X: render once en_US; cross-market ship (optional per-locale regen)
japan	adhd_forge_mystery	ADHD	config/manga/canonical_brand_list.yaml	ja_JP	image_bank_cover	optional	0	50	50	artifacts/catalog/worldwide_catalog_plan_en_US_2026-05-10.tsv	
japan	adhd_forge_mystery	ADHD	config/manga/canonical_brand_list.yaml	ja_JP	music	no	0	0	0	config/music/music_brand_registry.yaml;MUSIC-MODE-BRAND-INTEGRATION-V1-01	
taiwan	adhd_forge_mystery	ADHD	config/manga/canonical_brand_list.yaml	zh_TW	books_prose	no	0	0	0	config/brand_registry.yaml;config/source_of_truth/series_plans_en_us/	
taiwan	adhd_forge_mystery	ADHD	config/manga/canonical_brand_list.yaml	zh_TW	books_manga	yes	4	102	98	config/manga/canonical_brand_list.yaml;specs/MANGA_CATALOG_RECONCILIATION_SPEC.md	local_scan=4; operator_verified_full=102 per brand×locale (37×5×102=18900 total)
taiwan	adhd_forge_mystery	ADHD	config/manga/canonical_brand_list.yaml	zh_TW	podcast_scripts	yes	0	30	30	config/podcast/brand_podcast_plans.yaml;config/brand_admin/manga_canon_planned_volumes.yaml	
taiwan	adhd_forge_mystery	ADHD	config/manga/canonical_brand_list.yaml	zh_TW	image_bank_interior	optional	0	4	4	docs/PEARL_ARCHITECT_STATE.md IMG-RENDER-DUAL-PATH-V1-01	Path X: render once en_US; cross-market ship (optional per-locale regen)
taiwan	adhd_forge_mystery	ADHD	config/manga/canonical_brand_list.yaml	zh_TW	image_bank_cover	optional	0	50	50	artifacts/catalog/worldwide_catalog_plan_en_US_2026-05-10.tsv	
taiwan	adhd_forge_mystery	ADHD	config/manga/canonical_brand_list.yaml	zh_TW	music	no	0	0	0	config/music/music_brand_registry.yaml;MUSIC-MODE-BRAND-INTEGRATION-V1-01	
china	adhd_forge_mystery	ADHD	config/manga/canonical_brand_list.yaml	zh_CN	books_prose	no	0	0	0	config/brand_registry.yaml;config/source_of_truth/series_plans_en_us/	
china	adhd_forge_mystery	ADHD	config/manga/canonical_brand_list.yaml	zh_CN	books_manga	yes	4	102	98	config/manga/canonical_brand_list.yaml;specs/MANGA_CATALOG_RECONCILIATION_SPEC.md	local_scan=4; operator_verified_full=102 per brand×locale (37×5×102=18900 total)
china	adhd_forge_mystery	ADHD	config/manga/canonical_brand_list.yaml	zh_CN	podcast_scripts	yes	0	48	48	config/podcast/brand_podcast_plans.yaml;config/brand_admin/manga_canon_planned_volumes.yaml	
china	adhd_forge_mystery	ADHD	config/manga/canonical_brand_list.yaml	zh_CN	image_bank_interior	optional	0	4	4	docs/PEARL_ARCHITECT_STATE.md IMG-RENDER-DUAL-PATH-V1-01	Path X: render once en_US; cross-market ship (optional per-locale regen)
