archetype	teacher_mode	lifecycle	n_topics	n_personas	buildable_series	buildable_books	books_x14lanes
adhd_forge	False	active	4	3	9	69	966
awakening_press	True	active	5	4	15	39	546
bio_flow	False	active	3	1	0	0	0
body_memory	True	active	5	3	9	33	462
calm_student	False	active	3	1	1	14	196
career_lift	False	active	3	2	6	16	224
cognitive_clarity	True	inactive	4	1	0	0	0
confidence_core	False	active	3	3	7	28	392
creative_unfold	False	active	3	3	6	16	224
devotion_path	True	active	4	3	8	22	308
digital_ground	True	active	4	3	9	34	476
executive_calm	False	active	3	2	4	15	210
focus_sprint	False	active	3	1	0	0	0
gentle_growth	False	active	3	1	0	0	0
healing_ground	False	active	3	1	0	0	0
heart_balance	True	active	4	3	8	20	280
heart_transmission	True	active	6	3	15	53	742
high_performer	False	active	4	1	0	0	0
hormone_reset	False	active	3	1	0	0	0
legacy_builder	False	active	3	2	6	16	224
longevity_lab	False	active	3	1	0	0	0
minimal_mind	False	active	3	1	0	0	0
morning_momentum	False	active	3	1	0	0	0
night_reset	False	active	3	3	9	70	980
optimizer	False	active	3	2	3	8	112
qi_foundation	True	active	4	3	12	30	420
relational_calm	True	active	5	3	9	34	476
relationship_clarity	False	active	3	2	6	16	224
resilient_parent	False	active	3	2	6	18	252
sleep_restoration	True	active	5	3	15	36	504
solar_return	True	active	4	4	14	58	812
somatic_wisdom	True	active	4	3	12	45	630
spiritual_ground	False	active	3	1	0	0	0
stabilizer	False	active	3	2	6	26	364
still_forest	True	active	4	3	9	32	448
stillness_press	True	active	6	3	15	53	742
stoic_edge	False	active	4	1	0	0	0
trauma_path	False	active	4	1	0	0	0
warrior_calm	True	active	4	3	12	33	462
