topic_key	action	candidate_stock_ids	source_bank_ref	required_next_step	blocked_on
adhd_focus	new_search			run new Storyblocks search for this topic under a book-cover work unit	live Storyblocks API credentials + human topic-verification
anxiety	new_search			run new Storyblocks search for this topic under a book-cover work unit	live Storyblocks API credentials + human topic-verification
boundaries	new_search			run new Storyblocks search for this topic under a book-cover work unit	live Storyblocks API credentials + human topic-verification
burnout	new_search			run new Storyblocks search for this topic under a book-cover work unit	live Storyblocks API credentials + human topic-verification
compassion_fatigue	new_search			run new Storyblocks search for this topic under a book-cover work unit	live Storyblocks API credentials + human topic-verification
courage	new_search			run new Storyblocks search for this topic under a book-cover work unit	live Storyblocks API credentials + human topic-verification
depression	new_search			run new Storyblocks search for this topic under a book-cover work unit	live Storyblocks API credentials + human topic-verification
financial_anxiety	new_search			run new Storyblocks search for this topic under a book-cover work unit	live Storyblocks API credentials + human topic-verification
financial_stress	new_search			run new Storyblocks search for this topic under a book-cover work unit	live Storyblocks API credentials + human topic-verification
grief	reuse_confirm	350614976	artifacts/storyblocks/social_media_bank_storyblocks_20260720/BANK_INDEX.json	re-download under book-cover work unit + set surface: cover + topic_verified: true after human review	live Storyblocks API credentials + human topic-verification
imposter_syndrome	new_search			run new Storyblocks search for this topic under a book-cover work unit	live Storyblocks API credentials + human topic-verification
mindfulness	new_search			run new Storyblocks search for this topic under a book-cover work unit	live Storyblocks API credentials + human topic-verification
overthinking	new_search			run new Storyblocks search for this topic under a book-cover work unit	live Storyblocks API credentials + human topic-verification
self_worth	new_search			run new Storyblocks search for this topic under a book-cover work unit	live Storyblocks API credentials + human topic-verification
sleep_anxiety	new_search			run new Storyblocks search for this topic under a book-cover work unit	live Storyblocks API credentials + human topic-verification
social_anxiety	new_search			run new Storyblocks search for this topic under a book-cover work unit	live Storyblocks API credentials + human topic-verification
somatic_healing	new_search			run new Storyblocks search for this topic under a book-cover work unit	live Storyblocks API credentials + human topic-verification
