chapter	required_surface	present	status
3	HOOK_QUESTION_OR_QUOTE_BRIDGE	yes	PASS
3	SCENE	yes	PASS
3	VALIDATION_NORMALIZATION	yes	PASS
3	ANGLE_CALLBACK	yes	PASS
3	CALLBACK_PLANT_OR_ECHO	yes	PASS
3	ANALOGY	yes	PASS
3	AUTHOR_COMMENTARY	yes	PASS
3	READER_PROMISE	yes	PASS
3	STORY_PROGRESS_1	yes	PASS
3	TRANSITION_GLUE	yes	PASS
3	MECHANISM_EXPLANATION	yes	PASS
3	COMPOSITE_TEACHING_BINDING	yes	PASS
3	CITED_EVIDENCE_BINDING	yes	PASS
3	BRIDGE_TO_EXTERNAL	yes	PASS
3	EXTERNAL_STORY_OR_CASE_STUDY	yes	PASS
3	BRIDGE_BACK_TO_READER	yes	PASS
3	PERSONA_TOPIC_REFLECTION	yes	PASS
3	TROUBLESHOOTING_PERMISSION	yes	PASS
3	STORY_PROGRESS_2	yes	PASS
3	AUTHOR_TOOL_INTRO	yes	PASS
3	PRACTICE_APPLICATION_TOOL_OR_CANONICAL_EXERCISE_BINDING	yes	PASS
3	INTEGRATION_REFLECTION	yes	PASS
3	PIVOT_BINDING	yes	PASS
3	CLOSING_TAKEAWAY_BINDING	yes	PASS
3	STORY_PROGRESS_3	yes	PASS
3	CALLBACK_RETURN	yes	PASS
3	PROPULSION	yes	PASS
4	HOOK_QUESTION_OR_QUOTE_BRIDGE	yes	PASS
4	SCENE	yes	PASS
4	VALIDATION_NORMALIZATION	yes	PASS
4	ANGLE_CALLBACK	yes	PASS
4	CALLBACK_PLANT_OR_ECHO	yes	PASS
4	ANALOGY	yes	PASS
4	AUTHOR_COMMENTARY	yes	PASS
4	READER_PROMISE	yes	PASS
4	STORY_PROGRESS_1	yes	PASS
4	TRANSITION_GLUE	yes	PASS
4	MECHANISM_EXPLANATION	yes	PASS
4	COMPOSITE_TEACHING_BINDING	yes	PASS
4	CITED_EVIDENCE_BINDING	yes	PASS
4	BRIDGE_TO_EXTERNAL	yes	PASS
4	EXTERNAL_STORY_OR_CASE_STUDY	yes	PASS
4	BRIDGE_BACK_TO_READER	yes	PASS
4	PERSONA_TOPIC_REFLECTION	yes	PASS
4	TROUBLESHOOTING_PERMISSION	yes	PASS
4	STORY_PROGRESS_2	yes	PASS
4	AUTHOR_TOOL_INTRO	yes	PASS
4	PRACTICE_APPLICATION_TOOL_OR_CANONICAL_EXERCISE_BINDING	yes	PASS
4	INTEGRATION_REFLECTION	yes	PASS
4	PIVOT_BINDING	yes	PASS
4	CLOSING_TAKEAWAY_BINDING	yes	PASS
4	STORY_PROGRESS_3	yes	PASS
4	CALLBACK_RETURN	yes	PASS
4	PROPULSION	yes	PASS
5	HOOK_QUESTION_OR_QUOTE_BRIDGE	yes	PASS
5	SCENE	yes	PASS
5	VALIDATION_NORMALIZATION	yes	PASS
5	ANGLE_CALLBACK	yes	PASS
5	CALLBACK_PLANT_OR_ECHO	yes	PASS
5	ANALOGY	yes	PASS
5	AUTHOR_COMMENTARY	yes	PASS
5	READER_PROMISE	yes	PASS
5	STORY_PROGRESS_1	yes	PASS
5	TRANSITION_GLUE	yes	PASS
5	MECHANISM_EXPLANATION	yes	PASS
5	COMPOSITE_TEACHING_BINDING	yes	PASS
5	CITED_EVIDENCE_BINDING	yes	PASS
5	BRIDGE_TO_EXTERNAL	yes	PASS
