row_type	key	date	author	subject_or_title	files_changed	additions	deletions	branch_or_state	merge_or_keyword_flags	head_branch	base_branch
commit	9ccb0f68b7054727ee3daa18d502b5a077787d73	2026-04-26	Nihala (Ma'at)	spec(manga): refresh reconciliation spec v1.0 → v1.1 — incorporate OQ-1..OQ-9 resolutions	1	136	98	(agent/spec-refresh-oq-resolutions-20260426)	manga,reconciliation		
commit	1f4f8a28fc0e09163b4a88653074114c337ca1ea	2026-04-26	Ahjan108	docs(audiobook): rename 2 audiobook docs to AUDIOBOOK_ prefix (OQ-9 a) (#686)	14	32	32	(HEAD -> agent/full-repo-reconciliation-20260426, origin/main, origin/HEAD)			
commit	54f666f8c5985064c510aef1a14eaf2629254b15	2026-04-26	Nihala (Ma'at)	docs(audiobook): rename 2 audiobook docs to AUDIOBOOK_ prefix (OQ-9 a)	14	32	32	(agent/audiobook-docs-rename-20260426)			
commit	8a8578ba0d414709fa42744887069307da5f6a64	2026-04-26	Ahjan108	coord(manga): backfill manga catalog reconciliation rows + correct stale coordination/ refs (OQ-8 iii) (#685)	4	30	11		manga,catalog,reconciliation		
commit	7d1f14ce266fed5709ed7752204165ba2965b924	2026-04-26	Nihala (Ma'at)	chore(backup): auto backup 2026-04-26 13:20:06	8	615	2	(origin/agent/agents-md-coding-assistant-brief-20260426, agent/agents-md-coding-assistant-brief-20260426)			
commit	5f25ff09fce95391264222eee9d08c42c9bebb91	2026-04-26	Nihala (Ma'at)	coord(manga): backfill manga catalog reconciliation rows + correct stale coordination/ refs (OQ-8 iii)	4	30	11	(agent/manga-coordination-sync-20260426)	manga,catalog,reconciliation		
commit	8aaa46aafd81046fe9c5b1702f803e2bbab61c6e	2026-04-26	Ahjan108	docs(manga): migrate MANGA_MODE_STRATEGY docx → md (OQ-7 disposition a) (#684)	2	343	0		manga		
commit	0691eafe852572b0ec335b79978200e314179c1d	2026-04-26	Nihala (Ma'at)	docs(manga): migrate MANGA_MODE_STRATEGY docx → md (OQ-7 disposition a)	2	343	0	(agent/manga-mode-strategy-docx-migrate-20260426)	manga		
commit	4594ea99a3ab236c4d3096986b4f9da353abecb5	2026-04-26	Nihala (Ma'at)	docs(pearl_prime): drop oversize coverage_matrix.json; reference local copy in §A	2	1	87981	(origin/agent/pearl-prime-coverage-gap-analysis-20260426, agent/pearl-prime-coverage-gap-analysis-20260426)	pearl_prime		
commit	f9b0540324dfbee10fb9578e3b6c7092d10bafe4	2026-04-26	Nihala (Ma'at)	"docs(pearl_prime): coverage + gap analysis 2026-04-26 — answers ""are all languages 100%?"""	2	88533	0		pearl_prime		
