row_type	name	subsystem	status	last_touched	notes	pipeline_entry_point	pipeline_called_by	pipeline_calls_into	pipeline_config_paths	pipeline_schema_paths	pipeline_test_coverage	module_top_level_area	module_line_count	module_imports_count	module_imported_by_count	module_has_main	module_has_tests	module_last_author	req_text	req_topic_cluster	req_source	req_evidence_path
pipeline	Audiobooks	core_pipeline	scheduled	2026-04-12	Audiobook QA ladder	scripts/audiobook_script/run_regression.py	(direct invocation only)	__future__;argparse;asyncio;dataclasses;datetime	audiobook_script/comparator_config.yaml;audiobook_script/golden_regression_set/		no_tests											
pipeline	Brand Admin weekly	brand_admin	live	2026-04-26	Root-level script, actively maintained	scripts/build_weekly_brand_package.py	(direct invocation only)	__future__;argparse;csv;datetime;json			no_tests											
pipeline	Brand Wizard	brand_admin	scheduled	2026-04-05	Core brand registry generation	scripts/brand_management/generate_global_registry.py	(direct invocation only)	__future__;argparse;pathlib;sys	brand_management/global_brand_registry.yaml		no_tests											
pipeline	CI: audiobook-regression	ci_cd	scheduled	2026-04-01	Audiobook regression testing	.github/workflows/audiobook-regression.yml	(direct invocation only)				no_tests											
pipeline	CI: brand-admin-onboarding	ci_cd	scheduled	2026-04-01	Cloudflare Pages deployment	.github/workflows/brand-admin-onboarding-pages.yml	(direct invocation only)				no_tests											
pipeline	CI: core-tests	ci_cd	scheduled	2026-04-01	Core test suite	.github/workflows/core-tests.yml	(direct invocation only)				no_tests											
pipeline	CI: ei-v2-gates	ci_cd	scheduled	2026-04-01	Quality gates execution	.github/workflows/ei-v2-gates.yml	(direct invocation only)				no_tests											
pipeline	CI: full-catalog-cli	ci_cd	scheduled	2026-04-01	Catalog generation (en-US)	.github/workflows/full-catalog-cli-en-us.yml	(direct invocation only)				no_tests											
pipeline	CI: generate-and-translate	ci_cd	scheduled	2026-04-01	Atom generation + translation	.github/workflows/generate-and-translate-atoms.yml	(direct invocation only)				no_tests											
pipeline	CI: llm-callers-audit	ci_cd	scheduled	2026-04-18	LLM usage auditing	.github/workflows/llm-callers-audit.yml	(direct invocation only)				no_tests											
pipeline	CI: llm-policy-enforcement	ci_cd	scheduled	2026-04-20	LLM policy compliance	.github/workflows/llm-policy-enforcement.yml	(direct invocation only)				no_tests											
pipeline	CI: locale-gate	ci_cd	scheduled	2026-04-01	Locale quality gates	.github/workflows/locale-gate.yml	(direct invocation only)				no_tests											
