asset_id	category	status	path	seed	generated_at
anchor_01_face_neutral	anchors	completed	anchor_panels/anchor_01_face_neutral.png	1452752172	2026-04-16T04:24:48.572981+00:00
anchor_02_full_body_standing	anchors	completed	anchor_panels/anchor_02_full_body_standing.png	2245382929	2026-04-16T04:25:28.123619+00:00
anchor_03_seated_meditation	anchors	completed	anchor_panels/anchor_03_seated_meditation.png	821236727	2026-04-16T04:26:07.614079+00:00
anchor_04_teaching_gesture	anchors	completed	anchor_panels/anchor_04_teaching_gesture.png	814389031	2026-04-16T04:26:47.168555+00:00
anchor_05_silhouette	anchors	completed	anchor_panels/anchor_05_silhouette.png	4142068347	2026-04-16T04:27:26.731738+00:00
anchor_06_expression_compassion	anchors	completed	anchor_panels/anchor_06_expression_compassion.png	2761073024	2026-04-16T04:28:06.199621+00:00
ahjan_front_neutral	model_sheets	completed	character/ahjan/model_sheets/ahjan_front_neutral.png	3285796583	2026-04-16T04:28:57.805010+00:00
ahjan_front_speaking	model_sheets	completed	character/ahjan/model_sheets/ahjan_front_speaking.png	1252003266	2026-04-16T04:29:38.310590+00:00
ahjan_3quarter_left	model_sheets	completed	character/ahjan/model_sheets/ahjan_3quarter_left.png	398756609	2026-04-16T04:30:18.156489+00:00
ahjan_3quarter_right	model_sheets	completed	character/ahjan/model_sheets/ahjan_3quarter_right.png	1261957700	2026-04-16T04:30:57.940013+00:00
ahjan_profile_left	model_sheets	completed	character/ahjan/model_sheets/ahjan_profile_left.png	1529420384	2026-04-16T04:31:37.704631+00:00
ahjan_profile_right	model_sheets	completed	character/ahjan/model_sheets/ahjan_profile_right.png	4041912511	2026-04-16T04:32:17.194356+00:00
ahjan_seated_meditation	model_sheets	completed	character/ahjan/model_sheets/ahjan_seated_meditation.png	1089953496	2026-04-16T04:32:56.932581+00:00
ahjan_seated_teaching	model_sheets	completed	character/ahjan/model_sheets/ahjan_seated_teaching.png	3510929104	2026-04-16T04:33:39.198982+00:00
ahjan_walking	model_sheets	completed	character/ahjan/model_sheets/ahjan_walking.png	1989994028	2026-04-16T04:34:21.420238+00:00
ahjan_bowing	model_sheets	completed	character/ahjan/model_sheets/ahjan_bowing.png	3529761947	2026-04-16T04:35:01.054717+00:00
ahjan_hands_detail	model_sheets	completed	character/ahjan/model_sheets/ahjan_hands_detail.png	1429573124	2026-04-16T04:35:48.137580+00:00
ahjan_face_detail	model_sheets	completed	character/ahjan/model_sheets/ahjan_face_detail.png	1240767846	2026-04-16T04:36:34.263718+00:00
ahjan_expr_calm	expressions	completed	character/ahjan/expressions/ahjan_expr_calm.png	3776930372	2026-04-16T04:37:20.422637+00:00
ahjan_expr_compassion	expressions	completed	character/ahjan/expressions/ahjan_expr_compassion.png	3146266588	2026-04-16T04:37:59.697866+00:00
ahjan_expr_insight	expressions	completed	character/ahjan/expressions/ahjan_expr_insight.png	2481353714	2026-04-16T04:38:38.386562+00:00
ahjan_expr_questioning	expressions	completed	character/ahjan/expressions/ahjan_expr_questioning.png	732128056	2026-04-16T04:39:18.632959+00:00
ahjan_expr_warmth	expressions	completed	character/ahjan/expressions/ahjan_expr_warmth.png	307131211	2026-04-16T04:39:57.394529+00:00
ahjan_expr_stillness	expressions	completed	character/ahjan/expressions/ahjan_expr_stillness.png	1590102107	2026-04-16T04:40:37.607299+00:00
ahjan_expr_surprise_gentle	expressions	completed	character/ahjan/expressions/ahjan_expr_surprise_gentle.png	1156479784	2026-04-16T04:41:17.043790+00:00
ahjan_expr_grief_compassion	expressions	completed	character/ahjan/expressions/ahjan_expr_grief_compassion.png	3744264331	2026-04-16T04:41:58.368062+00:00
ahjan_pose_standing_open	poses	completed	character/ahjan/poses/ahjan_pose_standing_open.png	695287058	2026-04-16T04:42:44.892878+00:00
ahjan_pose_standing_gesturing	poses	completed	character/ahjan/poses/ahjan_pose_standing_gesturing.png	2793449540	2026-04-16T04:43:27.166624+00:00
ahjan_pose_standing_listening	poses	completed	character/ahjan/poses/ahjan_pose_standing_listening.png	227526808	2026-04-16T04:44:07.556685+00:00
ahjan_pose_walking_path	poses	completed	character/ahjan/poses/ahjan_pose_walking_path.png	1813929640	2026-04-16T04:44:48.824900+00:00
ahjan_pose_seated_lotus	poses	completed	character/ahjan/poses/ahjan_pose_seated_lotus.png	1205894618	2026-04-16T04:45:29.348980+00:00
ahjan_pose_seated_zazen	poses	completed	character/ahjan/poses/ahjan_pose_seated_zazen.png	3764985246	2026-04-16T04:46:10.308613+00:00
ahjan_pose_seated_chair_teaching	poses	completed	character/ahjan/poses/ahjan_pose_seated_chair_teaching.png	1386744049	2026-04-16T04:46:50.288244+00:00
ahjan_pose_kneeling_garden	poses	completed	character/ahjan/poses/ahjan_pose_kneeling_garden.png	1823897871	2026-04-16T04:47:29.771625+00:00
ahjan_pose_standing_window	poses	completed	character/ahjan/poses/ahjan_pose_standing_window.png	1311088369	2026-04-16T04:48:08.663430+00:00
ahjan_pose_bow_greeting	poses	completed	character/ahjan/poses/ahjan_pose_bow_greeting.png	1443557957	2026-04-16T04:48:48.385058+00:00
ahjan_pose_hands_tea	poses	completed	character/ahjan/poses/ahjan_pose_hands_tea.png	92541078	2026-04-16T04:49:28.388199+00:00
