persona,topic,engine,format_id,binding_exists,arc_exists,story_count,band_counts,required_bands_missing,min_depth_satisfied,last_story_update,risk,deficit_codes
gen_alpha_students,anxiety,comparison,F006,True,True,20,"{""2"": 7, ""3"": 10, ""4"": 3}","[1, 5]",True,1771882753.6154733,RED,"[""BAND_DEFICIT""]"
gen_alpha_students,anxiety,false_alarm,F006,True,True,20,"{""2"": 7, ""3"": 10, ""4"": 3}","[1, 5]",True,1771882177.474013,RED,"[""BAND_DEFICIT""]"
gen_alpha_students,anxiety,grief,F006,True,True,20,"{""2"": 7, ""3"": 10, ""4"": 3}","[1, 5]",True,1771882848.460277,RED,"[""BAND_DEFICIT""]"
gen_alpha_students,anxiety,overwhelm,F006,True,True,20,"{""2"": 7, ""3"": 10, ""4"": 3}","[1, 5]",True,1771882459.5658863,RED,"[""BAND_DEFICIT""]"
gen_alpha_students,anxiety,shame,F006,True,True,20,"{""2"": 7, ""3"": 10, ""4"": 3}","[1, 5]",True,1771882554.8212247,RED,"[""BAND_DEFICIT""]"
gen_alpha_students,anxiety,spiral,F006,True,True,20,"{""2"": 7, ""3"": 10, ""4"": 3}","[1, 5]",True,1771882268.6431139,RED,"[""BAND_DEFICIT""]"
gen_alpha_students,anxiety,watcher,F006,True,True,20,"{""2"": 7, ""3"": 10, ""4"": 3}","[1, 5]",True,1771882363.560123,RED,"[""BAND_DEFICIT""]"
gen_alpha_students,boundaries,comparison,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,1771969125.3885098,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
gen_alpha_students,boundaries,false_alarm,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,1771969125.3902733,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
gen_alpha_students,boundaries,shame,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,1771969125.3916771,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
gen_alpha_students,burnout,grief,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,1771959602.7116008,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
gen_alpha_students,burnout,overwhelm,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,1771959676.3405983,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
gen_alpha_students,burnout,watcher,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,1771959742.1061602,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
gen_alpha_students,compassion_fatigue,grief,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,1771969125.3929296,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
gen_alpha_students,compassion_fatigue,overwhelm,F006,True,True,0,{},"[1, 2, 3, 4, 5]",False,1771969154.4285102,RED,"[""NO_STORY_POOL"", ""BAND_DEFICIT""]"
