rank,persona,topic,built,words,word_budget,chapter_flow,book_quality,scene_anti_genericity,bestseller_craft,ei_v2,register_gate_verdict,overall_machine_verdict
1,gen_alpha_students,anxiety,true,20416,FAIL,PASS,HOLD,WARN,PASS,PASS,HARD_FAIL,HARD_FAIL
2,gen_z_professionals,burnout,true,21673,FAIL,PASS,HOLD,WARN,PASS,PASS,HARD_FAIL,HARD_FAIL
3,gen_z_professionals,financial_anxiety,false,0,n/a,n/a,n/a,n/a,n/a,n/a,NOT_RUN,NOT_BUILT
4,corporate_managers,burnout,true,20447,FAIL,PASS,HOLD,WARN,PASS,PASS,HARD_FAIL,HARD_FAIL
5,corporate_managers,financial_anxiety,true,20993,FAIL,PASS,HOLD,WARN,PASS,PASS,HARD_FAIL,HARD_FAIL
6,educators,anxiety,true,20378,FAIL,PASS,HOLD,WARN,PASS,PASS,HARD_FAIL,HARD_FAIL
7,gen_alpha_students,boundaries,true,20518,FAIL,PASS,HOLD,FAIL,PASS,PASS,HARD_FAIL,HARD_FAIL
8,gen_x_sandwich,anxiety,true,23090,FAIL,PASS,HOLD,WARN,PASS,PASS,HARD_FAIL,HARD_FAIL
9,gen_x_sandwich,boundaries,true,24270,FAIL,PASS,HOLD,WARN,PASS,PASS,HARD_FAIL,HARD_FAIL
10,nyc_executives,anxiety,true,20954,FAIL,PASS,HOLD,FAIL,PASS,PASS,HARD_FAIL,HARD_FAIL
