book_id	topic	persona	teacher	format	wc	ontgp	bestseller_verdict	quality_summary_verdict	failure_mode
book_0000_anxiety_millennial_women_professionals	anxiety	millennial_women_professionals	ahjan	standard_book	13105	0.4062	PASS	FAIL	RENDERED
book_0001_boundaries_tech_finance_burnout	boundaries	tech_finance_burnout	joshin			—	MISSING	MISSING	scene_anchor_density
book_0002_burnout_entrepreneurs	burnout	entrepreneurs	master_feung	standard_book	13559	0.5635	PASS	FAIL	RENDERED
book_0003_compassion_fatigue_working_parents	compassion_fatigue	working_parents	miki			—	MISSING	MISSING	scene_anchor_density
book_0004_courage_gen_x_sandwich	courage	gen_x_sandwich	junko			—	MISSING	MISSING	scene_anchor_density
book_0005_depression_corporate_managers	depression	corporate_managers	master_wu			—	MISSING	MISSING	scene_anchor_density
book_0006_financial_anxiety_gen_z_professionals	financial_anxiety	gen_z_professionals	omote			—	MISSING	MISSING	scene_anchor_density
book_0007_financial_stress_healthcare_rns	financial_stress	healthcare_rns	ra			—	MISSING	MISSING	scene_anchor_density
book_0008_grief_gen_alpha_students	grief	gen_alpha_students	ahjan			—	MISSING	MISSING	scene_anchor_density
book_0009_imposter_syndrome_first_responders	imposter_syndrome	first_responders	joshin			—	MISSING	MISSING	scene_anchor_density
book_0010_overthinking_gen_z_student	overthinking	gen_z_student	master_feung			—	MISSING	MISSING	UNCATEGORIZED
book_0011_social_anxiety_millennial_women_professionals			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0012_somatic_healing_tech_finance_burnout			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0013_anxiety_entrepreneurs			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0014_boundaries_working_parents			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0015_burnout_gen_x_sandwich	burnout	gen_x_sandwich	joshin	standard_book	14298	0.5837	PASS	FAIL	RENDERED
book_0016_compassion_fatigue_corporate_managers			default_teacher			—	MISSING	MISSING	scene_anchor_density
