cell_id	readable_book	assembly_trace	quality_summary	enrichment_provenance	packet_memo	register_PASS_evidence	ready_for_operator_blind_read
L4-01	yes	yes_epub_derived	yes	yes	yes	yes_wave10_matrix	yes
L4-02	yes	yes_epub_derived	yes	yes	yes	yes_wave10_matrix	yes
L4-03	yes	yes_epub_derived	yes	yes	yes	yes_wave10_matrix	yes
L4-04	yes	yes_epub_derived	yes	yes	yes	yes_wave10_matrix	yes
L4-05	yes	yes_epub_derived	yes	yes	yes	yes_wave10_matrix	yes
L4-06	yes	yes_epub_derived	yes	yes	yes	yes_wave10_matrix	yes
L4-07	yes	yes_epub_derived	yes	yes	yes	yes_wave10_matrix	yes
L4-08	yes	yes_epub_derived	yes	yes	yes	yes_wave10_matrix	yes
L4-09	yes	yes_epub_derived	yes	yes	yes	yes_wave10_matrix	yes
L4-10	yes	yes_epub_derived	yes	yes	yes	yes_wave10_matrix	yes
