book_id	persona	topic	engine	runtime	render_status	register_outcome	epub_outcome	epub_path	epub_bytes	failing_gate	notes
way_stream_sanctuary__corporate_managers__anxiety__comparison	corporate_managers	anxiety	comparison	standard_book	PASS	register_PASS	epub_ok	artifacts/epubs/way_stream_sanctuary/way_stream_sanctuary__corporate_managers__anxiety__comparison.epub	47545	none	spine+production; coverless; landed via #4486 merge
way_stream_sanctuary__corporate_managers__anxiety__false_alarm	corporate_managers	anxiety	false_alarm	standard_book	PASS	register_PASS	epub_ok	artifacts/epubs/way_stream_sanctuary/way_stream_sanctuary__corporate_managers__anxiety__false_alarm.epub	46331	none	spine+production; coverless; landed via #4486 merge
way_stream_sanctuary__corporate_managers__anxiety__grief	corporate_managers	anxiety	grief	standard_book	PASS	register_PASS	epub_ok	artifacts/epubs/way_stream_sanctuary/way_stream_sanctuary__corporate_managers__anxiety__grief.epub	47702	none	spine+production; coverless; landed via #4486 merge
way_stream_sanctuary__corporate_managers__anxiety__overwhelm	corporate_managers	anxiety	overwhelm	standard_book	PASS	register_PASS	epub_ok	artifacts/epubs/way_stream_sanctuary/way_stream_sanctuary__corporate_managers__anxiety__overwhelm.epub	47887	none	spine+production; coverless; landed via #4486 merge
way_stream_sanctuary__corporate_managers__anxiety__shame	corporate_managers	anxiety	shame	standard_book	PASS	register_PASS	epub_ok	artifacts/epubs/way_stream_sanctuary/way_stream_sanctuary__corporate_managers__anxiety__shame.epub	46365	none	spine+production; coverless; landed via #4486 merge
way_stream_sanctuary__corporate_managers__anxiety__spiral	corporate_managers	anxiety	spiral	standard_book	PASS	register_PASS	epub_ok	artifacts/epubs/way_stream_sanctuary/way_stream_sanctuary__corporate_managers__anxiety__spiral.epub	46551	none	spine+production; coverless; landed via #4486 merge
way_stream_sanctuary__corporate_managers__anxiety__watcher	corporate_managers	anxiety	watcher	standard_book	PASS	register_PASS	epub_ok	artifacts/epubs/way_stream_sanctuary/way_stream_sanctuary__corporate_managers__anxiety__watcher.epub	45818	none	spine+production; coverless; landed via #4486 merge
way_stream_sanctuary__corporate_managers__boundaries__comparison	corporate_managers	boundaries	comparison	standard_book	PASS	register_PASS	epub_ok	artifacts/epubs/way_stream_sanctuary/way_stream_sanctuary__corporate_managers__boundaries__comparison.epub	43701	none	spine+production; coverless; landed via #4486 merge
way_stream_sanctuary__corporate_managers__boundaries__false_alarm	corporate_managers	boundaries	false_alarm	standard_book	PASS	register_PASS	epub_ok	artifacts/epubs/way_stream_sanctuary/way_stream_sanctuary__corporate_managers__boundaries__false_alarm.epub	46099	none	spine+production; coverless; landed via #4486 merge
way_stream_sanctuary__corporate_managers__boundaries__shame	corporate_managers	boundaries	shame	standard_book	PASS	register_PASS	epub_ok	artifacts/epubs/way_stream_sanctuary/way_stream_sanctuary__corporate_managers__boundaries__shame.epub	45106	none	spine+production; coverless; landed via #4486 merge
