dedup_id	source_ref	topic	disposition	note
session_mining_SPEC-1	docs/specs/session_mining_batch_20260718/SPEC_INDEX.md	SPEC-1	REFRESH	from SPEC_INDEX classification; do not re-open retired/merged as new systems
session_mining_SPEC-2	docs/specs/session_mining_batch_20260718/SPEC_INDEX.md	SPEC-2	MERGE_WITH_EXISTING	from SPEC_INDEX classification; do not re-open retired/merged as new systems
session_mining_SPEC-3	docs/specs/session_mining_batch_20260718/SPEC_INDEX.md	SPEC-3	REFRESH	from SPEC_INDEX classification; do not re-open retired/merged as new systems
session_mining_SPEC-4	docs/specs/session_mining_batch_20260718/SPEC_INDEX.md	SPEC-4	REFRESH	from SPEC_INDEX classification; do not re-open retired/merged as new systems
session_mining_SPEC-5	docs/specs/session_mining_batch_20260718/SPEC_INDEX.md	SPEC-5	KEEP	from SPEC_INDEX classification; do not re-open retired/merged as new systems
session_mining_SPEC-6	docs/specs/session_mining_batch_20260718/SPEC_INDEX.md	SPEC-6	REFRESH	from SPEC_INDEX classification; do not re-open retired/merged as new systems
session_mining_SPEC-7	docs/specs/session_mining_batch_20260718/SPEC_INDEX.md	SPEC-7	MERGE_WITH_EXISTING	from SPEC_INDEX classification; do not re-open retired/merged as new systems
session_mining_SPEC-8	docs/specs/session_mining_batch_20260718/SPEC_INDEX.md	SPEC-8	REFRESH	from SPEC_INDEX classification; do not re-open retired/merged as new systems
session_mining_SPEC-9	docs/specs/session_mining_batch_20260718/SPEC_INDEX.md	SPEC-9	REFRESH	from SPEC_INDEX classification; do not re-open retired/merged as new systems
pack:20260715_old_chat_closure_audit	docs/agent_prompt_packs/20260715_old_chat_closure_audit	old chats 315-339 closure audit	PRIOR_COVERAGE	Already mined or dispatched; check before promoting gt30d ideas
pack:20260715_old_chat_unblock_wave	docs/agent_prompt_packs/20260715_old_chat_unblock_wave	old chat unblock wave	PRIOR_COVERAGE	Already mined or dispatched; check before promoting gt30d ideas
pack:20260718_old_chats_341_347_finish_work	docs/agent_prompt_packs/20260718_old_chats_341_347_finish_work	old chats 341-347 finish	PRIOR_COVERAGE	Already mined or dispatched; check before promoting gt30d ideas
pack:20260718_old_chats_348_350_finish_work	docs/agent_prompt_packs/20260718_old_chats_348_350_finish_work	old chats 348-350 finish	PRIOR_COVERAGE	Already mined or dispatched; check before promoting gt30d ideas
pack:20260718_session_mining_specs_do_all_execution	docs/agent_prompt_packs/20260718_session_mining_specs_do_all_execution	session mining do-all	PRIOR_COVERAGE	Already mined or dispatched; check before promoting gt30d ideas
pack:20260718_session_mining_specs_relevance_refresh	docs/agent_prompt_packs/20260718_session_mining_specs_relevance_refresh	session mining relevance refresh	PRIOR_COVERAGE	Already mined or dispatched; check before promoting gt30d ideas
