teacher_id	locale	reference_path	sample_rate_hz	duration_s	substitute_stock_voice	status	notes
ahjan	en-US		16000	4.58	/home/ahjan108/phoenix_server/CosyVoice2/reference_audio/english_male.wav	substitute	Expected clone dir ~/phoenix_server/CosyVoice2/voices/ahjan/ absent on pearl_star (2026-05-08 SSH). Pilot locale defaults to english_global en-US — artifacts/qa/teacher_manga_30s_locale_brand_matrix_2026-05-08.tsv and docs/specs/TEACHER_MANGA_30S_VIDEO_V1_SPEC.md not in repo checkout; COSY=en-US zero-shot fallback below. Locale has usable provider stack (ElevenLabs primary + google_voice_default en-US-Neural2-F per locale_registry.yaml).
joshin	en-US		16000	4.58	/home/ahjan108/phoenix_server/CosyVoice2/reference_audio/english_male.wav	substitute	First-pilot teacher (PEARL_PM_STATE Q3). Same absent voices/ subtree; pearl_star CosyVoice2 stock clip + ElevenLabs path for prod EN narration.
junko	en-US		16000	5.02	/home/ahjan108/phoenix_server/CosyVoice2/reference_audio/english_female.wav	substitute	Japanese-native brand voice for EN lane; pearl_star has japanese_male.wav only — no japanese_female reference on disk — using english_female for EN-locale substitute; add teacher-specific WAV under voices/junko/ for fidelity.
maat	en-US		16000	5.02	/home/ahjan108/phoenix_server/CosyVoice2/reference_audio/english_female.wav	substitute	Absent voices/maat/.
master_feung	en-US		16000	4.58	/home/ahjan108/phoenix_server/CosyVoice2/reference_audio/english_male.wav	substitute	Zh-oriented teacher on EN global lane — if pilot moves to zh-TW/zh-CN substitute would be chinese_male.wav or chinese_female.wav (both 16000 Hz, ~4.7–5.3s on pearl_star); voices/master_feung/ absent.
master_sha	en-US		16000	4.58	/home/ahjan108/phoenix_server/CosyVoice2/reference_audio/english_male.wav	substitute	Absent voices/master_sha/.
master_wu	en-US		16000	4.58	/home/ahjan108/phoenix_server/CosyVoice2/reference_audio/english_male.wav	substitute	Absent voices/master_wu/.
miki	en-US		16000	5.02	/home/ahjan108/phoenix_server/CosyVoice2/reference_audio/english_female.wav	substitute	JA-native name — same caveat as junko if ja-JP ship without per-teacher clip.
omote	en-US		16000	4.58	/home/ahjan108/phoenix_server/CosyVoice2/reference_audio/english_male.wav	substitute	Absent voices/omote/.
pamela_fellows	en-US		16000	5.02	/home/ahjan108/phoenix_server/CosyVoice2/reference_audio/english_female.wav	substitute	Absent voices/pamela_fellows/.
ra	en-US		16000	4.58	/home/ahjan108/phoenix_server/CosyVoice2/reference_audio/english_male.wav	substitute	Absent voices/ra/.
sai_ma	en-US		16000	5.02	/home/ahjan108/phoenix_server/CosyVoice2/reference_audio/english_female.wav	substitute	Absent voices/sai_ma/.
