file_path	line_no	old_url	new_url	mapping_rationale
brand-wizard-app/public/free/anxiety-nervous-system-reset/index.html	419	https://play.google.com/store/books	https://pearlprime.shop/en-US/book/stillness_press/anxiety_corporate_managers_ahjan	freebie topic=anxiety; canonical brand stillness_press / persona corporate_managers / teacher ahjan per spec §2.5 example default
brand-wizard-app/public/free/boundaries-script-kit/index.html	307	https://play.google.com/store/books	https://pearlprime.shop/en-US/book/stillness_press/boundaries_corporate_managers_ahjan	freebie topic=boundaries; canonical default mapping
brand-wizard-app/public/free/burnout-energy-audit/index.html	387	https://play.google.com/store/books	https://pearlprime.shop/en-US/book/stillness_press/burnout_corporate_managers_ahjan	freebie topic=burnout; canonical default mapping
brand-wizard-app/public/free/courage-decision-map/index.html	467	https://play.google.com/store/books	https://pearlprime.shop/en-US/book/stillness_press/courage_corporate_managers_ahjan	freebie topic=courage; canonical default mapping
brand-wizard-app/public/free/depression-momentum-kit/index.html	358	https://play.google.com/store/books	https://pearlprime.shop/en-US/book/stillness_press/depression_corporate_managers_ahjan	freebie topic=depression; canonical default mapping
brand-wizard-app/public/free/imposter-evidence-log/index.html	373	https://play.google.com/store/books	https://pearlprime.shop/en-US/book/stillness_press/imposter_syndrome_corporate_managers_ahjan	freebie topic=imposter_syndrome; canonical default mapping
brand-wizard-app/public/free/overthinking-thought-sorter/index.html	442	https://play.google.com/store/books	https://pearlprime.shop/en-US/book/stillness_press/overthinking_corporate_managers_ahjan	freebie topic=overthinking; canonical default mapping
brand-wizard-app/public/free/self-worth-inventory/index.html	448	https://play.google.com/store/books	https://pearlprime.shop/en-US/book/stillness_press/self_worth_corporate_managers_ahjan	freebie topic=self_worth; canonical default mapping
brand-wizard-app/public/free/compassion-fatigue-audit/index.html	401	#	https://pearlprime.shop/en-US/book/stillness_press/compassion_fatigue_corporate_managers_ahjan	placeholder href=# replaced with canonical storefront SKU
brand-wizard-app/public/free/financial-anxiety-check-in/index.html	136	#	https://pearlprime.shop/en-US/book/stillness_press/financial_anxiety_corporate_managers_ahjan	placeholder href=# replaced with canonical storefront SKU
brand-wizard-app/public/free/financial-stress-audit/index.html	144	#	https://pearlprime.shop/en-US/book/stillness_press/financial_stress_corporate_managers_ahjan	placeholder href=# replaced with canonical storefront SKU
brand-wizard-app/public/free/grief-letter-template/index.html	309	#	https://pearlprime.shop/en-US/book/stillness_press/grief_corporate_managers_ahjan	placeholder href=# replaced with canonical storefront SKU
brand-wizard-app/public/free/sleep-anxiety-wind-down/index.html	360	#	https://pearlprime.shop/en-US/book/stillness_press/sleep_anxiety_corporate_managers_ahjan	placeholder href=# replaced with canonical storefront SKU
brand-wizard-app/public/free/social-anxiety-toolkit/index.html	447	#	https://pearlprime.shop/en-US/book/stillness_press/social_anxiety_corporate_managers_ahjan	placeholder href=# replaced with canonical storefront SKU
brand-wizard-app/public/free/somatic-body-scan/index.html	162	#	https://pearlprime.shop/en-US/book/stillness_press/somatic_healing_corporate_managers_ahjan	placeholder href=# replaced with canonical storefront SKU
config/funnel/line_jp/funnel_definition.yaml	106	Link card to BookWalker / Amazon JP	Link card to Pearl Prime Storefront SKU (pearlprime.shop/ja-JP/book/<brand_id>/<inner_key>)	ja-JP funnel prose: HARD cutover deprecates external Japanese affiliate paths
config/funnel/line_jp/funnel_definition.yaml	237	1-tap purchase routing (BookWalker / Amazon JP / LINE Pay)	1-tap purchase routing to Pearl Prime Storefront SKU (pearlprime.shop/ja-JP/...)	ja-JP funnel prose: HARD cutover deprecates external Japanese affiliate paths; LINE Pay deferred to post-launch
funnel/burnout_reset/LINE_HANDOFF.md	130	platform ENUM(bookwalker / amazon_jp / line_pay)	platform ENUM(pearlprime_storefront / line_pay)	DB schema column-value docs updated to reflect post-cutover platform set
funnel/burnout_reset/LINE_HANDOFF.md	132	affiliate-platform postback (BookWalker / Amazon JP affiliate webhooks)	Pearl Prime Storefront Snipcart order.completed webhook	post-cutover purchase signal sourced from storefront webhook not affiliate postback
funnel/burnout_reset/LINE_HANDOFF.md	193	off-platform purchase (BookWalker / Amazon JP affiliate)	storefront purchase (pearlprime.shop/ja-JP/...)	post-cutover doc state: coupon flow targets storefront not affiliates
