brand_id	teacher_id	asset_type	locale	path	exists	size_bytes	is_real_image	last_mtime	source_pipeline	series_id	notes
cognitive_clarity	joshin	author_base	n/a	assets/authors/cover_art/joshin_base.png	yes	427745	yes	2026-05-08T09:16:10Z	manual_legacy_or_seed		Author identity base portrait (locale-agnostic; reused across covers)
n/a_book_pen_name	ajahn_x	author_base	n/a	assets/authors/cover_art/ajahn_x_base.png	yes	10456	yes	2026-05-08T09:16:10Z	manual_legacy_or_seed		Author identity base portrait (locale-agnostic; reused across covers)
relational_calm	junko	author_base	n/a	assets/authors/cover_art/junko_base.png	yes	636546	yes	2026-05-08T09:16:11Z	manual_legacy_or_seed		Author identity base portrait (locale-agnostic; reused across covers)
n/a_book_pen_name	diane_reyes	author_base	n/a	assets/authors/cover_art/diane_reyes_base.png	yes	10063	yes	2026-05-08T09:16:10Z	manual_legacy_or_seed		Author identity base portrait (locale-agnostic; reused across covers)
somatic_wisdom	pamela_fellows	author_base	n/a	assets/authors/cover_art/pamela_fellows_base.png	yes	508733	yes	2026-05-08T09:16:12Z	manual_legacy_or_seed		Author identity base portrait (locale-agnostic; reused across covers)
n/a_book_pen_name	marcus_cole	author_base	n/a	assets/authors/cover_art/marcus_cole_base.png	yes	10022	yes	2026-05-08T09:16:11Z	manual_legacy_or_seed		Author identity base portrait (locale-agnostic; reused across covers)
digital_ground	miki	author_base	n/a	assets/authors/cover_art/miki_base.png	yes	196008	yes	2026-05-08T09:16:12Z	manual_legacy_or_seed		Author identity base portrait (locale-agnostic; reused across covers)
sleep_restoration	master_sha	author_base	n/a	assets/authors/cover_art/master_sha_base.png	yes	10456	yes	2026-05-08T09:16:11Z	manual_legacy_or_seed		Author identity base portrait (locale-agnostic; reused across covers)
qi_foundation	master_feung	author_base	n/a	assets/authors/cover_art/master_feung_base.png	yes	720771	yes	2026-05-08T09:16:11Z	manual_legacy_or_seed		Author identity base portrait (locale-agnostic; reused across covers)
stillness_press	ahjan	author_base	n/a	assets/authors/cover_art/ahjan_base.png	yes	213899	yes	2026-05-08T09:16:10Z	manual_legacy_or_seed		Author identity base portrait (locale-agnostic; reused across covers)
n/a_book_pen_name	luna_hart	author_base	n/a	assets/authors/cover_art/luna_hart_base.png	yes	10290	yes	2026-05-08T09:16:11Z	manual_legacy_or_seed		Author identity base portrait (locale-agnostic; reused across covers)
devotion_path	sai_ma	author_base	n/a	assets/authors/cover_art/sai_ma_base.png	yes	547226	yes	2026-05-08T09:16:12Z	manual_legacy_or_seed		Author identity base portrait (locale-agnostic; reused across covers)
heart_balance	maat	author_base	n/a	assets/authors/cover_art/maat_base.png	yes	452376	yes	2026-05-08T09:16:11Z	manual_legacy_or_seed		Author identity base portrait (locale-agnostic; reused across covers)
solar_return	ra	author_base	n/a	assets/authors/cover_art/ra_base.png	yes	652845	yes	2026-05-08T09:16:12Z	manual_legacy_or_seed		Author identity base portrait (locale-agnostic; reused across covers)
warrior_calm	master_wu	author_base	n/a	assets/authors/cover_art/master_wu_base.png	yes	694544	yes	2026-05-08T09:16:12Z	manual_legacy_or_seed		Author identity base portrait (locale-agnostic; reused across covers)
n/a_book_pen_name	kai_nakamura	author_base	n/a	assets/authors/cover_art/kai_nakamura_base.png	yes	10470	yes	2026-05-08T09:16:11Z	manual_legacy_or_seed		Author identity base portrait (locale-agnostic; reused across covers)
body_memory	omote	author_base	n/a	assets/authors/cover_art/omote_base.png	yes	10456	yes	2026-05-08T09:16:12Z	manual_legacy_or_seed		Author identity base portrait (locale-agnostic; reused across covers)
n/a_brand_agnostic		video_bank	n/a	brand-wizard-app/public/assets/video_bank/vb_anxiety_calm.png	yes	224808	yes	2026-05-08T09:19:56Z	brand_wizard_seed		Brand-agnostic video b-roll thumbnail
n/a_brand_agnostic		video_bank	n/a	brand-wizard-app/public/assets/video_bank/vb_abstract_warmth.png	yes	556299	yes	2026-05-08T09:19:07Z	brand_wizard_seed		Brand-agnostic video b-roll thumbnail
n/a_brand_agnostic		video_bank	n/a	brand-wizard-app/public/assets/video_bank/vb_nature_forest.png	yes	2000320	yes	2026-05-08T09:19:07Z	brand_wizard_seed		Brand-agnostic video b-roll thumbnail
solar_return	ra	showcase_cover	en_US	brand-wizard-app/public/assets/covers/cover_ra_imposter_syndrome.png	yes	61176	yes	2026-05-08T09:17:49Z	brand_wizard_seed		Showcase brand cover (1-per-teacher per topic)
qi_foundation	master_feung	showcase_cover	en_US	brand-wizard-app/public/assets/covers/cover_master_feung_burnout.png	yes	71706	yes	2026-05-08T09:17:49Z	brand_wizard_seed		Showcase brand cover (1-per-teacher per topic)
warrior_calm	master_wu	showcase_cover	en_US	brand-wizard-app/public/assets/covers/cover_master_wu_courage.png	yes	60113	yes	2026-05-08T09:17:49Z	brand_wizard_seed		Showcase brand cover (1-per-teacher per topic)
somatic_wisdom	pamela_fellows	showcase_cover	en_US	brand-wizard-app/public/assets/covers/cover_pamela_fellows_anxiety.png	yes	84315	yes	2026-05-08T09:17:49Z	brand_wizard_seed		Showcase brand cover (1-per-teacher per topic)
stillness_press	ahjan	showcase_cover	en_US	brand-wizard-app/public/assets/covers/cover_ahjan_anxiety.png	yes	91707	yes	2026-05-08T09:17:49Z	brand_wizard_seed		Showcase brand cover (1-per-teacher per topic)
devotion_path	sai_ma	showcase_cover	en_US	brand-wizard-app/public/assets/covers/cover_sai_ma_grief.png	yes	59355	yes	2026-05-08T09:17:49Z	brand_wizard_seed		Showcase brand cover (1-per-teacher per topic)
cognitive_clarity	joshin	showcase_cover	en_US	brand-wizard-app/public/assets/covers/cover_joshin_anxiety.png	yes	68008	yes	2026-05-08T09:17:49Z	brand_wizard_seed		Showcase brand cover (1-per-teacher per topic)
heart_balance	maat	showcase_cover	en_US	brand-wizard-app/public/assets/covers/cover_maat_boundaries.png	yes	68034	yes	2026-05-08T09:17:49Z	brand_wizard_seed		Showcase brand cover (1-per-teacher per topic)
n/a_deferred_v1_1	adi_da	showcase_cover	en_US	brand-wizard-app/public/assets/covers/cover_adi_da_self_worth.png	yes	55678	yes	2026-05-08T09:17:49Z	brand_wizard_seed		Showcase brand cover (1-per-teacher per topic)
digital_ground	miki	showcase_cover	en_US	brand-wizard-app/public/assets/covers/cover_miki_imposter_syndrome.png	yes	65174	yes	2026-05-08T09:17:49Z	brand_wizard_seed		Showcase brand cover (1-per-teacher per topic)
relational_calm	junko	showcase_cover	en_US	brand-wizard-app/public/assets/covers/cover_junko_overthinking.png	yes	54599	yes	2026-05-08T09:17:49Z	brand_wizard_seed		Showcase brand cover (1-per-teacher per topic)
body_memory	omote	showcase_cover	en_US	brand-wizard-app/public/assets/covers/cover_omote_sleep_anxiety.png	yes	66557	yes	2026-05-08T09:17:49Z	brand_wizard_seed		Showcase brand cover (1-per-teacher per topic)
sleep_restoration	master_sha	showcase_cover	en_US	brand-wizard-app/public/assets/covers/cover_master_sha_grief.png	yes	65677	yes	2026-05-08T09:17:49Z	brand_wizard_seed		Showcase brand cover (1-per-teacher per topic)
solar_return	ra	audiobook_cover	en_US	brand-wizard-app/public/assets/covers/audiobook/cover_ra_imposter_syndrome.png	yes	94271	yes	2026-05-08T09:17:49Z	brand_wizard_seed		Audiobook square cover
qi_foundation	master_feung	audiobook_cover	en_US	brand-wizard-app/public/assets/covers/audiobook/cover_master_feung_burnout.png	yes	108094	yes	2026-05-08T09:17:48Z	brand_wizard_seed		Audiobook square cover
warrior_calm	master_wu	audiobook_cover	en_US	brand-wizard-app/public/assets/covers/audiobook/cover_master_wu_courage.png	yes	97924	yes	2026-05-08T09:17:48Z	brand_wizard_seed		Audiobook square cover
somatic_wisdom	pamela_fellows	audiobook_cover	en_US	brand-wizard-app/public/assets/covers/audiobook/cover_pamela_fellows_anxiety.png	yes	132814	yes	2026-05-08T09:17:49Z	brand_wizard_seed		Audiobook square cover
stillness_press	ahjan	audiobook_cover	en_US	brand-wizard-app/public/assets/covers/audiobook/cover_ahjan_anxiety.png	yes	129692	yes	2026-05-08T09:17:48Z	brand_wizard_seed		Audiobook square cover
devotion_path	sai_ma	audiobook_cover	en_US	brand-wizard-app/public/assets/covers/audiobook/cover_sai_ma_grief.png	yes	96574	yes	2026-05-08T09:17:49Z	brand_wizard_seed		Audiobook square cover
cognitive_clarity	joshin	audiobook_cover	en_US	brand-wizard-app/public/assets/covers/audiobook/cover_joshin_anxiety.png	yes	101591	yes	2026-05-08T09:17:48Z	brand_wizard_seed		Audiobook square cover
heart_balance	maat	audiobook_cover	en_US	brand-wizard-app/public/assets/covers/audiobook/cover_maat_boundaries.png	yes	105509	yes	2026-05-08T09:17:48Z	brand_wizard_seed		Audiobook square cover
n/a_deferred_v1_1	adi_da	audiobook_cover	en_US	brand-wizard-app/public/assets/covers/audiobook/cover_adi_da_self_worth.png	yes	92441	yes	2026-05-08T09:17:48Z	brand_wizard_seed		Audiobook square cover
digital_ground	miki	audiobook_cover	en_US	brand-wizard-app/public/assets/covers/audiobook/cover_miki_imposter_syndrome.png	yes	97129	yes	2026-05-08T09:17:48Z	brand_wizard_seed		Audiobook square cover
stillness_press	ahjan	audiobook_cover	en_US	brand-wizard-app/public/assets/covers/audiobook/cover_ahjan_boundaries.png	yes	108653	yes	2026-04-13T09:25:56Z	brand_wizard_seed		Audiobook square cover
relational_calm	junko	audiobook_cover	en_US	brand-wizard-app/public/assets/covers/audiobook/cover_junko_overthinking.png	yes	88973	yes	2026-05-08T09:17:48Z	brand_wizard_seed		Audiobook square cover
body_memory	omote	audiobook_cover	en_US	brand-wizard-app/public/assets/covers/audiobook/cover_omote_sleep_anxiety.png	yes	101865	yes	2026-05-08T09:17:49Z	brand_wizard_seed		Audiobook square cover
sleep_restoration	master_sha	audiobook_cover	en_US	brand-wizard-app/public/assets/covers/audiobook/cover_master_sha_grief.png	yes	105639	yes	2026-05-08T09:17:48Z	brand_wizard_seed		Audiobook square cover
devotion_path	sai_ma	kdp_cover	en_US	brand-wizard-app/public/assets/covers/kdp/sai_ma_ebook.png	yes	1169690	yes	2026-05-08T09:18:50Z	brand_wizard_seed		KDP book cover (paperback/ebook front)
cognitive_clarity	joshin	kdp_cover	en_US	brand-wizard-app/public/assets/covers/kdp/joshin_podcast.png	yes	647444	yes	2026-05-08T09:17:56Z	brand_wizard_seed		KDP book cover (paperback/ebook front)
cognitive_clarity	joshin	kdp_cover	en_US	brand-wizard-app/public/assets/covers/kdp/joshin_ebook.png	yes	517718	yes	2026-05-08T09:17:56Z	brand_wizard_seed		KDP book cover (paperback/ebook front)
devotion_path	sai_ma	kdp_cover	en_US	brand-wizard-app/public/assets/covers/kdp/sai_ma_social.png	yes	822958	yes	2026-05-08T09:18:51Z	brand_wizard_seed		KDP book cover (paperback/ebook front)
digital_ground	miki	kdp_cover	en_US	brand-wizard-app/public/assets/covers/kdp/miki_social.png	yes	480617	yes	2026-05-08T09:18:35Z	brand_wizard_seed		KDP book cover (paperback/ebook front)
body_memory	omote	kdp_cover	en_US	brand-wizard-app/public/assets/covers/kdp/omote_ebook.png	yes	4461615	yes	2026-05-08T09:18:39Z	brand_wizard_seed		KDP book cover (paperback/ebook front)
warrior_calm	master_wu	kdp_cover	en_US	brand-wizard-app/public/assets/covers/kdp/master_wu_social.png	yes	1860988	yes	2026-05-08T09:18:34Z	brand_wizard_seed		KDP book cover (paperback/ebook front)
body_memory	omote	kdp_cover	en_US	brand-wizard-app/public/assets/covers/kdp/omote_podcast.png	yes	10504014	yes	2026-05-08T09:18:40Z	brand_wizard_seed		KDP book cover (paperback/ebook front)
heart_balance	maat	kdp_cover	en_US	brand-wizard-app/public/assets/covers/kdp/maat_audiobook.png	yes	10645066	yes	2026-05-08T09:18:07Z	brand_wizard_seed		KDP book cover (paperback/ebook front)
heart_balance	maat	kdp_cover	en_US	brand-wizard-app/public/assets/covers/kdp/maat_social.png	yes	1460454	yes	2026-05-08T09:18:13Z	brand_wizard_seed		KDP book cover (paperback/ebook front)
n/a_deferred_v1_1	adi_da	kdp_cover	en_US	brand-wizard-app/public/assets/covers/kdp/adi_da_audiobook.png	yes	8511494	yes	2026-05-08T09:17:51Z	brand_wizard_seed		KDP book cover (paperback/ebook front)
sleep_restoration	master_sha	kdp_cover	en_US	brand-wizard-app/public/assets/covers/kdp/master_sha_social.png	yes	314838	yes	2026-05-08T09:18:21Z	brand_wizard_seed		KDP book cover (paperback/ebook front)
solar_return	ra	kdp_cover	en_US	brand-wizard-app/public/assets/covers/kdp/ra_ebook.png	yes	1289332	yes	2026-05-08T09:18:48Z	brand_wizard_seed		KDP book cover (paperback/ebook front)
somatic_wisdom	pamela_fellows	kdp_cover	en_US	brand-wizard-app/public/assets/covers/kdp/pamela_fellows_social.png	yes	2015847	yes	2026-05-08T09:18:47Z	brand_wizard_seed		KDP book cover (paperback/ebook front)
sleep_restoration	master_sha	kdp_cover	en_US	brand-wizard-app/public/assets/covers/kdp/master_sha_podcast.png	yes	235809	yes	2026-05-08T09:18:21Z	brand_wizard_seed		KDP book cover (paperback/ebook front)
