locale	series_plans	allocation	format_routing	catalog_ssot_csv	wave_a_lane	grid_cell	blockers
de_DE	0	yes	no	no	wave_a	BLOCKED	format_routing_missing
en_US	268	yes	yes	no	shipped_m3	PARTIAL	catalog_ssot_csv_missing
es_ES	0	yes	no	no	wave_a	BLOCKED	format_routing_missing
es_US	0	yes	no	no	wave_a	BLOCKED	format_routing_missing
fr_FR	390	yes	yes	yes	wave_a	GREEN	none
hu_HU	0	yes	no	no	wave_a	BLOCKED	format_routing_missing
it_IT	0	yes	no	no	wave_a	BLOCKED	format_routing_missing
ja_JP	269	yes	yes	yes	shipped_m3	GREEN	none
ko_KR	266	yes	yes	no	hold	HOLD	hold_pending_market_clearance (Q-MANGA-05);catalog_ssot_csv_missing
pt_BR	0	yes	no	no	wave_a	BLOCKED	format_routing_missing
zh_CN	268	yes	yes	no	shipped_m3	PARTIAL	catalog_ssot_csv_missing
zh_HK	0	yes	no	no	wave_a	BLOCKED	format_routing_missing
zh_SG	0	yes	no	no	wave_a	BLOCKED	format_routing_missing
zh_TW	274	yes	yes	no	shipped_m3	PARTIAL	catalog_ssot_csv_missing
