topic	engine	arc_exists_on_main	file_path_or_missing	in_scope	chosen_this_turn	blocker_type
anxiety	comparison	yes	config/source_of_truth/master_arcs/midlife_women__anxiety__comparison__F006.yaml	yes	no	none
anxiety	grief	yes	config/source_of_truth/master_arcs/midlife_women__anxiety__grief__F006.yaml	yes	no	none
anxiety	overwhelm	yes	config/source_of_truth/master_arcs/midlife_women__anxiety__overwhelm__F006.yaml	yes	no	none
anxiety	shame	yes	config/source_of_truth/master_arcs/midlife_women__anxiety__shame__F006.yaml	yes	no	none
boundaries	comparison	yes	config/source_of_truth/master_arcs/midlife_women__boundaries__comparison__F006.yaml	yes	no	none
boundaries	grief	no	MISSING	yes	no	engine_binding_illegal
boundaries	overwhelm	yes	config/source_of_truth/master_arcs/midlife_women__boundaries__overwhelm__F006.yaml	yes	yes	arc_missing
boundaries	shame	yes	config/source_of_truth/master_arcs/midlife_women__boundaries__shame__F006.yaml	yes	no	none
compassion_fatigue	comparison	no	MISSING	yes	no	engine_binding_illegal
compassion_fatigue	grief	yes	config/source_of_truth/master_arcs/midlife_women__compassion_fatigue__grief__F006.yaml	yes	no	none
compassion_fatigue	overwhelm	yes	config/source_of_truth/master_arcs/midlife_women__compassion_fatigue__overwhelm__F006.yaml	yes	no	none
compassion_fatigue	shame	no	MISSING	yes	no	engine_binding_illegal
financial_stress	comparison	no	MISSING	yes	no	engine_binding_illegal
financial_stress	grief	no	MISSING	yes	no	engine_binding_illegal
financial_stress	overwhelm	yes	config/source_of_truth/master_arcs/midlife_women__financial_stress__overwhelm__F006.yaml	yes	no	none
financial_stress	shame	yes	config/source_of_truth/master_arcs/midlife_women__financial_stress__shame__F006.yaml	yes	no	none
self_worth	comparison	yes	config/source_of_truth/master_arcs/midlife_women__self_worth__comparison__F006.yaml	yes	no	none
self_worth	grief	no	MISSING	yes	no	engine_binding_illegal
self_worth	overwhelm	no	MISSING	yes	no	engine_binding_illegal
self_worth	shame	yes	config/source_of_truth/master_arcs/midlife_women__self_worth__shame__F006.yaml	yes	no	none
