atom_type	verdict	action	rows_deepened_or_seeded	source_authority	validator
REFLECTION_QUESTION	SOURCED	deepen_bank_rows	rq_anxiety_gen_z_professionals_01,rq_anxiety_gen_z_professionals_02	accent_banks/reflection_questions/anxiety/entries.yaml	PASS
TROUBLESHOOTING	SOURCED	deepen_bank_rows	ts_anxiety_gen_z_professionals_01,ts_anxiety_gen_z_professionals_02	accent_banks/troubleshooting/anxiety/entries.yaml	PASS
WISDOM_ESSENCE	SOURCED	lint_3para_secular	we_anx_body_first_awareness_v01,we_anx_noticing_without_fixing_v01,we_anx_bracing_cost_v01,we_anx_self_compassion_worth_v01,we_anx_impermanence_weather_v01,we_anx_observing_self_v01,we_anx_already_complete_v01,we_anx_suffering_as_pigment_v01,we_anx_transmission_beyond_mind_v01,we_anx_ordinary_life_practice_v01,we_anx_patterns_as_recordings_v01,we_anx_standing_down_permission_v01,we_boundaries_edge_as_information_v01	accent_banks/wisdom_essence + essence map	PASS
AUTHOR_DISCLOSURE	PARTIAL	map_AUTHOR_COMMENTARY_deepen	ac_ravi_anxiety_observed_standup_v01,ac_ravi_anxiety_observed_noting_v01,ac_lena_anxiety_observed_charting_v01,ac_lena_anxiety_observed_small_practice_v01	accent_banks/author_commentary	PASS
CASE_STUDY	PARTIAL	map_external_stories_deepen	ext_anx_historical_darwin_palpitations_v01	accent_banks/external_stories/anxiety_entries.yaml	PASS
PARABLE	PARTIAL	map_mythic_external_deepen	ext_anx_mythic_icarus_v01	accent_banks/external_stories/anxiety_entries.yaml	PASS
ENCOURAGEMENT	PARTIAL	seed_bank_from_PERMISSION	enc_burnout_permission_v1_lane07,enc_burnout_permission_v2_lane07	atoms/.../PERMISSION + new encouragement bank	PASS
EXERCISE_SETUP	PARTIAL	seed_bank_from_exercises_v4	exercise_setup_00_breath_regulation_lane07,exercise_setup_01_grounding_orientation_lane07	exercises_v4/intro_templates.yaml	PASS
HOOK_STORY	PARTIAL	seed_bank_from_STORY	hook_story_anxiety_story_v1_lane07,hook_story_anxiety_story_v2_lane07	atoms/gen_z_professionals/anxiety/STORY	PASS
METAPHOR	PARTIAL	seed_bank_from_ANGLE_ANALOGY	metaphor_burnout_taxi_meter_lane07_v01,metaphor_burnout_taxi_meter_boundary_lane07_v02	ch1 ANGLE_ANALOGY (read-only source)	PASS
MOTIF	NO-SOURCE	still_blocked	none	motif_keys metadata only	n/a
