brand,total_planned,needs_authoring_false,arc_pointer_orphaned,plannable_arc_exists,series_plans_on_disk,series_reader_promise_populated
adhd_forge,845,45,0,845,140,9
stillness_press,837,61,0,837,133,42
digital_ground,825,27,0,825,140,48
stabilizer,824,24,0,824,5,5
sleep_restoration,823,12,0,823,141,26
solar_return,823,44,0,823,141,44
cognitive_clarity,821,0,0,821,139,44
confidence_core,821,21,0,821,6,6
resilient_parent,818,18,0,818,135,5
relationship_clarity,816,16,0,816,135,5
creative_unfold,816,16,0,816,138,5
legacy_builder,816,16,0,816,135,5
career_lift,816,16,0,816,133,5
executive_calm,813,13,0,813,130,3
night_reset,813,13,0,813,133,3
devotion_path,813,0,0,813,137,6
somatic_wisdom,812,46,0,812,138,42
warrior_calm,811,213,0,811,133,11
qi_foundation,810,30,757,53,11,11
heart_balance,810,0,0,810,137,26
optimizer,808,8,0,808,132,2
calm_student,807,7,0,807,131,0
relational_calm,801,33,0,801,127,8
body_memory,801,33,736,65,8,8
still_forest,801,31,742,59,8,8
bio_flow,800,0,0,800,128,0
morning_momentum,800,0,0,800,131,0
high_performer,800,0,0,800,130,0
trauma_path,800,0,0,800,133,0
awakening_press,800,39,0,800,131,14
healing_ground,800,0,0,800,131,0
stoic_edge,800,0,0,800,132,0
longevity_lab,800,0,0,800,130,0
spiritual_ground,800,0,0,800,130,0
focus_sprint,800,180,0,800,131,0
minimal_mind,800,0,0,800,129,0
gentle_growth,800,0,0,800,130,0
heart_transmission,800,51,0,800,129,14
hormone_reset,800,0,0,800,129,0
way_stream_sanctuary,800,800,0,800,260,260
TOTAL,32401,1813,2235,30166,4830,665
