persona,topic,engine,planned_book_count,brand_spread,canonical_txt_present,story_atoms_present,thesis_topic_overlay,predicted_bind_status,predicted_acceptance_ceiling
tech_finance_burnout,overthinking,spiral,67,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
millennial_women_professionals,financial_stress,spiral,66,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
millennial_women_professionals,grief,grief,66,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_x_sandwich,overthinking,spiral,65,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
millennial_women_professionals,financial_anxiety,shame,65,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
working_parents,boundaries,comparison,65,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_x_sandwich,overthinking,grief,65,39,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_z_professionals,courage,shame,65,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_x_sandwich,courage,spiral,64,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
entrepreneurs,anxiety,spiral,64,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
entrepreneurs,sleep_anxiety,spiral,64,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
corporate_managers,burnout,false_alarm,64,39,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
corporate_managers,anxiety,spiral,64,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
tech_finance_burnout,boundaries,comparison,64,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_alpha_students,anxiety,shame,64,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_alpha_students,anxiety,overwhelm,64,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_z_professionals,sleep_anxiety,watcher,63,39,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
tech_finance_burnout,anxiety,comparison,63,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
tech_finance_burnout,social_anxiety,false_alarm,63,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
tech_finance_burnout,courage,false_alarm,63,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
working_parents,anxiety,spiral,63,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
corporate_managers,courage,false_alarm,63,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
gen_x_sandwich,financial_anxiety,overwhelm,63,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
working_parents,depression,overwhelm,63,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
tech_finance_burnout,grief,watcher,63,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard)
