persona,topic,engine,planned_book_count,brand_spread,canonical_txt_present,story_atoms_present,thesis_topic_overlay,predicted_bind_status,predicted_acceptance_ceiling,tuple_viability_status,tuple_viability_errors,tuple_viability_error_codes
tech_finance_burnout,overthinking,spiral,67,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
millennial_women_professionals,financial_stress,spiral,66,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
millennial_women_professionals,grief,grief,66,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
gen_x_sandwich,overthinking,spiral,65,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
millennial_women_professionals,financial_anxiety,shame,65,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
working_parents,boundaries,comparison,65,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
gen_x_sandwich,overthinking,grief,65,39,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),FAIL,NO_BINDING: persona=gen_x_sandwich topic=overthinking engine=grief;BAND_DEFICIT: missing band 1;BAND_DEFICIT: missing band 2,BAND_DEFICIT;NO_BINDING
gen_z_professionals,courage,shame,65,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
gen_x_sandwich,courage,spiral,64,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
entrepreneurs,anxiety,spiral,64,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
entrepreneurs,sleep_anxiety,spiral,64,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
corporate_managers,burnout,false_alarm,64,39,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),FAIL,NO_BINDING: persona=corporate_managers topic=burnout engine=false_alarm,NO_BINDING
corporate_managers,anxiety,spiral,64,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
tech_finance_burnout,boundaries,comparison,64,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
gen_alpha_students,anxiety,shame,64,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
gen_alpha_students,anxiety,overwhelm,64,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
gen_z_professionals,sleep_anxiety,watcher,63,39,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),FAIL,NO_BINDING: persona=gen_z_professionals topic=sleep_anxiety engine=watcher;BAND_DEFICIT: missing band 1;BAND_DEFICIT: missing band 2,BAND_DEFICIT;NO_BINDING
tech_finance_burnout,anxiety,comparison,63,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
tech_finance_burnout,social_anxiety,false_alarm,63,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
tech_finance_burnout,courage,false_alarm,63,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
working_parents,anxiety,spiral,63,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
corporate_managers,courage,false_alarm,63,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
gen_x_sandwich,financial_anxiety,overwhelm,63,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
working_parents,depression,overwhelm,63,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
tech_finance_burnout,grief,watcher,63,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
gen_z_professionals,sleep_anxiety,overwhelm,63,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
millennial_women_professionals,anxiety,false_alarm,63,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
gen_z_professionals,anxiety,grief,63,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
gen_x_sandwich,anxiety,shame,63,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
working_parents,self_worth,shame,63,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
entrepreneurs,courage,spiral,63,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
corporate_managers,anxiety,comparison,63,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
healthcare_rns,compassion_fatigue,grief,63,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
tech_finance_burnout,burnout,overwhelm,63,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
healthcare_rns,courage,shame,63,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
gen_x_sandwich,social_anxiety,shame,63,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
healthcare_rns,sleep_anxiety,spiral,63,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
corporate_managers,anxiety,shame,63,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
entrepreneurs,imposter_syndrome,comparison,63,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
corporate_managers,self_worth,comparison,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
millennial_women_professionals,overthinking,watcher,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
gen_z_professionals,imposter_syndrome,grief,62,39,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),FAIL,NO_BINDING: persona=gen_z_professionals topic=imposter_syndrome engine=grief,NO_BINDING
tech_finance_burnout,somatic_healing,watcher,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
gen_z_professionals,self_worth,comparison,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
corporate_managers,anxiety,grief,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
millennial_women_professionals,compassion_fatigue,grief,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
gen_alpha_students,anxiety,watcher,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
entrepreneurs,social_anxiety,shame,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
healthcare_rns,compassion_fatigue,shame,62,39,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),FAIL,NO_BINDING: persona=healthcare_rns topic=compassion_fatigue engine=shame,NO_BINDING
gen_alpha_students,boundaries,false_alarm,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
gen_x_sandwich,imposter_syndrome,shame,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
gen_x_sandwich,financial_anxiety,shame,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
tech_finance_burnout,sleep_anxiety,overwhelm,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
gen_alpha_students,burnout,grief,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
working_parents,overthinking,watcher,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
tech_finance_burnout,burnout,grief,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
healthcare_rns,compassion_fatigue,overwhelm,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
tech_finance_burnout,depression,overwhelm,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
healthcare_rns,financial_anxiety,overwhelm,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
gen_z_professionals,burnout,grief,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
healthcare_rns,overthinking,false_alarm,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
gen_z_professionals,boundaries,false_alarm,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
healthcare_rns,burnout,watcher,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
corporate_managers,financial_stress,shame,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
gen_z_professionals,imposter_syndrome,comparison,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
gen_x_sandwich,burnout,grief,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
tech_finance_burnout,anxiety,shame,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
gen_z_professionals,courage,false_alarm,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
working_parents,self_worth,comparison,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
tech_finance_burnout,burnout,watcher,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
entrepreneurs,depression,overwhelm,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
tech_finance_burnout,overthinking,watcher,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
gen_z_professionals,anxiety,watcher,62,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
tech_finance_burnout,courage,spiral,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
working_parents,somatic_healing,watcher,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
tech_finance_burnout,overthinking,overwhelm,62,39,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),FAIL,NO_BINDING: persona=tech_finance_burnout topic=overthinking engine=overwhelm,NO_BINDING
gen_x_sandwich,financial_stress,spiral,62,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
working_parents,imposter_syndrome,false_alarm,62,39,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
entrepreneurs,overthinking,watcher,61,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
millennial_women_professionals,courage,false_alarm,61,40,True,True,False,BOUND,authored-candidate-possible (Layer 2+ reachable; NOT guaranteed — see healthcare_rns x burnout 43006 precedent),PASS,,
millennial_women_professionals,somatic_healing,overwhelm,61,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
tech_finance_burnout,financial_anxiety,overwhelm,61,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
gen_x_sandwich,sleep_anxiety,spiral,61,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
entrepreneurs,burnout,overwhelm,61,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
healthcare_rns,boundaries,shame,61,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
corporate_managers,financial_anxiety,overwhelm,61,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
millennial_women_professionals,overthinking,false_alarm,61,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
millennial_women_professionals,burnout,grief,61,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
gen_x_sandwich,depression,overwhelm,61,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
working_parents,anxiety,shame,61,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
entrepreneurs,burnout,spiral,61,39,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),FAIL,NO_BINDING: persona=entrepreneurs topic=burnout engine=spiral,NO_BINDING
corporate_managers,somatic_healing,overwhelm,61,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
corporate_managers,burnout,spiral,61,39,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),FAIL,NO_BINDING: persona=corporate_managers topic=burnout engine=spiral;BAND_DEFICIT: missing band 1;BAND_DEFICIT: missing band 2,BAND_DEFICIT;NO_BINDING
tech_finance_burnout,burnout,shame,61,39,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),FAIL,NO_BINDING: persona=tech_finance_burnout topic=burnout engine=shame,NO_BINDING
gen_x_sandwich,compassion_fatigue,overwhelm,61,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
gen_alpha_students,compassion_fatigue,overwhelm,61,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
gen_z_professionals,burnout,watcher,61,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
tech_finance_burnout,boundaries,false_alarm,61,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
tech_finance_burnout,sleep_anxiety,false_alarm,61,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
corporate_managers,grief,grief,61,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
tech_finance_burnout,social_anxiety,shame,61,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
working_parents,grief,grief,61,40,True,False,True,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
entrepreneurs,depression,grief,61,40,True,False,False,UNBOUND-thin,structurally-clear-only (Layer 1 cap; research_fit binding cap per scorecard),PASS,,
