topic,total_planned_books,bound_books,unbound_thin_books,unknown_books,bound_pct,thesis_topic_overlay
anxiety,3744,228,3516,0,6.089743589743589,True
burnout,3683,66,3617,0,1.7920173771382026,True
imposter_syndrome,3479,0,3463,16,0.0,False
overthinking,3352,0,3344,8,0.0,True
sleep_anxiety,3246,0,3246,0,0.0,False
boundaries,2107,0,2107,0,0.0,True
compassion_fatigue,2084,0,2084,0,0.0,False
courage,1624,61,1563,0,3.7561576354679804,False
depression,1578,0,1578,0,0.0,False
financial_anxiety,1572,56,1516,0,3.5623409669211195,False
financial_stress,1544,54,1490,0,3.4974093264248705,False
social_anxiety,1428,0,1428,0,0.0,False
grief,1043,0,1043,0,0.0,True
self_worth,965,0,965,0,0.0,True
somatic_healing,952,0,952,0,0.0,False
