blind_id	epub_path	brand	persona	topic	engine	chapters	approx_words	quality_profile	register_gate_verdict	acceptance_layer	evidence_source
Book_01	artifacts/epubs/way_stream_sanctuary/way_stream_sanctuary__corporate_managers__burnout__overwhelm.epub	way_stream_sanctuary	corporate_managers	burnout	overwhelm	12	13759	production	PASS	structurally clear (Layer 1)	artifacts/qa/waystream_epub_20260625/burnout__overwhelm__register.json (direct per-book JSON, individually re-verified this lane); PR #1923 (4e6320b19c); PROGRAM_STATE.md "First gate-passing Waystream EPUB SHIPPED"
Book_02	artifacts/epubs/way_stream_sanctuary/way_stream_sanctuary__corporate_managers__anxiety__false_alarm.epub	way_stream_sanctuary	corporate_managers	anxiety	false_alarm	12	14786	production	PASS	structurally clear (Layer 1)	artifacts/qa/waystream_epub_20260625/anxiety__false_alarm__register.json (direct per-book JSON, individually re-verified this lane); PR #1923 (4e6320b19c) "3-cell generalization"
Book_03	artifacts/epubs/way_stream_sanctuary/way_stream_sanctuary__corporate_managers__boundaries__comparison.epub	way_stream_sanctuary	corporate_managers	boundaries	comparison	12	14054	production	PASS	structurally clear (Layer 1)	artifacts/qa/waystream_epub_20260625/boundaries__comparison__register.json (direct per-book JSON, individually re-verified this lane); PR #1923 (4e6320b19c) "3-cell generalization"
Book_04	artifacts/epubs/way_stream_sanctuary/way_stream_sanctuary__corporate_managers__boundaries__shame.epub	way_stream_sanctuary	corporate_managers	boundaries	shame	12	14872	production	PASS	structurally clear (Layer 1)	artifacts/qa/waystream_epub_20260625/boundaries__shame__register.json (direct per-book JSON, individually re-verified this lane); PR #1923 (4e6320b19c) "3-cell generalization"
Book_05	artifacts/epubs/way_stream_sanctuary/way_stream_sanctuary__entrepreneurs__anxiety__overwhelm.epub	way_stream_sanctuary	entrepreneurs	anxiety	overwhelm	12	13756 (independently unzipped+counted this lane)	production (claimed)	PASS (claimed, batch-level)	structurally clear (Layer 1) — batch-attested	PR #4486 (321379f8f8) "land 57 register-PASS EPUBs"; per-book register_gate_report.json not present on disk for individual re-verification — commit-message + structural (12-chapter, ~14k-word) re-verification only this lane
Book_06	artifacts/epubs/way_stream_sanctuary/way_stream_sanctuary__first_responders__burnout__grief.epub	way_stream_sanctuary	first_responders	burnout	grief	12	14209 (independently unzipped+counted this lane)	production (claimed)	PASS (claimed, batch-level)	structurally clear (Layer 1) — batch-attested	PR #4486 (321379f8f8) "land 57 register-PASS EPUBs"; per-book register_gate_report.json not present on disk for individual re-verification — commit-message + structural (12-chapter, ~14k-word) re-verification only this lane
Book_07	artifacts/epubs/way_stream_sanctuary/way_stream_sanctuary__gen_x_sandwich__compassion_fatigue__watcher.epub	way_stream_sanctuary	gen_x_sandwich	compassion_fatigue	watcher	12	14955 (independently unzipped+counted this lane)	production (claimed)	PASS (claimed, batch-level)	structurally clear (Layer 1) — batch-attested	PR #4486 (321379f8f8) "land 57 register-PASS EPUBs"; per-book register_gate_report.json not present on disk for individual re-verification — commit-message + structural (12-chapter, ~14k-word) re-verification only this lane
Book_08	artifacts/epubs/way_stream_sanctuary/way_stream_sanctuary__healthcare_rns__compassion_fatigue__watcher.epub	way_stream_sanctuary	healthcare_rns	compassion_fatigue	watcher	12	14736 (independently unzipped+counted this lane)	production (claimed)	PASS (claimed, batch-level)	structurally clear (Layer 1) — batch-attested	PR #4486 (321379f8f8) "land 57 register-PASS EPUBs"; per-book register_gate_report.json not present on disk for individual re-verification — commit-message + structural (12-chapter, ~14k-word) re-verification only this lane
Book_09	artifacts/epubs/way_stream_sanctuary/way_stream_sanctuary__millennial_women_professionals__burnout__overwhelm.epub	way_stream_sanctuary	millennial_women_professionals	burnout	overwhelm	12	14304 (independently unzipped+counted this lane)	production (claimed)	PASS (claimed, batch-level)	structurally clear (Layer 1) — batch-attested	PR #4486 (321379f8f8) "land 57 register-PASS EPUBs"; per-book register_gate_report.json not present on disk for individual re-verification — commit-message + structural (12-chapter, ~14k-word) re-verification only this lane
Book_10	artifacts/epubs/way_stream_sanctuary/way_stream_sanctuary__tech_finance_burnout__courage__false_alarm.epub	way_stream_sanctuary	tech_finance_burnout	courage	false_alarm	12	15099 (independently unzipped+counted this lane)	production (claimed)	PASS (claimed, batch-level)	structurally clear (Layer 1) — batch-attested	PR #4486 (321379f8f8) "land 57 register-PASS EPUBs"; per-book register_gate_report.json not present on disk for individual re-verification — commit-message + structural (12-chapter, ~14k-word) re-verification only this lane
