persona	topic	duration	engine	buildability	chapter_count	count_invariant_cohesion	repetition_severity	rep_score	cohesion_issues
corporate_managers	adhd_focus	deep_book_4h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	adhd_focus	deep_book_6h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	adhd_focus	extended_book_2h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	adhd_focus	micro_book_15	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	adhd_focus	micro_book_20	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	adhd_focus	short_book_30	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	adhd_focus	standard_book	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	anxiety	deep_book_4h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	anxiety	deep_book_6h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	anxiety	extended_book_2h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	anxiety	micro_book_15	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	anxiety	micro_book_20	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	anxiety	short_book_30	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	anxiety	standard_book	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	boundaries	deep_book_4h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	boundaries	deep_book_6h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	boundaries	extended_book_2h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	boundaries	micro_book_15	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	boundaries	micro_book_20	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	boundaries	short_book_30	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	boundaries	standard_book	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	burnout	deep_book_4h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	burnout	deep_book_6h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	burnout	extended_book_2h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	burnout	micro_book_15	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	burnout	micro_book_20	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	burnout	short_book_30	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	burnout	standard_book	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	compassion_fatigue	deep_book_4h	false_alarm	PLANNABLE	20	PASS	MEDIUM	0.186	
corporate_managers	compassion_fatigue	deep_book_6h	false_alarm	PLANNABLE	20	PASS	MEDIUM	0.186	
corporate_managers	compassion_fatigue	extended_book_2h	false_alarm	PLANNABLE	20	PASS	MEDIUM	0.186	
corporate_managers	compassion_fatigue	micro_book_15	false_alarm	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	compassion_fatigue	micro_book_20	false_alarm	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	compassion_fatigue	short_book_30	false_alarm	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	compassion_fatigue	standard_book	false_alarm	PLANNABLE	20	PASS	MEDIUM	0.186	
corporate_managers	courage	deep_book_4h	false_alarm	PLANNABLE	20	PASS	MEDIUM	0.186	
corporate_managers	courage	deep_book_6h	false_alarm	PLANNABLE	20	PASS	MEDIUM	0.186	
corporate_managers	courage	extended_book_2h	false_alarm	PLANNABLE	20	PASS	MEDIUM	0.186	
corporate_managers	courage	micro_book_15	false_alarm	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	courage	micro_book_20	false_alarm	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	courage	short_book_30	false_alarm	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	courage	standard_book	false_alarm	PLANNABLE	20	PASS	MEDIUM	0.186	
corporate_managers	depression	deep_book_4h	grief	PLANNABLE	20	PASS	MEDIUM	0.19	
corporate_managers	depression	deep_book_6h	grief	PLANNABLE	20	PASS	MEDIUM	0.19	
corporate_managers	depression	extended_book_2h	grief	PLANNABLE	20	PASS	MEDIUM	0.19	
corporate_managers	depression	micro_book_15	grief	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	depression	micro_book_20	grief	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	depression	short_book_30	grief	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	depression	standard_book	grief	PLANNABLE	20	PASS	MEDIUM	0.19	
corporate_managers	financial_anxiety	deep_book_4h	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	financial_anxiety	deep_book_6h	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	financial_anxiety	extended_book_2h	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	financial_anxiety	micro_book_15	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	financial_anxiety	micro_book_20	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	financial_anxiety	short_book_30	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	financial_anxiety	standard_book	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	financial_stress	deep_book_4h	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	financial_stress	deep_book_6h	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	financial_stress	extended_book_2h	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	financial_stress	micro_book_15	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	financial_stress	micro_book_20	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	financial_stress	short_book_30	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	financial_stress	standard_book	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	grief	deep_book_4h	grief	PLANNABLE	20	PASS	MEDIUM	0.19	
corporate_managers	grief	deep_book_6h	grief	PLANNABLE	20	PASS	MEDIUM	0.19	
corporate_managers	grief	extended_book_2h	grief	PLANNABLE	20	PASS	MEDIUM	0.19	
corporate_managers	grief	micro_book_15	grief	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	grief	micro_book_20	grief	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	grief	short_book_30	grief	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	grief	standard_book	grief	PLANNABLE	20	PASS	MEDIUM	0.19	
corporate_managers	imposter_syndrome	deep_book_4h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	imposter_syndrome	deep_book_6h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	imposter_syndrome	extended_book_2h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	imposter_syndrome	micro_book_15	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	imposter_syndrome	micro_book_20	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	imposter_syndrome	short_book_30	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	imposter_syndrome	standard_book	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	mindfulness	deep_book_4h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	mindfulness	deep_book_6h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	mindfulness	extended_book_2h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	mindfulness	micro_book_15	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	mindfulness	micro_book_20	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	mindfulness	short_book_30	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	mindfulness	standard_book	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	overthinking	deep_book_4h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	overthinking	deep_book_6h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	overthinking	extended_book_2h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	overthinking	micro_book_15	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	overthinking	micro_book_20	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	overthinking	short_book_30	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	overthinking	standard_book	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	self_worth	deep_book_4h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	self_worth	deep_book_6h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	self_worth	extended_book_2h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	self_worth	micro_book_15	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	self_worth	micro_book_20	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	self_worth	short_book_30	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	self_worth	standard_book	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	sleep_anxiety	deep_book_4h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	sleep_anxiety	deep_book_6h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	sleep_anxiety	extended_book_2h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	sleep_anxiety	micro_book_15	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	sleep_anxiety	micro_book_20	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	sleep_anxiety	short_book_30	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	sleep_anxiety	standard_book	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	social_anxiety	deep_book_4h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	social_anxiety	deep_book_6h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	social_anxiety	extended_book_2h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	social_anxiety	micro_book_15	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	social_anxiety	micro_book_20	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	social_anxiety	short_book_30	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	social_anxiety	standard_book	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	somatic_healing	deep_book_4h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	somatic_healing	deep_book_6h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	somatic_healing	extended_book_2h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	somatic_healing	micro_book_15	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	somatic_healing	micro_book_20	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	somatic_healing	short_book_30	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	somatic_healing	standard_book	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
educators	anxiety	deep_book_4h	overwhelm	PLANNABLE	8	PASS	MEDIUM	0.185	
educators	anxiety	deep_book_6h	overwhelm	PLANNABLE	8	PASS	MEDIUM	0.185	
educators	anxiety	extended_book_2h	overwhelm	PLANNABLE	8	PASS	MEDIUM	0.185	
educators	anxiety	micro_book_15	overwhelm	PLANNABLE	8	PASS	MEDIUM	0.12	
educators	anxiety	micro_book_20	overwhelm	PLANNABLE	8	PASS	MEDIUM	0.12	
educators	anxiety	short_book_30	overwhelm	PLANNABLE	8	PASS	MEDIUM	0.12	
educators	anxiety	standard_book	overwhelm	PLANNABLE	8	PASS	MEDIUM	0.185	
educators	boundaries	deep_book_4h	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
educators	boundaries	deep_book_6h	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
educators	boundaries	extended_book_2h	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
educators	boundaries	micro_book_15	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.12	
