example_id	source_prompt_pack	design_family	score	gate_status	license_gate	operator_gate	live_scheduling
ig_burnout_full_bleed	20260718_social_visual_rebuild_publishable_quality	photo_full_bleed_emotional	92	PASS_DRAFT_OPERATOR_QA_READY	source_state_recorded_not_release_approved	required_next	not_authorized
li_burnout_framework	20260718_social_visual_rebuild_publishable_quality	diagram_framework	92	PASS_DRAFT_OPERATOR_QA_READY	source_state_recorded_not_release_approved	required_next	not_authorized
pin_hope_object	20260718_social_visual_rebuild_publishable_quality	object_metaphor	92	PASS_DRAFT_OPERATOR_QA_READY	source_state_recorded_not_release_approved	required_next	not_authorized
fb_grief_full_bleed	20260718_social_visual_rebuild_publishable_quality	photo_full_bleed_emotional	92	PASS_DRAFT_OPERATOR_QA_READY	source_state_recorded_not_release_approved	required_next	not_authorized
x_overthinking_poster	20260718_social_visual_rebuild_publishable_quality	premium_type_poster	92	PASS_DRAFT_OPERATOR_QA_READY	source_state_recorded_not_release_approved	required_next	not_authorized
threads_anxiety_poster	20260718_social_visual_rebuild_publishable_quality	premium_type_poster	92	PASS_DRAFT_OPERATOR_QA_READY	source_state_recorded_not_release_approved	required_next	not_authorized
bsky_overthinking_object	20260718_social_visual_rebuild_publishable_quality	object_metaphor	92	PASS_DRAFT_OPERATOR_QA_READY	source_state_recorded_not_release_approved	required_next	not_authorized
gb_boundaries_checklist	20260718_social_visual_rebuild_publishable_quality	tool_checklist_card	92	PASS_DRAFT_OPERATOR_QA_READY	source_state_recorded_not_release_approved	required_next	not_authorized
ig_hope_book_page	20260718_social_visual_rebuild_publishable_quality	book_page_quote	92	PASS_DRAFT_OPERATOR_QA_READY	source_state_recorded_not_release_approved	required_next	not_authorized
li_anxiety_checklist	20260718_social_visual_rebuild_publishable_quality	tool_checklist_card	92	PASS_DRAFT_OPERATOR_QA_READY	source_state_recorded_not_release_approved	required_next	not_authorized
pin_boundaries_poster	20260718_social_visual_rebuild_publishable_quality	premium_type_poster	92	PASS_DRAFT_OPERATOR_QA_READY	source_state_recorded_not_release_approved	required_next	not_authorized
fb_burnout_local_note	20260718_social_visual_rebuild_publishable_quality	localized_lifestyle_note	92	PASS_DRAFT_OPERATOR_QA_READY	source_state_recorded_not_release_approved	required_next	not_authorized
ig_overthinking_story_carousel	20260718_social_visual_rebuild_publishable_quality	story_carousel	92	PASS_DRAFT_OPERATOR_QA_READY	source_state_recorded_not_release_approved	required_next	not_authorized
li_burnout_manager_carousel	20260718_social_visual_rebuild_publishable_quality	story_carousel	92	PASS_DRAFT_OPERATOR_QA_READY	source_state_recorded_not_release_approved	required_next	not_authorized
pin_anxiety_saveable_carousel	20260718_social_visual_rebuild_publishable_quality	story_carousel	92	PASS_DRAFT_OPERATOR_QA_READY	source_state_recorded_not_release_approved	required_next	not_authorized
tt_burnout_faceless	20260718_social_visual_rebuild_publishable_quality	faceless_video_broll	87	PASS_DRAFT_OPERATOR_QA_READY	source_state_recorded_not_release_approved	required_next	not_authorized
yt_overthinking_faceless	20260718_social_visual_rebuild_publishable_quality	faceless_video_broll	87	PASS_DRAFT_OPERATOR_QA_READY	source_state_recorded_not_release_approved	required_next	not_authorized
tt_anxiety_faceless	20260718_social_visual_rebuild_publishable_quality	faceless_video_broll	87	PASS_DRAFT_OPERATOR_QA_READY	source_state_recorded_not_release_approved	required_next	not_authorized
