brand_id	locale	surface	series_count	episode_per_series_count	priority_phase
stillness_press	en_US	ebook	5	5	V1.0_matrix_confirmed
stillness_press	en_US	manga	14	24	V1.0_matrix_confirmed
stillness_press	ja_JP	ebook	5	5	V1.0_matrix_confirmed
stillness_press	ja_JP	manga	14	24	V1.0_matrix_confirmed
stillness_press	zh_TW	ebook	5	5	V1.0_matrix_confirmed
stillness_press	zh_TW	manga	14	24	V1.0_matrix_confirmed
stillness_press	zh_CN	ebook	5	5	V1.0_matrix_confirmed
stillness_press	zh_CN	manga	14	24	V1.0_matrix_confirmed
cognitive_clarity	en_US	ebook	5	5	V1.0_matrix_confirmed
cognitive_clarity	en_US	manga	14	24	V1.0_matrix_confirmed
cognitive_clarity	ja_JP	ebook	5	5	V1.0_matrix_confirmed
cognitive_clarity	ja_JP	manga	14	24	V1.0_matrix_confirmed
cognitive_clarity	zh_TW	ebook	5	5	V1.0_matrix_confirmed
cognitive_clarity	zh_TW	manga	14	24	V1.0_matrix_confirmed
cognitive_clarity	zh_CN	ebook	5	5	V1.0_matrix_confirmed
cognitive_clarity	zh_CN	manga	14	24	V1.0_matrix_confirmed
digital_ground	en_US	ebook	5	5	V1.0_matrix_confirmed
digital_ground	en_US	manga	14	24	V1.0_matrix_confirmed
digital_ground	ja_JP	ebook	5	5	V1.0_matrix_confirmed
digital_ground	ja_JP	manga	14	24	V1.0_matrix_confirmed
digital_ground	zh_TW	ebook	5	5	V1.0_matrix_confirmed
digital_ground	zh_TW	manga	14	24	V1.0_matrix_confirmed
digital_ground	zh_CN	ebook	5	5	V1.0_matrix_confirmed
digital_ground	zh_CN	manga	14	24	V1.0_matrix_confirmed
sleep_restoration_iyashikei	en_US	ebook	5	5	V1.0_matrix_confirmed
sleep_restoration_iyashikei	en_US	manga	8	24	V1.0_matrix_confirmed
sleep_restoration_iyashikei	ja_JP	ebook	5	5	V1.0_matrix_confirmed
sleep_restoration_iyashikei	ja_JP	manga	8	24	V1.0_matrix_confirmed
sleep_restoration_iyashikei	zh_TW	ebook	5	5	V1.0_matrix_confirmed
sleep_restoration_iyashikei	zh_TW	manga	8	24	V1.0_matrix_confirmed
