path	persona_pool	topic	atom_label	final_defect_class	priority	priority_weight_locale_count	locales_gated_on_en_fix	locales_with_existing_content	locales_not_yet_localized	flagged_by
atoms/corporate_managers/anxiety/COMPRESSION/locales/zh-TW/CANONICAL.txt	corporate_managers	anxiety	COMPRESSION	STUB_MAJORITY_EMPTY	P0_MULTI_LOCALE_BLOCKED	4	zh-TW,ja-JP,ko-KR,zh-SG	-	zh-CN,zh-HK	corruption_scan:UNTRANSLATED_ENGLISH/EN_CLEAN_ZH_CORRUPTED;PR93_triage:STUB_MAJORITY_EMPTY
atoms/corporate_managers/boundaries/COMPRESSION/locales/zh-TW/CANONICAL.txt	corporate_managers	boundaries	COMPRESSION	STUB_MAJORITY_EMPTY	P0_MULTI_LOCALE_BLOCKED	4	zh-TW,ja-JP,ko-KR,zh-SG	-	zh-CN,zh-HK	corruption_scan:UNTRANSLATED_ENGLISH/EN_CLEAN_ZH_CORRUPTED;PR93_triage:STUB_MAJORITY_EMPTY;retranslation_chunk2or6_native_find
atoms/corporate_managers/compassion_fatigue/COMPRESSION/locales/zh-TW/CANONICAL.txt	corporate_managers	compassion_fatigue	COMPRESSION	STUB_MAJORITY_EMPTY	P0_MULTI_LOCALE_BLOCKED	4	zh-TW,ja-JP,zh-CN,ko-KR	-	zh-HK,zh-SG	corruption_scan:UNTRANSLATED_ENGLISH/EN_CLEAN_ZH_CORRUPTED;PR93_triage:STUB_MAJORITY_EMPTY
atoms/gen_z_professionals/anxiety/REFLECTION/locales/zh-TW/CANONICAL.txt	gen_z_professionals	anxiety	REFLECTION	EMPTY_STUB	P0_MULTI_LOCALE_BLOCKED	4	zh-TW,ja-JP,zh-CN,ko-KR	-	zh-HK,zh-SG	corruption_scan:EMPTY_STUB/EN_ALSO_CORRUPTED
atoms/healthcare_rns/anxiety/REFLECTION/locales/zh-TW/CANONICAL.txt	healthcare_rns	anxiety	REFLECTION	EMPTY_STUB	P0_MULTI_LOCALE_BLOCKED	4	zh-TW,ja-JP,zh-CN,es-ES	-	ko-KR,zh-HK,zh-SG	corruption_scan:EMPTY_STUB/EN_ALSO_CORRUPTED
atoms/healthcare_rns/compassion_fatigue/REFLECTION/locales/zh-TW/CANONICAL.txt	healthcare_rns	compassion_fatigue	REFLECTION	EMPTY_STUB	P0_MULTI_LOCALE_BLOCKED	4	zh-TW,ja-JP,zh-CN,es-ES	-	ko-KR,zh-HK,zh-SG	corruption_scan:EMPTY_STUB/EN_ALSO_CORRUPTED
atoms/healthcare_rns/financial_anxiety/HOOK/locales/zh-TW/CANONICAL.txt	healthcare_rns	financial_anxiety	HOOK	STUB_MAJORITY_EMPTY	P0_MULTI_LOCALE_BLOCKED	4	zh-TW,ja-JP,zh-CN,es-ES	-	ko-KR,zh-HK,zh-SG	corruption_scan:UNTRANSLATED_ENGLISH/EN_CLEAN_ZH_CORRUPTED;PR93_triage:AUTHORED_LOW_BODY_CJK
atoms/working_parents/burnout/HOOK/locales/zh-TW/CANONICAL.txt	working_parents	burnout	HOOK	STUB_MAJORITY_EMPTY	P0_MULTI_LOCALE_BLOCKED	4	zh-TW,ja-JP,zh-CN,ko-KR	-	zh-HK,zh-SG	corruption_scan:UNTRANSLATED_ENGLISH/EN_CLEAN_ZH_CORRUPTED;PR93_triage:AUTHORED_LOW_BODY_CJK;retranslation_chunk3-4-5-8_tracker_doc
atoms/corporate_managers/compassion_fatigue/grief/locales/zh-TW/CANONICAL.txt	corporate_managers	compassion_fatigue	grief	META_COMMENTARY	P0_MULTI_LOCALE_BLOCKED	3	zh-TW,ja-JP,zh-CN	-	ko-KR,zh-HK,zh-SG	corruption_scan:META_COMMENTARY/EN_ALSO_CORRUPTED;PR93_triage:NO_SECTIONS
atoms/corporate_managers/compassion_fatigue/overwhelm/locales/zh-TW/CANONICAL.txt	corporate_managers	compassion_fatigue	overwhelm	META_COMMENTARY	P0_MULTI_LOCALE_BLOCKED	3	zh-TW,ja-JP,zh-CN	-	ko-KR,zh-HK,zh-SG	corruption_scan:META_COMMENTARY/EN_ALSO_CORRUPTED;PR93_triage:NO_SECTIONS
atoms/corporate_managers/compassion_fatigue/watcher/locales/zh-TW/CANONICAL.txt	corporate_managers	compassion_fatigue	watcher	META_COMMENTARY	P0_MULTI_LOCALE_BLOCKED	3	zh-TW,ja-JP,zh-CN	-	ko-KR,zh-HK,zh-SG	corruption_scan:META_COMMENTARY/EN_ALSO_CORRUPTED;PR93_triage:NO_SECTIONS
atoms/corporate_managers/courage/COMPRESSION/locales/zh-TW/CANONICAL.txt	corporate_managers	courage	COMPRESSION	STUB_MAJORITY_EMPTY	P0_MULTI_LOCALE_BLOCKED	3	zh-TW,ja-JP,ko-KR	-	zh-CN,zh-HK,zh-SG	corruption_scan:UNTRANSLATED_ENGLISH/EN_CLEAN_ZH_CORRUPTED;PR93_triage:STUB_MAJORITY_EMPTY;retranslation_chunk2or6_native_find
atoms/corporate_managers/depression/COMPRESSION/locales/zh-TW/CANONICAL.txt	corporate_managers	depression	COMPRESSION	STUB_MAJORITY_EMPTY	P0_MULTI_LOCALE_BLOCKED	3	zh-TW,ja-JP,ko-KR	-	zh-CN,zh-HK,zh-SG	corruption_scan:UNTRANSLATED_ENGLISH/EN_CLEAN_ZH_CORRUPTED;PR93_triage:STUB_MAJORITY_EMPTY;retranslation_chunk2or6_native_find
atoms/corporate_managers/financial_anxiety/INTEGRATION/locales/zh-TW/CANONICAL.txt	corporate_managers	financial_anxiety	INTEGRATION	EMPTY_STUB	P0_MULTI_LOCALE_BLOCKED	3	zh-TW,ja-JP,fr-FR	-	zh-CN,ko-KR,zh-HK,zh-SG	corruption_scan:EMPTY_STUB/EN_ALSO_CORRUPTED
atoms/corporate_managers/financial_stress/COMPRESSION/locales/zh-TW/CANONICAL.txt	corporate_managers	financial_stress	COMPRESSION	STUB_MAJORITY_EMPTY	P0_MULTI_LOCALE_BLOCKED	3	zh-TW,ja-JP,ko-KR	-	zh-CN,zh-HK,zh-SG	corruption_scan:UNTRANSLATED_ENGLISH/EN_CLEAN_ZH_CORRUPTED;PR93_triage:STUB_MAJORITY_EMPTY;retranslation_chunk2or6_native_find
atoms/corporate_managers/grief/COMPRESSION/locales/zh-TW/CANONICAL.txt	corporate_managers	grief	COMPRESSION	STUB_MAJORITY_EMPTY	P0_MULTI_LOCALE_BLOCKED	3	zh-TW,ja-JP,ko-KR	-	zh-CN,zh-HK,zh-SG	corruption_scan:UNTRANSLATED_ENGLISH/EN_CLEAN_ZH_CORRUPTED;PR93_triage:STUB_MAJORITY_EMPTY;retranslation_chunk2or6_native_find
atoms/corporate_managers/imposter_syndrome/INTEGRATION/locales/zh-TW/CANONICAL.txt	corporate_managers	imposter_syndrome	INTEGRATION	EMPTY_STUB	P0_MULTI_LOCALE_BLOCKED	3	zh-TW,ja-JP,fr-FR	-	zh-CN,ko-KR,zh-HK,zh-SG	corruption_scan:EMPTY_STUB/EN_ALSO_CORRUPTED
atoms/corporate_managers/self_worth/COMPRESSION/locales/zh-TW/CANONICAL.txt	corporate_managers	self_worth	COMPRESSION	STUB_MAJORITY_EMPTY	P0_MULTI_LOCALE_BLOCKED	3	zh-TW,ja-JP,ko-KR	-	zh-CN,zh-HK,zh-SG	corruption_scan:UNTRANSLATED_ENGLISH/EN_CLEAN_ZH_CORRUPTED;PR93_triage:STUB_MAJORITY_EMPTY;retranslation_chunk2or6_native_find
