severity	distinct_simplified_chars	total_simplified_occurrences	pr5682_ownership	simplified_chars_found	zh_tw_file
WHOLE_FILE	188	742	OWNED_BY_5682_DO_NOT_TOUCH	们觉个来时这还问没为过间动经帮学课现题会样响开声…	atoms/gen_alpha_students/compassion_fatigue/SCENE/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	132	355	UNOWNED	这观动为玛个凯开觉发从监变奥没来带时强实内颤续见…	atoms/gen_z_professionals/compassion_fatigue/watcher/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	130	591	OWNED_BY_5682_DO_NOT_TOUCH	学这个钱来没为们说会显见费块关实经参紧觉开变认问…	atoms/gen_alpha_students/financial_stress/shame/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	127	716	OWNED_BY_5682_DO_NOT_TOUCH	这护动个综觉业为实经产过认职远应话责贬电说来决统…	atoms/first_responders/imposter_syndrome/REFLECTION/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	109	256	OWNED_BY_5682_DO_NOT_TOUCH	个没时过为轮来这钟称仓态记点还们间随状觉维产担忧…	atoms/healthcare_rns/overthinking/STORY/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	88	249	UNOWNED	个这来会实创无现为诺当时选铐续让择动积们钱关迟维…	atoms/tech_finance_burnout/financial_stress/REFLECTION/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	78	167	UNOWNED	这动个开结觉没旧报时会胁紧无脚从间断执却处倾晕来…	atoms/nyc_executives/courage/false_alarm/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	56	159	UNOWNED	这个为隐护来惫赖帮开样总认关处没变发给创对会让难…	atoms/gen_x_sandwich/self_worth/REFLECTION/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	50	105	UNOWNED	现个账单务问题这经压决开财结发应纠纷实债虑额预场…	atoms/nyc_executives/financial_stress/spiral/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	48	113	UNOWNED	这们样个问时让许变题说来会实发够过话评对温开当仅…	atoms/nyc_executives/depression/REFLECTION/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	48	77	UNOWNED	这设统让计选择组织为连变断经业责换识强没应见实邮…	atoms/tech_finance_burnout/boundaries/REFLECTION/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	46	67	UNOWNED	实个现证业说誉拥这来识无顾轨迹学经获终职发论绩错…	atoms/educators/anxiety/spiral/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	45	74	UNOWNED	问这个题说乐来时妈无数谎刚吗张开简单场够畴岁们东…	atoms/nyc_executives/self_worth/shame/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	45	89	UNOWNED	个无问题这决时们实创变帮对话没暂觉够识资税诉说数…	atoms/tech_finance_burnout/compassion_fatigue/REFLECTION/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	44	59	UNOWNED	个视经这开结维旧电会楼层观间没东时点从头脚肤烧来…	atoms/nyc_executives/anxiety/watcher/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	43	68	UNOWNED	时经这伤导师东发观开当两对载遗产装给来会议决参专…	atoms/nyc_executives/grief/watcher/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	42	56	OWNED_BY_5682_DO_NOT_TOUCH	许这权觉决变来当请却断无识错过间发软专够创对荣誉…	atoms/entrepreneurs/sleep_anxiety/PERMISSION/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	36	54	UNOWNED	个户变没为业这赏们虚声称潜团队规扩专络点则别样学…	atoms/entrepreneurs/anxiety/shame/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	36	54	OWNED_BY_5682_DO_NOT_TOUCH	这个没认应数来愤关总现笔过为须随会带经济压识决选…	atoms/first_responders/financial_stress/THREAD/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	36	51	UNOWNED	这个压稳奥从为办点灯灭击墙样积尽叠东边颤选择还坚…	atoms/nyc_executives/depression/overwhelm/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	34	49	UNOWNED	伤个还没来预览觉错为经过响忆现间铺盖缓冲旧进条风…	atoms/gen_alpha_students/grief/false_alarm/PIVOT/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	33	44	UNOWNED	隐这护应为个续减没烧运转视变狭发产会过创长来轻胁…	atoms/gen_alpha_students/depression/shame/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	32	55	UNOWNED	这会关样经来学变说问时当见处数终们该开诚实谁为让…	atoms/nyc_executives/boundaries/REFLECTION/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	31	50	UNOWNED	个无这变胁实际险东旧时溃肤虑将过紧须诉让为发现叙…	atoms/gen_x_sandwich/anxiety/false_alarm/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	28	41	UNOWNED	经个变监这没为觉虑无紧绷会谁续质过数练习结东湿润…	atoms/educators/anxiety/watcher/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	28	46	OWNED_BY_5682_DO_NOT_TOUCH	权这为现会让劳将当开个对断惫说没侣关转顾议满讯号…	atoms/millennial_women_professionals/compassion_fatigue/PERMISSION/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	22	33	UNOWNED	较虑经现东个试图说显护层冲见当开倾时发转变间	atoms/tech_finance_burnout/anxiety/comparison/THREAD/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	19	25	UNOWNED	够稳东学进备会别为样这现较发开来围语没	atoms/millennial_women_professionals/anxiety/REFLECTION/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	19	36	UNOWNED	们这将续仅开鲜实过样说讲个现务爱闭忆远	atoms/millennial_women_professionals/grief/EXERCISE/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	17	25	UNOWNED	对个场东会现学习则这远义务内们迹输	atoms/millennial_women_professionals/courage/REFLECTION/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	15	22	UNOWNED	内标进译题来个没实际请记节这样	atoms/gen_alpha_students/courage/REFLECTION/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	12	13	UNOWNED	间头无论结寻个进这崭惧开	atoms/millennial_women_professionals/somatic_healing/shame/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	11	12	UNOWNED	现该两这笔块医进场时词	atoms/healthcare_rns/financial_anxiety/SCENE/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	11	12	UNOWNED	这为该让发现钱义随预订	atoms/healthcare_rns/financial_stress/STORY/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	11	12	UNOWNED	个连贯无绪这样爱责学习	atoms/millennial_women_professionals/boundaries/REFLECTION/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	11	13	UNOWNED	们个则议错过长无偿顿欢	atoms/millennial_women_professionals/boundaries/SCENE/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	11	16	UNOWNED	场调产发却们长对边则话	atoms/millennial_women_professionals/compassion_fatigue/SCENE/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	11	25	UNOWNED	这东义础获学习则们证条	atoms/millennial_women_professionals/financial_stress/REFLECTION/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	10	10	UNOWNED	双资实这围风险导条现	atoms/gen_z_professionals/financial_anxiety/watcher/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	10	12	UNOWNED	块钱问题滞实际带护这	atoms/healthcare_rns/financial_stress/REFLECTION/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	10	10	UNOWNED	会问题来选项处点该却	atoms/millennial_women_professionals/sleep_anxiety/HOOK/locales/zh-TW/CANONICAL.txt
WHOLE_FILE	10	10	UNOWNED	当时话无论间压崭个颅	atoms/millennial_women_professionals/somatic_healing/comparison/locales/zh-TW/CANONICAL.txt
PARTIAL	9	12	UNOWNED	这仅点识许认觉个时	atoms/gen_z_professionals/burnout/REFLECTION/locales/zh-TW/CANONICAL.txt
PARTIAL	9	17	UNOWNED	场对这组织却个边无	atoms/gen_z_professionals/financial_stress/grief/locales/zh-TW/CANONICAL.txt
PARTIAL	9	10	UNOWNED	许个实东学习医师对	atoms/gen_z_professionals/imposter_syndrome/grief/locales/zh-TW/CANONICAL.txt
PARTIAL	9	11	UNOWNED	条调声数滞较压间积	atoms/healthcare_rns/anxiety/SCENE/locales/zh-TW/CANONICAL.txt
PARTIAL	9	13	UNOWNED	东让场语将绪执应该	atoms/millennial_women_professionals/compassion_fatigue/REFLECTION/locales/zh-TW/CANONICAL.txt
PARTIAL	8	13	UNOWNED	双现时带来变没获	atoms/gen_z_professionals/burnout/false_alarm/locales/zh-TW/CANONICAL.txt
PARTIAL	8	32	UNOWNED	场头颅现这变双脚	atoms/gen_z_professionals/depression/comparison/locales/zh-TW/CANONICAL.txt
PARTIAL	8	8	UNOWNED	实认识显变会对进	atoms/gen_z_professionals/grief/shame/locales/zh-TW/CANONICAL.txt
PARTIAL	8	8	UNOWNED	头衔吗资记忆获实	atoms/gen_z_professionals/imposter_syndrome/spiral/locales/zh-TW/CANONICAL.txt
PARTIAL	8	10	UNOWNED	点们对风险满职属	atoms/gen_z_professionals/self_worth/SCENE/locales/zh-TW/CANONICAL.txt
PARTIAL	8	21	UNOWNED	临场个医发这会担	atoms/healthcare_rns/anxiety/REFLECTION/locales/zh-TW/CANONICAL.txt
PARTIAL	8	8	UNOWNED	头属话无论结没个	atoms/millennial_women_professionals/anxiety/grief/locales/zh-TW/CANONICAL.txt
PARTIAL	8	10	UNOWNED	号间话无论劳寻崭	atoms/millennial_women_professionals/courage/watcher/locales/zh-TW/CANONICAL.txt
PARTIAL	8	8	UNOWNED	却场语个潜须条现	atoms/millennial_women_professionals/depression/REFLECTION/locales/zh-TW/CANONICAL.txt
PARTIAL	8	13	UNOWNED	两这个项档块总顿	atoms/millennial_women_professionals/financial_stress/SCENE/locales/zh-TW/CANONICAL.txt
PARTIAL	8	9	UNOWNED	间头当时变话无论	atoms/millennial_women_professionals/sleep_anxiety/grief/locales/zh-TW/CANONICAL.txt
PARTIAL	7	7	UNOWNED	动态认识锦吗这	atoms/gen_z_professionals/anxiety/comparison/locales/zh-TW/CANONICAL.txt
PARTIAL	7	9	UNOWNED	阳条连动态这时	atoms/gen_z_professionals/boundaries/grief/locales/zh-TW/CANONICAL.txt
PARTIAL	7	8	UNOWNED	个职却这声称应	atoms/gen_z_professionals/courage/grief/locales/zh-TW/CANONICAL.txt
PARTIAL	7	10	UNOWNED	这个阳过产从头	atoms/gen_z_professionals/overthinking/shame/locales/zh-TW/CANONICAL.txt
PARTIAL	7	7	UNOWNED	进还没挣这样变	atoms/gen_z_professionals/sleep_anxiety/comparison/locales/zh-TW/CANONICAL.txt
PARTIAL	7	8	UNOWNED	时间该个问题学	atoms/healthcare_rns/depression/shame/locales/zh-TW/CANONICAL.txt
PARTIAL	7	7	UNOWNED	属无论这号话语	atoms/millennial_women_professionals/burnout/false_alarm/locales/zh-TW/CANONICAL.txt
PARTIAL	7	7	UNOWNED	头晓当阅读无论	atoms/millennial_women_professionals/depression/spiral/locales/zh-TW/CANONICAL.txt
PARTIAL	7	7	UNOWNED	头无论声称崭脚	atoms/millennial_women_professionals/financial_stress/watcher/locales/zh-TW/CANONICAL.txt
PARTIAL	7	9	UNOWNED	这个头话无论权	atoms/millennial_women_professionals/self_worth/watcher/locales/zh-TW/CANONICAL.txt
PARTIAL	7	7	UNOWNED	让东带现两点过	atoms/working_parents/anxiety/REFLECTION/locales/zh-TW/CANONICAL.txt
PARTIAL	7	8	UNOWNED	点为写实现学没	atoms/working_parents/anxiety/watcher/locales/zh-TW/CANONICAL.txt
PARTIAL	6	18	UNOWNED	没无这数从齐	atoms/corporate_managers/courage/INTEGRATION/locales/zh-TW/CANONICAL.txt
PARTIAL	6	9	UNOWNED	对词个会开轻	atoms/gen_z_professionals/anxiety/REFLECTION/locales/zh-TW/CANONICAL.txt
PARTIAL	6	6	UNOWNED	这领导场现当	atoms/gen_z_professionals/anxiety/shame/locales/zh-TW/CANONICAL.txt
PARTIAL	6	6	UNOWNED	该达动没压当	atoms/gen_z_professionals/burnout/shame/locales/zh-TW/CANONICAL.txt
PARTIAL	6	15	UNOWNED	职处还带来们	atoms/gen_z_professionals/compassion_fatigue/REFLECTION/locales/zh-TW/CANONICAL.txt
PARTIAL	6	7	UNOWNED	进这启们转尽	atoms/gen_z_professionals/courage/spiral/locales/zh-TW/CANONICAL.txt
PARTIAL	6	7	UNOWNED	这经济样装来	atoms/gen_z_professionals/financial_anxiety/grief/locales/zh-TW/CANONICAL.txt
PARTIAL	6	10	UNOWNED	开达动标们现	atoms/gen_z_professionals/financial_stress/comparison/locales/zh-TW/CANONICAL.txt
PARTIAL	6	6	UNOWNED	级却预报这变	atoms/gen_z_professionals/financial_stress/false_alarm/locales/zh-TW/CANONICAL.txt
PARTIAL	6	7	UNOWNED	仅进个开决钱	atoms/gen_z_professionals/financial_stress/watcher/locales/zh-TW/CANONICAL.txt
PARTIAL	6	10	UNOWNED	东阳装过发个	atoms/gen_z_professionals/overthinking/grief/locales/zh-TW/CANONICAL.txt
PARTIAL	6	6	UNOWNED	过现们东闹钟	atoms/gen_z_professionals/sleep_anxiety/grief/locales/zh-TW/CANONICAL.txt
PARTIAL	6	10	UNOWNED	场压这话绍义	atoms/gen_z_professionals/social_anxiety/overwhelm/locales/zh-TW/CANONICAL.txt
PARTIAL	6	6	UNOWNED	经个没开电邮	atoms/gen_z_student/depression/overwhelm/locales/zh-TW/CANONICAL.txt
PARTIAL	6	6	UNOWNED	车迹医声个当	atoms/healthcare_rns/compassion_fatigue/SCENE/locales/zh-TW/CANONICAL.txt
