persona	topic	engine_a	engine_b	word_similarity	byte_identical
corporate_managers	burnout	grief	overwhelm	0.3323	False
corporate_managers	burnout	grief	watcher	0.1912	False
corporate_managers	burnout	overwhelm	watcher	0.2193	False
corporate_managers	courage	false_alarm	shame	0.2105	False
corporate_managers	courage	false_alarm	spiral	0.2268	False
corporate_managers	courage	shame	spiral	0.1883	False
corporate_managers	imposter_syndrome	comparison	shame	0.2841	False
entrepreneurs	burnout	grief	overwhelm	0.2448	False
entrepreneurs	burnout	grief	watcher	0.2942	False
entrepreneurs	burnout	overwhelm	watcher	0.2518	False
entrepreneurs	courage	false_alarm	shame	0.1581	False
entrepreneurs	courage	false_alarm	spiral	0.3409	False
entrepreneurs	courage	shame	spiral	0.3563	False
entrepreneurs	imposter_syndrome	comparison	shame	0.1886	False
first_responders	burnout	grief	overwhelm	0.22	False
first_responders	burnout	grief	watcher	0.343	False
first_responders	burnout	overwhelm	watcher	0.1391	False
first_responders	courage	false_alarm	shame	0.4121	False
first_responders	courage	false_alarm	spiral	0.2172	False
first_responders	courage	shame	spiral	0.4363	False
first_responders	imposter_syndrome	comparison	shame	0.2554	False
gen_alpha_students	burnout	grief	overwhelm	0.2525	False
gen_alpha_students	burnout	grief	watcher	0.2509	False
gen_alpha_students	burnout	overwhelm	watcher	0.2944	False
gen_alpha_students	courage	false_alarm	shame	0.3805	False
gen_alpha_students	courage	false_alarm	spiral	0.3426	False
gen_alpha_students	courage	shame	spiral	0.4828	False
gen_alpha_students	imposter_syndrome	comparison	shame	0.211	False
gen_x_sandwich	burnout	grief	overwhelm	0.0628	False
gen_x_sandwich	burnout	grief	watcher	0.2284	False
gen_x_sandwich	burnout	overwhelm	watcher	0.3034	False
gen_x_sandwich	courage	false_alarm	shame	0.1858	False
gen_x_sandwich	courage	false_alarm	spiral	0.1918	False
gen_x_sandwich	courage	shame	spiral	0.2931	False
gen_x_sandwich	imposter_syndrome	comparison	shame	0.3059	False
gen_z_professionals	burnout	grief	overwhelm	0.2234	False
gen_z_professionals	burnout	grief	watcher	0.1732	False
gen_z_professionals	burnout	overwhelm	watcher	0.2504	False
gen_z_professionals	courage	false_alarm	shame	0.1874	False
gen_z_professionals	courage	false_alarm	spiral	0.3441	False
gen_z_professionals	courage	shame	spiral	0.4308	False
gen_z_professionals	imposter_syndrome	comparison	shame	0.3585	False
healthcare_rns	burnout	grief	overwhelm	0.2255	False
healthcare_rns	burnout	grief	watcher	0.1756	False
healthcare_rns	burnout	overwhelm	watcher	0.2444	False
healthcare_rns	courage	false_alarm	shame	0.3078	False
healthcare_rns	courage	false_alarm	spiral	0.1674	False
healthcare_rns	courage	shame	spiral	0.2155	False
healthcare_rns	imposter_syndrome	comparison	shame	0.1485	False
millennial_women_professionals	burnout	grief	overwhelm	0.377	False
millennial_women_professionals	burnout	grief	watcher	0.2096	False
millennial_women_professionals	burnout	overwhelm	watcher	0.1542	False
millennial_women_professionals	courage	false_alarm	shame	0.2853	False
millennial_women_professionals	courage	false_alarm	spiral	0.1568	False
millennial_women_professionals	courage	shame	spiral	0.2488	False
millennial_women_professionals	imposter_syndrome	comparison	shame	0.2447	False
tech_finance_burnout	burnout	grief	overwhelm	0.2045	False
tech_finance_burnout	burnout	grief	watcher	0.3155	False
tech_finance_burnout	burnout	overwhelm	watcher	0.1958	False
tech_finance_burnout	courage	false_alarm	shame	0.2324	False
tech_finance_burnout	courage	false_alarm	spiral	0.1796	False
tech_finance_burnout	courage	shame	spiral	0.1035	False
tech_finance_burnout	imposter_syndrome	comparison	shame	0.2072	False
working_parents	burnout	grief	overwhelm	0.1732	False
working_parents	burnout	grief	watcher	0.2994	False
working_parents	burnout	overwhelm	watcher	0.2614	False
working_parents	courage	false_alarm	shame	0.3702	False
working_parents	courage	false_alarm	spiral	0.1592	False
working_parents	courage	shame	spiral	0.3546	False
working_parents	imposter_syndrome	comparison	shame	0.2863	False
