persona	topic	bank_engine	book_engine	exclusive_bank_lines	lines_present	own
corporate_managers	burnout	grief	grief	6	6	True
corporate_managers	burnout	grief	overwhelm	6	0	False
corporate_managers	burnout	grief	watcher	6	0	False
corporate_managers	burnout	overwhelm	grief	16	0	False
corporate_managers	burnout	overwhelm	overwhelm	16	15	True
corporate_managers	burnout	overwhelm	watcher	16	0	False
corporate_managers	burnout	watcher	grief	6	0	False
corporate_managers	burnout	watcher	overwhelm	6	0	False
corporate_managers	burnout	watcher	watcher	6	6	True
corporate_managers	courage	false_alarm	false_alarm	26	25	True
corporate_managers	courage	false_alarm	shame	26	0	False
corporate_managers	courage	false_alarm	spiral	26	0	False
corporate_managers	courage	shame	false_alarm	26	0	False
corporate_managers	courage	shame	shame	26	23	True
corporate_managers	courage	shame	spiral	26	0	False
corporate_managers	courage	spiral	false_alarm	26	0	False
corporate_managers	courage	spiral	shame	26	0	False
corporate_managers	courage	spiral	spiral	26	25	True
corporate_managers	imposter_syndrome	comparison	comparison	6	6	True
corporate_managers	imposter_syndrome	comparison	shame	6	4	False
corporate_managers	imposter_syndrome	shame	comparison	6	0	False
corporate_managers	imposter_syndrome	shame	shame	6	6	True
entrepreneurs	burnout	grief	grief	6	6	True
entrepreneurs	burnout	grief	overwhelm	6	0	False
entrepreneurs	burnout	grief	watcher	6	0	False
entrepreneurs	burnout	overwhelm	grief	6	0	False
entrepreneurs	burnout	overwhelm	overwhelm	6	6	True
entrepreneurs	burnout	overwhelm	watcher	6	0	False
entrepreneurs	burnout	watcher	grief	6	0	False
entrepreneurs	burnout	watcher	overwhelm	6	0	False
entrepreneurs	burnout	watcher	watcher	6	6	True
entrepreneurs	courage	false_alarm	false_alarm	22	20	True
entrepreneurs	courage	false_alarm	shame	22	4	False
entrepreneurs	courage	false_alarm	spiral	22	4	False
entrepreneurs	courage	shame	false_alarm	22	0	False
entrepreneurs	courage	shame	shame	22	20	True
entrepreneurs	courage	shame	spiral	22	0	False
entrepreneurs	courage	spiral	false_alarm	22	0	False
entrepreneurs	courage	spiral	shame	22	0	False
entrepreneurs	courage	spiral	spiral	22	21	True
entrepreneurs	imposter_syndrome	comparison	comparison	6	6	True
entrepreneurs	imposter_syndrome	comparison	shame	6	4	False
entrepreneurs	imposter_syndrome	shame	comparison	6	0	False
entrepreneurs	imposter_syndrome	shame	shame	6	6	True
first_responders	burnout	grief	grief	6	6	True
first_responders	burnout	grief	overwhelm	6	0	False
first_responders	burnout	grief	watcher	6	0	False
first_responders	burnout	overwhelm	grief	6	0	False
first_responders	burnout	overwhelm	overwhelm	6	6	True
first_responders	burnout	overwhelm	watcher	6	0	False
first_responders	burnout	watcher	grief	6	0	False
first_responders	burnout	watcher	overwhelm	6	0	False
first_responders	burnout	watcher	watcher	6	4	True
first_responders	courage	false_alarm	false_alarm	16	16	True
first_responders	courage	false_alarm	shame	16	0	False
first_responders	courage	false_alarm	spiral	16	0	False
first_responders	courage	shame	false_alarm	16	0	False
first_responders	courage	shame	shame	16	16	True
first_responders	courage	shame	spiral	16	0	False
first_responders	courage	spiral	false_alarm	16	0	False
first_responders	courage	spiral	shame	16	0	False
first_responders	courage	spiral	spiral	16	16	True
first_responders	imposter_syndrome	comparison	comparison	6	6	True
first_responders	imposter_syndrome	comparison	shame	6	3	False
first_responders	imposter_syndrome	shame	comparison	6	0	False
first_responders	imposter_syndrome	shame	shame	6	6	True
gen_alpha_students	burnout	grief	grief	6	6	True
gen_alpha_students	burnout	grief	overwhelm	6	0	False
gen_alpha_students	burnout	grief	watcher	6	0	False
gen_alpha_students	burnout	overwhelm	grief	6	0	False
gen_alpha_students	burnout	overwhelm	overwhelm	6	6	True
gen_alpha_students	burnout	overwhelm	watcher	6	0	False
gen_alpha_students	burnout	watcher	grief	6	0	False
gen_alpha_students	burnout	watcher	overwhelm	6	0	False
gen_alpha_students	burnout	watcher	watcher	6	6	True
gen_alpha_students	courage	false_alarm	false_alarm	26	22	True
gen_alpha_students	courage	false_alarm	shame	26	0	False
gen_alpha_students	courage	false_alarm	spiral	26	0	False
gen_alpha_students	courage	shame	false_alarm	26	0	False
gen_alpha_students	courage	shame	shame	26	24	True
gen_alpha_students	courage	shame	spiral	26	0	False
gen_alpha_students	courage	spiral	false_alarm	26	0	False
gen_alpha_students	courage	spiral	shame	26	0	False
gen_alpha_students	courage	spiral	spiral	26	24	True
gen_alpha_students	imposter_syndrome	comparison	comparison	6	5	True
gen_alpha_students	imposter_syndrome	comparison	shame	6	3	False
gen_alpha_students	imposter_syndrome	shame	comparison	6	0	False
gen_alpha_students	imposter_syndrome	shame	shame	6	5	True
gen_x_sandwich	burnout	grief	grief	6	5	True
gen_x_sandwich	burnout	grief	overwhelm	6	0	False
gen_x_sandwich	burnout	grief	watcher	6	0	False
gen_x_sandwich	burnout	overwhelm	grief	6	0	False
gen_x_sandwich	burnout	overwhelm	overwhelm	6	5	True
gen_x_sandwich	burnout	overwhelm	watcher	6	0	False
gen_x_sandwich	burnout	watcher	grief	6	0	False
gen_x_sandwich	burnout	watcher	overwhelm	6	0	False
gen_x_sandwich	burnout	watcher	watcher	6	5	True
gen_x_sandwich	courage	false_alarm	false_alarm	26	23	True
gen_x_sandwich	courage	false_alarm	shame	26	0	False
gen_x_sandwich	courage	false_alarm	spiral	26	0	False
gen_x_sandwich	courage	shame	false_alarm	26	0	False
gen_x_sandwich	courage	shame	shame	26	22	True
gen_x_sandwich	courage	shame	spiral	26	0	False
gen_x_sandwich	courage	spiral	false_alarm	26	0	False
gen_x_sandwich	courage	spiral	shame	26	0	False
gen_x_sandwich	courage	spiral	spiral	26	22	True
gen_x_sandwich	imposter_syndrome	comparison	comparison	6	4	True
gen_x_sandwich	imposter_syndrome	comparison	shame	6	4	False
gen_x_sandwich	imposter_syndrome	shame	comparison	6	0	False
gen_x_sandwich	imposter_syndrome	shame	shame	6	5	True
gen_z_professionals	burnout	grief	grief	6	6	True
gen_z_professionals	burnout	grief	overwhelm	6	0	False
gen_z_professionals	burnout	grief	watcher	6	0	False
gen_z_professionals	burnout	overwhelm	grief	6	0	False
gen_z_professionals	burnout	overwhelm	overwhelm	6	5	True
gen_z_professionals	burnout	overwhelm	watcher	6	0	False
gen_z_professionals	burnout	watcher	grief	6	0	False
gen_z_professionals	burnout	watcher	overwhelm	6	0	False
gen_z_professionals	burnout	watcher	watcher	6	6	True
gen_z_professionals	courage	false_alarm	false_alarm	26	20	True
gen_z_professionals	courage	false_alarm	shame	26	0	False
gen_z_professionals	courage	false_alarm	spiral	26	0	False
gen_z_professionals	courage	shame	false_alarm	26	0	False
gen_z_professionals	courage	shame	shame	26	21	True
gen_z_professionals	courage	shame	spiral	26	0	False
gen_z_professionals	courage	spiral	false_alarm	26	0	False
gen_z_professionals	courage	spiral	shame	26	0	False
gen_z_professionals	courage	spiral	spiral	26	22	True
gen_z_professionals	imposter_syndrome	comparison	comparison	6	6	True
gen_z_professionals	imposter_syndrome	comparison	shame	6	0	False
gen_z_professionals	imposter_syndrome	shame	comparison	6	0	False
gen_z_professionals	imposter_syndrome	shame	shame	6	6	True
healthcare_rns	burnout	grief	grief	6	6	True
healthcare_rns	burnout	grief	overwhelm	6	0	False
healthcare_rns	burnout	grief	watcher	6	0	False
healthcare_rns	burnout	overwhelm	grief	6	0	False
healthcare_rns	burnout	overwhelm	overwhelm	6	6	True
healthcare_rns	burnout	overwhelm	watcher	6	0	False
healthcare_rns	burnout	watcher	grief	6	0	False
healthcare_rns	burnout	watcher	overwhelm	6	0	False
healthcare_rns	burnout	watcher	watcher	6	6	True
healthcare_rns	courage	false_alarm	false_alarm	26	25	True
healthcare_rns	courage	false_alarm	shame	26	0	False
healthcare_rns	courage	false_alarm	spiral	26	0	False
healthcare_rns	courage	shame	false_alarm	26	0	False
healthcare_rns	courage	shame	shame	26	24	True
healthcare_rns	courage	shame	spiral	26	0	False
healthcare_rns	courage	spiral	false_alarm	26	0	False
healthcare_rns	courage	spiral	shame	26	0	False
healthcare_rns	courage	spiral	spiral	26	24	True
healthcare_rns	imposter_syndrome	comparison	comparison	6	6	True
healthcare_rns	imposter_syndrome	comparison	shame	6	1	False
healthcare_rns	imposter_syndrome	shame	comparison	6	0	False
healthcare_rns	imposter_syndrome	shame	shame	6	6	True
millennial_women_professionals	burnout	grief	grief	6	6	True
millennial_women_professionals	burnout	grief	overwhelm	6	0	False
millennial_women_professionals	burnout	grief	watcher	6	0	False
millennial_women_professionals	burnout	overwhelm	grief	6	0	False
millennial_women_professionals	burnout	overwhelm	overwhelm	6	6	True
millennial_women_professionals	burnout	overwhelm	watcher	6	0	False
millennial_women_professionals	burnout	watcher	grief	6	0	False
millennial_women_professionals	burnout	watcher	overwhelm	6	0	False
millennial_women_professionals	burnout	watcher	watcher	6	6	True
millennial_women_professionals	courage	false_alarm	false_alarm	6	5	True
millennial_women_professionals	courage	false_alarm	shame	6	0	False
millennial_women_professionals	courage	false_alarm	spiral	6	0	False
millennial_women_professionals	courage	shame	false_alarm	6	0	False
millennial_women_professionals	courage	shame	shame	6	5	True
millennial_women_professionals	courage	shame	spiral	6	0	False
millennial_women_professionals	courage	spiral	false_alarm	6	0	False
millennial_women_professionals	courage	spiral	shame	6	0	False
millennial_women_professionals	courage	spiral	spiral	6	5	True
millennial_women_professionals	imposter_syndrome	comparison	comparison	6	6	True
millennial_women_professionals	imposter_syndrome	comparison	shame	6	1	False
millennial_women_professionals	imposter_syndrome	shame	comparison	6	0	False
millennial_women_professionals	imposter_syndrome	shame	shame	6	6	True
tech_finance_burnout	burnout	grief	grief	6	6	True
tech_finance_burnout	burnout	grief	overwhelm	6	0	False
tech_finance_burnout	burnout	grief	watcher	6	0	False
tech_finance_burnout	burnout	overwhelm	grief	6	0	False
tech_finance_burnout	burnout	overwhelm	overwhelm	6	6	True
tech_finance_burnout	burnout	overwhelm	watcher	6	0	False
tech_finance_burnout	burnout	watcher	grief	6	0	False
tech_finance_burnout	burnout	watcher	overwhelm	6	0	False
tech_finance_burnout	burnout	watcher	watcher	6	6	True
tech_finance_burnout	courage	false_alarm	false_alarm	11	11	True
tech_finance_burnout	courage	false_alarm	shame	11	0	False
tech_finance_burnout	courage	false_alarm	spiral	11	0	False
tech_finance_burnout	courage	shame	false_alarm	25	0	False
tech_finance_burnout	courage	shame	shame	25	22	True
tech_finance_burnout	courage	shame	spiral	25	0	False
tech_finance_burnout	courage	spiral	false_alarm	11	0	False
tech_finance_burnout	courage	spiral	shame	11	0	False
tech_finance_burnout	courage	spiral	spiral	11	11	True
tech_finance_burnout	imposter_syndrome	comparison	comparison	6	6	True
tech_finance_burnout	imposter_syndrome	comparison	shame	6	4	False
tech_finance_burnout	imposter_syndrome	shame	comparison	6	0	False
tech_finance_burnout	imposter_syndrome	shame	shame	6	6	True
working_parents	burnout	grief	grief	6	6	True
working_parents	burnout	grief	overwhelm	6	0	False
working_parents	burnout	grief	watcher	6	0	False
working_parents	burnout	overwhelm	grief	6	0	False
working_parents	burnout	overwhelm	overwhelm	6	6	True
working_parents	burnout	overwhelm	watcher	6	0	False
working_parents	burnout	watcher	grief	6	0	False
working_parents	burnout	watcher	overwhelm	6	0	False
working_parents	burnout	watcher	watcher	6	6	True
working_parents	courage	false_alarm	false_alarm	6	5	True
working_parents	courage	false_alarm	shame	6	0	False
working_parents	courage	false_alarm	spiral	6	3	False
working_parents	courage	shame	false_alarm	6	0	False
working_parents	courage	shame	shame	6	6	True
working_parents	courage	shame	spiral	6	0	False
working_parents	courage	spiral	false_alarm	6	2	False
working_parents	courage	spiral	shame	6	2	False
working_parents	courage	spiral	spiral	6	5	True
working_parents	imposter_syndrome	comparison	comparison	6	6	True
