cell	unresolved_placeholder	orphan_fragment	cited_literal	bare_train	doubled_token	total
burnout_grief__corporate_managers	0	0	0	0	0	0
burnout_grief__entrepreneurs	0	0	0	0	0	0
burnout_grief__first_responders	0	0	0	0	0	0
burnout_grief__gen_alpha_students	0	0	0	0	0	0
burnout_grief__gen_x_sandwich	0	0	0	0	0	0
burnout_grief__gen_z_professionals	0	0	0	0	0	0
burnout_grief__healthcare_rns	0	0	0	0	0	0
burnout_grief__millennial_women_professionals	0	0	0	0	0	0
burnout_grief__tech_finance_burnout	0	0	0	0	0	0
burnout_grief__working_parents	0	0	0	0	0	0
burnout_overwhelm__corporate_managers	0	0	0	0	0	0
burnout_overwhelm__entrepreneurs	0	0	0	0	0	0
burnout_overwhelm__first_responders	0	0	0	0	0	0
burnout_overwhelm__gen_alpha_students	0	0	0	0	0	0
burnout_overwhelm__gen_x_sandwich	0	0	0	0	0	0
burnout_overwhelm__gen_z_professionals	0	0	0	0	0	0
burnout_overwhelm__healthcare_rns	0	0	0	0	0	0
burnout_overwhelm__millennial_women_professionals	0	0	0	0	0	0
burnout_overwhelm__tech_finance_burnout	0	0	0	0	0	0
burnout_overwhelm__working_parents	0	0	0	0	0	0
burnout_watcher__corporate_managers	0	0	0	0	0	0
burnout_watcher__entrepreneurs	0	0	0	0	0	0
burnout_watcher__first_responders	0	0	0	0	0	0
burnout_watcher__gen_alpha_students	0	0	0	0	0	0
burnout_watcher__gen_x_sandwich	0	0	0	0	0	0
burnout_watcher__gen_z_professionals	0	0	0	0	0	0
burnout_watcher__healthcare_rns	0	0	0	0	0	0
burnout_watcher__millennial_women_professionals	0	0	0	0	0	0
burnout_watcher__tech_finance_burnout	0	0	0	0	0	0
burnout_watcher__working_parents	0	0	0	0	0	0
courage_false_alarm__corporate_managers	0	0	0	0	0	0
courage_false_alarm__entrepreneurs	0	0	0	0	0	0
courage_false_alarm__first_responders	0	0	0	0	0	0
courage_false_alarm__gen_alpha_students	0	0	0	0	0	0
courage_false_alarm__gen_x_sandwich	0	0	0	0	0	0
courage_false_alarm__gen_z_professionals	0	0	0	0	0	0
courage_false_alarm__healthcare_rns	0	0	0	0	0	0
courage_false_alarm__millennial_women_professionals	0	0	0	0	0	0
courage_false_alarm__tech_finance_burnout	0	0	0	0	0	0
courage_false_alarm__working_parents	0	0	0	0	0	0
courage_shame__corporate_managers	0	0	0	0	0	0
courage_shame__entrepreneurs	0	0	0	0	0	0
courage_shame__first_responders	0	0	0	0	0	0
courage_shame__gen_alpha_students	0	0	0	0	0	0
courage_shame__gen_x_sandwich	0	0	0	0	0	0
courage_shame__gen_z_professionals	0	0	0	0	0	0
courage_shame__healthcare_rns	0	0	0	0	0	0
courage_shame__millennial_women_professionals	0	0	0	0	0	0
courage_shame__tech_finance_burnout	0	0	0	0	0	0
courage_shame__working_parents	0	0	0	0	0	0
courage_spiral__corporate_managers	0	0	0	0	0	0
courage_spiral__entrepreneurs	0	0	0	0	0	0
courage_spiral__first_responders	0	0	0	0	0	0
courage_spiral__gen_alpha_students	0	0	0	0	0	0
courage_spiral__gen_x_sandwich	0	0	0	0	0	0
courage_spiral__gen_z_professionals	0	0	0	0	0	0
courage_spiral__healthcare_rns	0	0	0	0	0	0
courage_spiral__millennial_women_professionals	0	0	0	0	0	0
courage_spiral__tech_finance_burnout	0	0	0	0	0	0
courage_spiral__working_parents	0	0	0	0	0	0
imposter_syndrome_comparison__corporate_managers	0	0	0	0	0	0
imposter_syndrome_comparison__entrepreneurs	0	0	0	0	0	0
imposter_syndrome_comparison__first_responders	0	0	0	0	0	0
imposter_syndrome_comparison__gen_alpha_students	0	0	0	0	0	0
imposter_syndrome_comparison__gen_x_sandwich	0	0	0	0	0	0
imposter_syndrome_comparison__gen_z_professionals	0	0	0	0	0	0
imposter_syndrome_comparison__healthcare_rns	0	0	0	0	0	0
imposter_syndrome_comparison__millennial_women_professionals	0	0	0	0	0	0
imposter_syndrome_comparison__tech_finance_burnout	0	0	0	0	0	0
imposter_syndrome_comparison__working_parents	0	0	0	0	0	0
imposter_syndrome_shame__corporate_managers	0	0	0	0	0	0
imposter_syndrome_shame__entrepreneurs	0	0	0	0	0	0
imposter_syndrome_shame__first_responders	0	0	0	0	0	0
imposter_syndrome_shame__gen_alpha_students	0	0	0	0	0	0
imposter_syndrome_shame__gen_x_sandwich	0	0	0	0	0	0
imposter_syndrome_shame__gen_z_professionals	0	0	0	0	0	0
imposter_syndrome_shame__healthcare_rns	0	0	0	0	0	0
imposter_syndrome_shame__millennial_women_professionals	0	0	0	0	0	0
imposter_syndrome_shame__tech_finance_burnout	0	0	0	0	0	0
imposter_syndrome_shame__working_parents	0	0	0	0	0	0
