cell	persona	topic	engine	words	md5	scene_anchor_density	chapter_flow	book_pass	angle_journey	ei_v2	ei_composite	bestseller_craft	book_quality	overall	hard_failures
burnout_grief__corporate_managers	corporate_managers	burnout	grief	20622	e72167ae4f5d	PASS	PASS	PASS	PASS	PASS	0.6662	PASS	Hold	WARN	none
burnout_grief__entrepreneurs	entrepreneurs	burnout	grief	21672	96594ef167f9	PASS	PASS	PASS	PASS	PASS	0.6544	PASS	Hold	WARN	none
burnout_grief__first_responders	first_responders	burnout	grief	21654	4c549d4fc5df	PASS	PASS	PASS	PASS	PASS	0.659	PASS	Hold	WARN	none
burnout_grief__gen_alpha_students	gen_alpha_students	burnout	grief	21673	ee2267b63936	PASS	PASS	PASS	PASS	PASS	0.6705	PASS	Hold	WARN	none
burnout_grief__gen_x_sandwich	gen_x_sandwich	burnout	grief	21690	9e783e2df8f2	PASS	PASS	PASS	PASS	PASS	0.6758	PASS	Hold	WARN	none
burnout_grief__gen_z_professionals	gen_z_professionals	burnout	grief	21654	5130158fa982	PASS	PASS	PASS	PASS	PASS	0.6695	PASS	Hold	WARN	none
burnout_grief__healthcare_rns	healthcare_rns	burnout	grief	21656	59b6baf8851f	PASS	PASS	PASS	PASS	PASS	0.6307	PASS	Hold	WARN	none
burnout_grief__millennial_women_professionals	millennial_women_professionals	burnout	grief	21653	07a16cca30fd	PASS	PASS	PASS	PASS	PASS	0.6614	PASS	Hold	WARN	none
burnout_grief__tech_finance_burnout	tech_finance_burnout	burnout	grief	21605	e3ed612598a6	PASS	PASS	PASS	PASS	PASS	0.6609	PASS	Hold	WARN	none
burnout_grief__working_parents	working_parents	burnout	grief	20962	62a19b404f1a	PASS	PASS	PASS	PASS	PASS	0.6603	PASS	Hold	WARN	none
burnout_overwhelm__corporate_managers	corporate_managers	burnout	overwhelm	21634	31a12dc18e11	PASS	PASS	PASS	PASS	PASS	0.6663	PASS	Hold	WARN	none
burnout_overwhelm__entrepreneurs	entrepreneurs	burnout	overwhelm	21653	4cedf250e40a	PASS	FAIL	PASS	PASS	PASS	0.6436	PASS	Reject	WARN	none
burnout_overwhelm__first_responders	first_responders	burnout	overwhelm	20777	965eae5032d8	PASS	PASS	PASS	PASS	PASS	0.6439	PASS	Hold	WARN	none
burnout_overwhelm__gen_alpha_students	gen_alpha_students	burnout	overwhelm	21652	1f924deec2e5	PASS	PASS	PASS	PASS	PASS	0.6645	PASS	Hold	WARN	none
burnout_overwhelm__gen_x_sandwich	gen_x_sandwich	burnout	overwhelm	21657	9e47f9ef2c84	PASS	PASS	PASS	PASS	PASS	0.6654	PASS	Hold	WARN	none
burnout_overwhelm__gen_z_professionals	gen_z_professionals	burnout	overwhelm	21655	5d967db6550a	PASS	PASS	PASS	PASS	PASS	0.6495	PASS	Hold	WARN	none
burnout_overwhelm__healthcare_rns	healthcare_rns	burnout	overwhelm	21632	42c5bc7e069a	PASS	PASS	PASS	PASS	PASS	0.6264	PASS	Hold	WARN	none
burnout_overwhelm__millennial_women_professionals	millennial_women_professionals	burnout	overwhelm	21633	75b61dad1790	PASS	PASS	PASS	PASS	PASS	0.6687	PASS	Hold	WARN	none
burnout_overwhelm__tech_finance_burnout	tech_finance_burnout	burnout	overwhelm	21667	99b1ae8dab2c	PASS	PASS	PASS	PASS	PASS	0.6632	PASS	Hold	WARN	none
burnout_overwhelm__working_parents	working_parents	burnout	overwhelm	21653	c5be3d9016d8	PASS	PASS	PASS	PASS	PASS	0.6547	PASS	Hold	WARN	none
burnout_watcher__corporate_managers	corporate_managers	burnout	watcher	21653	673d2fbc5a51	PASS	PASS	PASS	PASS	PASS	0.6613	PASS	Hold	WARN	none
burnout_watcher__entrepreneurs	entrepreneurs	burnout	watcher	21654	65a317742d4b	PASS	PASS	PASS	PASS	PASS	0.6624	PASS	Hold	WARN	none
burnout_watcher__first_responders	first_responders	burnout	watcher	21632	8a237f99a166	PASS	PASS	PASS	PASS	PASS	0.657	PASS	Hold	WARN	none
burnout_watcher__gen_alpha_students	gen_alpha_students	burnout	watcher	21676	ed6a8caa7d14	PASS	PASS	PASS	PASS	PASS	0.6754	PASS	Hold	WARN	none
burnout_watcher__gen_x_sandwich	gen_x_sandwich	burnout	watcher	21674	151a36e54d5c	PASS	PASS	PASS	PASS	PASS	0.6826	PASS	Hold	WARN	none
burnout_watcher__gen_z_professionals	gen_z_professionals	burnout	watcher	21634	a887ad3a2261	PASS	PASS	PASS	PASS	PASS	0.6569	PASS	Pass	WARN	none
burnout_watcher__healthcare_rns	healthcare_rns	burnout	watcher	21656	cd2b42b20b2b	PASS	PASS	PASS	PASS	PASS	0.6083	PASS	Hold	WARN	none
burnout_watcher__millennial_women_professionals	millennial_women_professionals	burnout	watcher	21636	da998180f4cd	PASS	PASS	PASS	PASS	PASS	0.6729	PASS	Hold	WARN	none
burnout_watcher__tech_finance_burnout	tech_finance_burnout	burnout	watcher	21652	004426686541	PASS	PASS	PASS	PASS	PASS	0.664	PASS	Hold	WARN	none
burnout_watcher__working_parents	working_parents	burnout	watcher	21367	579a4ace9f8e	PASS	PASS	PASS	PASS	PASS	0.6569	PASS	Hold	WARN	none
