persona,topic,engine,gap_type
gen_alpha_students,anxiety,comparison,NO_ARC
gen_alpha_students,anxiety,false_alarm,NO_ARC
gen_alpha_students,anxiety,grief,NO_ARC
gen_alpha_students,anxiety,overwhelm,NO_ARC
gen_alpha_students,anxiety,shame,NO_ARC
gen_alpha_students,anxiety,spiral,NO_ARC
gen_alpha_students,anxiety,watcher,NO_ARC
gen_alpha_students,boundaries,comparison,NO_ARC
gen_alpha_students,boundaries,false_alarm,NO_ARC
gen_alpha_students,boundaries,shame,NO_ARC
gen_alpha_students,compassion_fatigue,grief,NO_ARC
gen_alpha_students,compassion_fatigue,overwhelm,NO_ARC
gen_alpha_students,compassion_fatigue,watcher,NO_ARC
gen_alpha_students,courage,false_alarm,NO_ARC
gen_alpha_students,courage,shame,NO_ARC
gen_alpha_students,courage,spiral,NO_ARC
gen_alpha_students,depression,grief,NO_ARC
gen_alpha_students,depression,overwhelm,NO_ARC
gen_alpha_students,depression,watcher,NO_ARC
gen_alpha_students,financial_stress,overwhelm,NO_ARC
gen_alpha_students,financial_stress,shame,NO_ARC
gen_alpha_students,financial_stress,spiral,NO_ARC
gen_alpha_students,grief,grief,NO_ARC
gen_alpha_students,grief,watcher,NO_ARC
gen_alpha_students,self_worth,comparison,NO_ARC
gen_alpha_students,self_worth,shame,NO_ARC
gen_z_professionals,anxiety,comparison,NO_ARC
gen_z_professionals,anxiety,false_alarm,NO_ARC
gen_z_professionals,anxiety,grief,NO_ARC
gen_z_professionals,anxiety,shame,NO_ARC
gen_z_professionals,anxiety,spiral,NO_ARC
gen_z_professionals,anxiety,watcher,NO_ARC
gen_z_professionals,boundaries,comparison,NO_ARC
gen_z_professionals,boundaries,false_alarm,NO_ARC
gen_z_professionals,boundaries,shame,NO_ARC
gen_z_professionals,compassion_fatigue,grief,NO_ARC
gen_z_professionals,compassion_fatigue,overwhelm,NO_ARC
gen_z_professionals,compassion_fatigue,watcher,NO_ARC
gen_z_professionals,courage,false_alarm,NO_ARC
gen_z_professionals,courage,shame,NO_ARC
gen_z_professionals,courage,spiral,NO_ARC
gen_z_professionals,depression,grief,NO_ARC
gen_z_professionals,depression,overwhelm,NO_ARC
gen_z_professionals,depression,watcher,NO_ARC
gen_z_professionals,financial_stress,overwhelm,NO_ARC
gen_z_professionals,financial_stress,shame,NO_ARC
gen_z_professionals,financial_stress,spiral,NO_ARC
gen_z_professionals,grief,grief,NO_ARC
gen_z_professionals,grief,watcher,NO_ARC
gen_z_professionals,self_worth,comparison,NO_ARC
gen_z_professionals,self_worth,shame,NO_ARC
healthcare_rns,anxiety,comparison,NO_ARC
healthcare_rns,anxiety,false_alarm,NO_ARC
healthcare_rns,anxiety,grief,NO_ARC
healthcare_rns,anxiety,overwhelm,NO_ARC
healthcare_rns,anxiety,shame,NO_ARC
healthcare_rns,anxiety,spiral,NO_ARC
healthcare_rns,anxiety,watcher,NO_ARC
healthcare_rns,boundaries,comparison,NO_ARC
healthcare_rns,boundaries,false_alarm,NO_ARC
healthcare_rns,boundaries,shame,NO_ARC
healthcare_rns,compassion_fatigue,grief,NO_ARC
healthcare_rns,compassion_fatigue,overwhelm,NO_ARC
healthcare_rns,compassion_fatigue,watcher,NO_ARC
healthcare_rns,courage,false_alarm,NO_ARC
healthcare_rns,courage,shame,NO_ARC
healthcare_rns,courage,spiral,NO_ARC
healthcare_rns,depression,grief,NO_ARC
healthcare_rns,depression,overwhelm,NO_ARC
healthcare_rns,depression,watcher,NO_ARC
healthcare_rns,financial_stress,overwhelm,NO_ARC
healthcare_rns,financial_stress,shame,NO_ARC
healthcare_rns,financial_stress,spiral,NO_ARC
healthcare_rns,grief,grief,NO_ARC
healthcare_rns,grief,watcher,NO_ARC
healthcare_rns,self_worth,comparison,NO_ARC
healthcare_rns,self_worth,shame,NO_ARC
nyc_executives,anxiety,comparison,NO_ARC
nyc_executives,anxiety,false_alarm,NO_ARC
nyc_executives,anxiety,grief,NO_ARC
nyc_executives,anxiety,overwhelm,NO_ARC
nyc_executives,anxiety,shame,NO_ARC
nyc_executives,anxiety,spiral,NO_ARC
nyc_executives,anxiety,watcher,NO_ARC
nyc_executives,boundaries,comparison,NO_ARC
nyc_executives,boundaries,false_alarm,NO_ARC
nyc_executives,compassion_fatigue,grief,NO_ARC
nyc_executives,compassion_fatigue,overwhelm,NO_ARC
nyc_executives,compassion_fatigue,watcher,NO_ARC
nyc_executives,courage,false_alarm,NO_ARC
nyc_executives,courage,shame,NO_ARC
nyc_executives,courage,spiral,NO_ARC
nyc_executives,depression,grief,NO_ARC
nyc_executives,depression,overwhelm,NO_ARC
nyc_executives,depression,watcher,NO_ARC
nyc_executives,financial_stress,overwhelm,NO_ARC
nyc_executives,financial_stress,shame,NO_ARC
nyc_executives,financial_stress,spiral,NO_ARC
nyc_executives,grief,grief,NO_ARC
nyc_executives,grief,watcher,NO_ARC
nyc_executives,self_worth,comparison,NO_ARC
