persona_id	topic_id	funnel_variant	primary_archetype_id	e2_archetype_id	bonus_pre_story_type	tier_export
corporate_managers	anxiety	tight	breath_timer_interactive	body_scan_timer	guided_audio	better
gen_z_professionals	anxiety	tight	breath_timer_interactive	body_scan_timer	guided_audio	better
healthcare_rns	compassion_fatigue	welcome_depth	capacity_assessment	breath_reset_structured	guided_audio	better
first_responders	compassion_fatigue	welcome_depth	capacity_assessment	breath_reset_structured	guided_audio	better
working_parents	burnout	tight	capacity_assessment		guided_audio	better
corporate_managers	overthinking	tight	thought_sorter_assessment	breath_timer_interactive	guided_audio	better
gen_z_professionals	financial_anxiety	tight	financial_checkin	breath_reset_structured	guided_audio	better
healthcare_rns	grief	welcome_depth	grief_letter_template	breath_reset_structured	guided_audio	best
first_responders	depression	welcome_depth	micro_action_kit	breath_reset_structured	guided_audio	better
working_parents	somatic_healing	welcome_depth	body_scan_timer	breath_timer_interactive	guided_audio	best
corporate_managers	courage	tight	decision_resistance_map	breath_reset_structured	guided_audio	better
gen_z_student	social_anxiety	tight	pre_event_protocol	five_senses_grounding	guided_audio	better
